,Model,Testing Location,NO2 MAE,NO2 CvMAE,NO2 MBE,NO2 MSE,NO2 R^2,NO2 crMSE,NO2 rMSE
0,"(2, 'donovan', 15)","(2, 'donovan', 15)",0.061664661878141125,0.00738093828210462,-0.07407689436746319,4.2698298553875285,-0.04310192804074775,0.2115540333398318,0.21127963416199516
1,"(2, 'donovan', 18)","(2, 'donovan', 18)",-0.022030068752076026,0.003526351084723767,-0.11173340317976647,-0.9163455831359784,-0.026569089118506528,-0.0457403622333743,-0.046370660290637744
2,"(2, 'donovan', 20)","(2, 'donovan', 20)",-0.022537464576611654,0.0073050296550076785,-0.10490619746762928,2.0263743786377257,-0.04126437948113515,0.10165921335499384,0.1011072965665658
3,"(2, 'elcajon', 17)","(2, 'elcajon', 17)",0.008866697274237723,0.0005203856461088452,-0.08697672141853913,1.9160984213581287,-0.04004615503590958,0.21260161837100444,0.21174551206626813
4,"(2, 'elcajon', 19)","(2, 'elcajon', 19)",-0.035749175294224056,-0.003360964912656472,0.0032029861317033298,-0.7842230624667756,0.0006320875756684607,-0.09338962867103184,-0.09339083696172956
5,"(2, 'elcajon', 21)","(2, 'elcajon', 21)",-0.04375110061853293,0.000260244637346696,-0.012099956180146492,-0.09052753784427736,-0.01537662947151186,-0.00940586605884608,-0.009421087754392763
6,"(2, 'shafter', 11)","(2, 'shafter', 11)",0.051730554245217775,0.007049415019274695,-0.027387991685601992,1.8150162186628618,-0.02586800891847529,0.15159077131571053,0.15152734606089435
7,"(2, 'shafter', 12)","(2, 'shafter', 12)",-0.045630450306861185,-0.0038811171351185725,0.027206511035647283,0.22186737884502605,0.009540903845421056,0.017503682726250247,0.017445401142227368
8,"(2, 'shafter', 13)","(2, 'shafter', 13)",0.004727404157014448,-0.0012678383786104974,0.08320015527615998,-0.2425436308881075,-6.50353698791184e-05,-0.01889054318589256,-0.019444660268349345
9,"(3, 'donovan', 11)","(3, 'donovan', 11)",-0.04138354998490623,0.0028185551787131,-0.03212091458245922,-3.4197121942463724,0.001564069733210549,-0.205493710329387,-0.20555497113321766
10,"(3, 'donovan', 12)","(3, 'donovan', 12)",-0.11456312192740192,-0.005237051005312575,-0.0463980721592129,-15.847294357063696,0.11506441897872087,-1.0797530587555455,-1.0798897027324212
11,"(3, 'donovan', 13)","(3, 'donovan', 13)",-0.09216041064635673,7.21515050151611e-05,-0.16152157265530492,-3.28252612753208,-0.04189858477522712,-0.16400157065203302,-0.1653046348787246
12,"(3, 'elcajon', 15)","(3, 'elcajon', 15)",-0.018201916055005984,0.00037307928516258637,0.005158803969428714,-7.219530265443076,0.06576231652774145,-0.6130302262421221,-0.6130323742426009
13,"(3, 'elcajon', 18)","(3, 'elcajon', 18)",0.04315097367403942,0.002909145108335787,-0.07184983679140318,-3.7166232023047066,0.036406869968559234,-0.3314021711090165,-0.3318498640699037
14,"(3, 'elcajon', 20)","(3, 'elcajon', 20)",0.009996004528191271,0.0003881236194552273,0.023111243707186684,4.405529737227685,-0.04189544551381619,0.3895428945665715,0.3894939877040509
15,"(3, 'shafter', 17)","(3, 'shafter', 17)",-0.01413641993773762,-0.0010280888458640278,0.05423687222493001,6.337579570426179,-0.03494969176377538,0.4402714964700349,0.4400607974443025
16,"(3, 'shafter', 19)","(3, 'shafter', 19)",-0.00042964090998154353,0.0024526894396737497,-0.014962442604952225,6.512809921061837,-0.046823151595694834,0.5073842484593554,0.5073660902628765
17,"(3, 'shafter', 21)","(3, 'shafter', 21)",0.003353629315410167,0.000249178182382237,0.056800191169654526,6.102410666269782,-0.039950098301824936,0.4701457724151181,0.4698880179199225
18,"(4, 'donovan', 17)","(4, 'donovan', 17)",-0.0373393491748093,0.033304440194348084,-0.4373847482991502,-2.025356730886223,0.015204544775584528,-0.11410484494710893,-0.1259143308045454
19,"(4, 'donovan', 19)","(4, 'donovan', 19)",-0.2785959896056407,0.0023831209728223945,0.30490314980917216,-0.18430950769012355,0.02534285279303416,-0.009327450581722907,-0.018802374367873576
20,"(4, 'donovan', 21)","(4, 'donovan', 21)",0.06456679352252692,0.045115664385102616,-0.7742894305019462,1.36337935994424,-0.033121548250604094,0.13206756127571584,0.09148072403817054
21,"(4, 'elcajon', 11)","(4, 'elcajon', 11)",-0.021891360593783386,-0.0012690011418261538,0.03839897679376763,-0.3733042164315492,0.0023896753690592076,-0.03867555738280437,-0.03882830741774779
22,"(4, 'elcajon', 12)","(4, 'elcajon', 12)",-0.04616728919650282,-0.002554377265665708,-0.061464676033066774,-0.870178776002362,0.006698123652162935,-0.07463312653010501,-0.07495647348990088
23,"(4, 'elcajon', 13)","(4, 'elcajon', 13)",0.023226725000411008,0.0016343721522789345,0.0252548946602917,-1.413698794866214,0.004169130305254232,-0.11069582923901766,-0.1107453639907794
24,"(4, 'shafter', 15)","(4, 'shafter', 15)",-0.004549003485831982,0.001741503946345313,-0.07397092420240745,0.8073486048241847,-0.006554633346393168,0.06711211353585078,0.06665783176835838
25,"(4, 'shafter', 18)","(4, 'shafter', 18)",0.023096635160301027,0.003188258823110745,-0.08918983031344062,1.052912329443977,-0.02262020824344313,0.09550287549777448,0.09478059211320213
26,"(4, 'shafter', 20)","(4, 'shafter', 20)",-0.01945550363429316,0.0007835513312469122,-0.05181873980385225,-0.30134160778979435,-0.0064755297745376925,-0.02384026377411086,-0.024054197761328663
