,Model,Testing Location,O3 MAE,O3 CvMAE,O3 MBE,O3 MSE,O3 R^2,O3 crMSE,O3 rMSE
0,"(2, 'donovan', 15)","(2, 'donovan', 15)",0.0233167512084842,0.0007688349285436824,0.2715815913286133,1.3027216948677705,-0.013221554181221284,0.06972003396822224,0.06597166329449777
1,"(2, 'donovan', 18)","(2, 'donovan', 18)",0.0357790142033485,0.0005389807501455511,0.18696093619400325,0.04680864894856995,0.008465808831150667,0.00452898659287726,0.002592528420674256
2,"(2, 'donovan', 20)","(2, 'donovan', 20)",0.034638564634577484,-0.0002618123513655757,0.2426947219403717,1.4128699669998357,0.007537850647455047,0.07363077951597674,0.07067359672828744
3,"(2, 'elcajon', 17)","(2, 'elcajon', 17)",-0.013754236440758127,0.0024346613743256858,-0.058845702550829625,-0.516007315373443,0.0017288164402731176,-0.028159021366009895,-0.028348971500447462
4,"(2, 'elcajon', 19)","(2, 'elcajon', 19)",-0.07488166256288764,-6.759251946458766e-06,0.08352847106263225,-1.59505041760535,0.003525458289771133,-0.08612583677614437,-0.08650245324835915
5,"(2, 'elcajon', 21)","(2, 'elcajon', 21)",-0.04740449382218603,0.0008334923868876798,-0.074441574473587,-0.8657856697647192,0.00179390441925098,-0.04961540751445881,-0.04993410378398089
6,"(2, 'shafter', 11)","(2, 'shafter', 11)",-0.012475877767233357,-0.000774165729741122,-0.043972947165707765,0.2830652085817178,-0.004491917726376693,0.015415003333437484,0.015310331101167309
7,"(2, 'shafter', 12)","(2, 'shafter', 12)",0.01324054837427724,-0.00041032141056493443,-0.0399547800370608,-0.625385894141715,0.002209283918799265,-0.033832801825276704,-0.0339192267780124
8,"(2, 'shafter', 13)","(2, 'shafter', 13)",-0.06157439302501987,0.0001468028867740723,-0.22558069424959856,-2.219919892209063,0.0020571741991420867,-0.11319702499618067,-0.11583672846398407
9,"(3, 'donovan', 11)","(3, 'donovan', 11)",-0.08689881650396547,-0.003706332756103797,-0.020570526101880617,-0.6873867336759361,0.005697058193409821,-0.04549185378439447,-0.04551979102766257
10,"(3, 'donovan', 12)","(3, 'donovan', 12)",-0.03566635076457736,-0.0017128304701465036,0.002137286902070226,-1.1528338807787577,0.008227463811873559,-0.06792409264089018,-0.06792436071192043
11,"(3, 'donovan', 13)","(3, 'donovan', 13)",-0.10558155316376094,-0.0035202280943470447,0.10664114150211584,2.468659584909389,-0.017039128794632985,0.11444735862804832,0.1139197799523224
12,"(3, 'elcajon', 15)","(3, 'elcajon', 15)",-0.023468973759486644,-0.001978864347032594,-0.07007772594282058,-5.8057957321371845,0.021019401857709563,-0.3691726945370064,-0.3694780471205919
13,"(3, 'elcajon', 18)","(3, 'elcajon', 18)",-0.015304452260981094,-0.00040772759783150325,0.01590555475927052,-1.1218037752253665,0.004191115103209464,-0.1009316142776404,-0.10095417630374293
14,"(3, 'elcajon', 20)","(3, 'elcajon', 20)",0.0187601399898103,0.001863742890450548,-0.0406472205619933,2.4152109567645894,-0.006692408275278615,0.15815672806616998,0.15804748034802252
15,"(3, 'shafter', 17)","(3, 'shafter', 17)",0.032168042500337,-0.001064116138747517,0.047281225522787684,0.4386490357353665,0.0020984329480999713,0.02701580379508961,0.02687859361139111
16,"(3, 'shafter', 19)","(3, 'shafter', 19)",0.05520952849019345,0.0009555297351688252,-0.05610540588896197,-0.7942355548378117,0.0034364622785700853,-0.05710316752038835,-0.057329450280092516
17,"(3, 'shafter', 21)","(3, 'shafter', 21)",0.014477242922191103,-0.0015296793888106839,0.027064701586046184,1.2226896439567696,-0.0006587635968512418,0.08494294040713513,0.08489178108474693
18,"(4, 'donovan', 17)","(4, 'donovan', 17)",-0.16791322846816034,-0.01037888475361598,0.2558892274645814,-2.8512463431680573,-0.07238671707179968,-0.12722877529087204,-0.1302016027186621
19,"(4, 'donovan', 19)","(4, 'donovan', 19)",-0.1618515080424192,-0.01053636688140229,0.20130118574910585,0.14338905074839658,-0.03827477481987318,0.014737973279464356,0.0114876826382595
20,"(4, 'donovan', 21)","(4, 'donovan', 21)",0.3337537661341319,0.004484326419274459,1.05097918541853,0.7802683479456647,-0.06832507981287061,0.10287369992311213,0.04244701894802283
21,"(4, 'elcajon', 11)","(4, 'elcajon', 11)",-0.04502683640922722,-0.0007163915750345028,-0.09524953697354203,-0.8676492597596734,0.003486880309294893,-0.07235471954308004,-0.07311460081465793
22,"(4, 'elcajon', 12)","(4, 'elcajon', 12)",-0.04905641345776779,-0.000684713931284886,-0.05273368316831533,-0.9998294025409322,0.004195607841768423,-0.06957978148412369,-0.06977290423776239
23,"(4, 'elcajon', 13)","(4, 'elcajon', 13)",0.002775328113552078,-0.0005922291698755022,-0.07171256796276065,-1.401827615655293,0.00460007634127102,-0.08512481634578073,-0.0854366282659349
24,"(4, 'shafter', 15)","(4, 'shafter', 15)",8.100610815819921e-05,-0.0013010046260318875,0.034223718110720745,2.129364166627276,-0.011262918370401056,0.1321764123492466,0.13210314785961152
25,"(4, 'shafter', 18)","(4, 'shafter', 18)",0.02455489242512332,0.001414219965996083,0.02412683691675628,2.0105340261874503,-0.008577149983580723,0.1767779144646804,0.17672593987899174
26,"(4, 'shafter', 20)","(4, 'shafter', 20)",-0.02572100159751667,-0.002693743519522479,0.053988285786821945,-0.7509351388481562,0.0030767569416272345,-0.05560781283585037,-0.05582359864763209
