,Model,Testing Location,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE,NO2 MBE,NO2 MSE,NO2 R^2,NO2 crMSE,NO2 rMSE,O3 MBE,O3 MSE,O3 R^2,O3 crMSE,O3 rMSE
0,"(2, 'donovan', 15)","(2, 'donovan', 15)",0.061664661878141125,0.0233167512084842,0.007380938282104621,0.0007688349285436824,-0.07407689436746319,4.269829855387528,-0.04310192804074775,0.2115540333398318,0.21127963416199513,0.27158159132861326,1.3027216948677705,-0.013221554181221284,0.06972003396822224,0.06597166329449777
1,"(2, 'donovan', 18)","(2, 'donovan', 18)",-0.022030068752076026,0.0357790142033485,0.0035263510847237667,0.0005389807501455512,-0.11173340317976649,-0.9163455831359784,-0.026569089118506528,-0.0457403622333743,-0.046370660290637744,0.18696093619400325,0.04680864894856995,0.008465808831150667,0.00452898659287726,0.002592528420674256
2,"(2, 'donovan', 20)","(2, 'donovan', 20)",-0.022537464576611654,0.034638564634577484,0.007305029655007678,-0.0002618123513655757,-0.10490619746762929,2.026374378637726,-0.04126437948113515,0.10165921335499384,0.10110729656656581,0.24269472194037173,1.4128699669998355,0.007537850647455047,0.07363077951597674,0.07067359672828744
3,"(2, 'elcajon', 17)","(2, 'elcajon', 17)",0.008866697274237723,-0.013754236440758127,0.0005203856461088452,0.002434661374325686,-0.08697672141853913,1.9160984213581287,-0.04004615503590958,0.21260161837100444,0.21174551206626813,-0.05884570255082963,-0.516007315373443,0.0017288164402731176,-0.028159021366009895,-0.028348971500447462
4,"(2, 'elcajon', 19)","(2, 'elcajon', 19)",-0.035749175294224056,-0.07488166256288764,-0.0033609649126564722,-6.759251946458766e-06,0.0032029861317033298,-0.7842230624667756,0.0006320875756684607,-0.09338962867103184,-0.09339083696172956,0.08352847106263225,-1.59505041760535,0.003525458289771133,-0.08612583677614438,-0.08650245324835915
5,"(2, 'elcajon', 21)","(2, 'elcajon', 21)",-0.043751100618532934,-0.04740449382218603,0.000260244637346696,0.0008334923868876798,-0.012099956180146492,-0.09052753784427736,-0.01537662947151186,-0.00940586605884608,-0.009421087754392765,-0.074441574473587,-0.865785669764719,0.00179390441925098,-0.04961540751445881,-0.04993410378398089
6,"(2, 'shafter', 11)","(2, 'shafter', 11)",0.051730554245217775,-0.012475877767233357,0.007049415019274696,-0.000774165729741122,-0.027387991685601992,1.815016218662862,-0.025868008918475294,0.15159077131571053,0.15152734606089435,-0.043972947165707765,0.2830652085817178,-0.004491917726376693,0.015415003333437483,0.015310331101167307
7,"(2, 'shafter', 12)","(2, 'shafter', 12)",-0.04563045030686119,0.013240548374277239,-0.0038811171351185725,-0.00041032141056493443,0.027206511035647283,0.22186737884502605,0.009540903845421056,0.017503682726250247,0.017445401142227368,-0.039954780037060794,-0.625385894141715,0.0022092839187992652,-0.033832801825276704,-0.0339192267780124
8,"(2, 'shafter', 13)","(2, 'shafter', 13)",0.004727404157014448,-0.06157439302501988,-0.0012678383786104974,0.00014680288677407227,0.08320015527615997,-0.2425436308881075,-6.50353698791184e-05,-0.01889054318589256,-0.019444660268349345,-0.22558069424959856,-2.219919892209063,0.0020571741991420867,-0.11319702499618067,-0.11583672846398407
9,"(3, 'donovan', 11)","(3, 'donovan', 11)",-0.04138354998490623,-0.08689881650396547,0.0028185551787131002,-0.0037063327561037973,-0.03212091458245922,-3.4197121942463724,0.001564069733210549,-0.205493710329387,-0.20555497113321763,-0.02057052610188062,-0.6873867336759361,0.005697058193409821,-0.045491853784394465,-0.04551979102766257
10,"(3, 'donovan', 12)","(3, 'donovan', 12)",-0.11456312192740192,-0.03566635076457736,-0.005237051005312576,-0.0017128304701465036,-0.0463980721592129,-15.847294357063696,0.11506441897872088,-1.0797530587555455,-1.0798897027324212,0.002137286902070226,-1.1528338807787577,0.008227463811873559,-0.06792409264089017,-0.06792436071192043
11,"(3, 'donovan', 13)","(3, 'donovan', 13)",-0.09216041064635672,-0.10558155316376094,7.21515050151611e-05,-0.0035202280943470443,-0.16152157265530492,-3.28252612753208,-0.04189858477522712,-0.16400157065203302,-0.1653046348787246,0.10664114150211583,2.468659584909389,-0.017039128794632985,0.11444735862804833,0.11391977995232239
12,"(3, 'elcajon', 15)","(3, 'elcajon', 15)",-0.018201916055005984,-0.023468973759486644,0.00037307928516258637,-0.001978864347032594,0.0051588039694287135,-7.219530265443076,0.06576231652774145,-0.6130302262421221,-0.6130323742426009,-0.07007772594282057,-5.8057957321371845,0.021019401857709563,-0.3691726945370064,-0.36947804712059185
13,"(3, 'elcajon', 18)","(3, 'elcajon', 18)",0.04315097367403942,-0.015304452260981094,0.0029091451083357867,-0.00040772759783150314,-0.07184983679140317,-3.7166232023047066,0.03640686996855924,-0.3314021711090165,-0.3318498640699037,0.01590555475927052,-1.1218037752253665,0.004191115103209464,-0.10093161427764041,-0.10095417630374293
14,"(3, 'elcajon', 20)","(3, 'elcajon', 20)",0.009996004528191271,0.0187601399898103,0.00038812361945522733,0.0018637428904505482,0.023111243707186684,4.405529737227685,-0.04189544551381619,0.38954289456657154,0.38949398770405086,-0.040647220561993304,2.4152109567645894,-0.006692408275278616,0.15815672806616998,0.15804748034802252
15,"(3, 'shafter', 17)","(3, 'shafter', 17)",-0.014136419937737621,0.032168042500337,-0.001028088845864028,-0.0010641161387475173,0.05423687222493001,6.337579570426179,-0.03494969176377538,0.44027149647003494,0.4400607974443025,0.047281225522787684,0.4386490357353665,0.002098432948099971,0.02701580379508961,0.02687859361139111
16,"(3, 'shafter', 19)","(3, 'shafter', 19)",-0.0004296409099815435,0.05520952849019345,0.0024526894396737497,0.0009555297351688252,-0.014962442604952225,6.512809921061837,-0.046823151595694834,0.5073842484593554,0.5073660902628765,-0.05610540588896197,-0.7942355548378117,0.003436462278570085,-0.057103167520388354,-0.05732945028009251
17,"(3, 'shafter', 21)","(3, 'shafter', 21)",0.003353629315410167,0.014477242922191103,0.000249178182382237,-0.001529679388810684,0.05680019116965453,6.102410666269783,-0.03995009830182494,0.4701457724151181,0.4698880179199225,0.027064701586046184,1.2226896439567696,-0.0006587635968512418,0.08494294040713513,0.08489178108474693
18,"(4, 'donovan', 17)","(4, 'donovan', 17)",-0.0373393491748093,-0.16791322846816037,0.033304440194348084,-0.01037888475361598,-0.4373847482991502,-2.025356730886223,0.015204544775584528,-0.11410484494710893,-0.1259143308045454,0.2558892274645814,-2.8512463431680573,-0.07238671707179967,-0.12722877529087206,-0.1302016027186621
19,"(4, 'donovan', 19)","(4, 'donovan', 19)",-0.2785959896056407,-0.1618515080424192,0.0023831209728223945,-0.01053636688140229,0.30490314980917216,-0.18430950769012355,0.025342852793034165,-0.009327450581722907,-0.018802374367873576,0.20130118574910583,0.14338905074839658,-0.03827477481987318,0.014737973279464356,0.0114876826382595
20,"(4, 'donovan', 21)","(4, 'donovan', 21)",0.06456679352252692,0.3337537661341319,0.045115664385102616,0.004484326419274459,-0.7742894305019462,1.3633793599442399,-0.033121548250604094,0.13206756127571584,0.09148072403817054,1.05097918541853,0.7802683479456647,-0.06832507981287061,0.10287369992311213,0.04244701894802283
21,"(4, 'elcajon', 11)","(4, 'elcajon', 11)",-0.021891360593783382,-0.04502683640922722,-0.0012690011418261538,-0.0007163915750345029,0.03839897679376763,-0.3733042164315492,0.0023896753690592076,-0.03867555738280437,-0.03882830741774779,-0.09524953697354205,-0.8676492597596734,0.003486880309294893,-0.07235471954308004,-0.07311460081465793
22,"(4, 'elcajon', 12)","(4, 'elcajon', 12)",-0.046167289196502814,-0.04905641345776779,-0.0025543772656657082,-0.000684713931284886,-0.06146467603306677,-0.870178776002362,0.006698123652162935,-0.07463312653010501,-0.07495647348990087,-0.05273368316831533,-0.9998294025409322,0.004195607841768423,-0.06957978148412369,-0.06977290423776239
23,"(4, 'elcajon', 13)","(4, 'elcajon', 13)",0.023226725000411008,0.002775328113552078,0.0016343721522789345,-0.0005922291698755022,0.0252548946602917,-1.4136987948662139,0.004169130305254232,-0.11069582923901766,-0.11074536399077939,-0.07171256796276065,-1.401827615655293,0.00460007634127102,-0.08512481634578073,-0.0854366282659349
24,"(4, 'shafter', 15)","(4, 'shafter', 15)",-0.004549003485831982,8.10061081581992e-05,0.001741503946345313,-0.0013010046260318875,-0.07397092420240745,0.8073486048241847,-0.006554633346393168,0.06711211353585078,0.06665783176835838,0.034223718110720745,2.1293641666272762,-0.011262918370401054,0.1321764123492466,0.13210314785961152
25,"(4, 'shafter', 18)","(4, 'shafter', 18)",0.023096635160301027,0.02455489242512332,0.0031882588231107456,0.001414219965996083,-0.08918983031344062,1.052912329443977,-0.02262020824344313,0.09550287549777448,0.09478059211320211,0.02412683691675628,2.0105340261874503,-0.008577149983580723,0.17677791446468039,0.17672593987899177
26,"(4, 'shafter', 20)","(4, 'shafter', 20)",-0.01945550363429316,-0.02572100159751667,0.0007835513312469122,-0.002693743519522479,-0.05181873980385225,-0.30134160778979435,-0.006475529774537692,-0.02384026377411086,-0.024054197761328666,0.053988285786821945,-0.7509351388481562,0.0030767569416272345,-0.05560781283585037,-0.05582359864763209
