,Model,Testing Location,NO2 MAE,NO2 CvMAE,NO2 MBE,NO2 MSE,NO2 R^2,NO2 crMSE,NO2 rMSE
0,"(2, 'donovan', 15)","(2, 'donovan', 15)",6.614367599822263,0.6227007876942493,1.4594688942306294e-14,104.25080802434626,0.20961724721069666,10.210328497376873,10.210328497376873
1,"(2, 'donovan', 18)","(2, 'donovan', 18)",6.3913581971922016,0.6148410756649276,-5.5454918897016494e-15,97.16983376274707,0.2510918878015224,9.85747603409448,9.857476034094482
2,"(2, 'donovan', 20)","(2, 'donovan', 20)",6.6569143406459945,0.6411160850893417,-1.978238773303354e-14,101.43439398065829,0.22000001185183016,10.071464341428127,10.071464341428127
3,"(2, 'elcajon', 17)","(2, 'elcajon', 17)",3.3293435118419437,0.2957338419703841,-1.993894690661287e-14,21.44064232133605,0.6683056754898863,4.6304041207367685,4.6304041207367685
4,"(2, 'elcajon', 19)","(2, 'elcajon', 19)",2.9757431382413735,0.26438386401157976,3.346879552450943e-14,17.238379510696685,0.7329467308282112,4.151912753261644,4.151912753261644
5,"(2, 'elcajon', 21)","(2, 'elcajon', 21)",3.7107750601304303,0.3304245623730735,2.9744162704980823e-14,23.038134524581498,0.6426900117333068,4.799805675710372,4.799805675710372
6,"(2, 'shafter', 11)","(2, 'shafter', 11)",4.504942888800878,0.33556084715649026,-4.043007614492636e-14,36.782225641405255,0.5643474086844908,6.0648351701761225,6.064835170176124
7,"(2, 'shafter', 12)","(2, 'shafter', 12)",4.604631775659998,0.34255927418509285,1.0031655362106766e-14,40.546712370052646,0.5372543750911494,6.367630043434737,6.367630043434736
8,"(2, 'shafter', 13)","(2, 'shafter', 13)",4.673229854612046,0.3446102295826165,3.575557573086039e-14,38.77608529244964,0.551910963417451,6.227044667613172,6.227044667613172
9,"(3, 'donovan', 11)","(3, 'donovan', 11)",5.181240883006885,0.43692296968298494,2.5057226240303573e-14,67.49386541589516,0.4444345152376329,8.215465015195134,8.215465015195132
10,"(3, 'donovan', 12)","(3, 'donovan', 12)",3.9169542529196693,0.33021685423899955,-5.634614838632055e-15,46.20620817137628,0.6209936777044631,6.79751485260432,6.7975148526043165
11,"(3, 'donovan', 13)","(3, 'donovan', 13)",6.399437184508679,0.5450751605822365,-5.949424088149112e-15,96.94500465574413,0.21162741037273314,9.846065440354543,9.846065440354543
12,"(3, 'elcajon', 15)","(3, 'elcajon', 15)",3.9047934431097913,0.2461465702764434,9.579534639042248e-15,31.157159207521428,0.6937872837612824,5.5818598340984344,5.581859834098437
13,"(3, 'elcajon', 18)","(3, 'elcajon', 18)",3.98263296419074,0.2497230175674479,-4.2160845474310167e-14,29.527611722575067,0.7138808096181009,5.433931516183756,5.433931516183754
14,"(3, 'elcajon', 20)","(3, 'elcajon', 20)",4.0573709840971866,0.2543198760502816,-2.1523926604275967e-15,34.22483778629114,0.6684575480917139,5.850199807381887,5.850199807381892
15,"(3, 'shafter', 17)","(3, 'shafter', 17)",5.372339878957804,0.39248546787981214,-3.8446563038734045e-14,55.068723637162684,0.35241284017382923,7.420830387305906,7.420830387305903
16,"(3, 'shafter', 19)","(3, 'shafter', 19)",4.537417858394826,0.326088239181826,1.9184491875386122e-14,44.514757669177634,0.4858811548304944,6.671938074441156,6.6719380744411625
17,"(3, 'shafter', 21)","(3, 'shafter', 21)",4.815145305812491,0.3517786664360705,3.4216978906182905e-14,45.271600479611074,0.4676232670918145,6.728417382981758,6.728417382981758
18,"(4, 'donovan', 17)","(4, 'donovan', 17)",5.712725222355182,0.7499670070541357,5.902088853491155e-15,63.67467042761493,0.04484736410897305,7.9796409961610975,7.979640996161102
19,"(4, 'donovan', 19)","(4, 'donovan', 19)",3.2264762952346033,0.426563843342024,1.1028541434631805e-14,23.929985242788238,0.6464505825333176,4.891828415100863,4.891828415100865
20,"(4, 'donovan', 21)","(4, 'donovan', 21)",5.578794196237775,0.73238453163314,-5.917716626271802e-15,56.21206580182926,0.15679025177628736,7.497470626940078,7.497470626940078
21,"(4, 'elcajon', 11)","(4, 'elcajon', 11)",3.573984632796142,0.1847868431691182,3.5522378410734526e-14,22.922071798843177,0.7732989739800609,4.787700053140671,4.787700053140671
22,"(4, 'elcajon', 12)","(4, 'elcajon', 12)",4.342328574353893,0.22451276983531504,-3.10353066508548e-14,33.25923825622488,0.6710636148645032,5.767082300108512,5.767082300108512
23,"(4, 'elcajon', 13)","(4, 'elcajon', 13)",4.8662473553653465,0.2515307090476297,9.163602986251378e-14,40.034495387647475,0.6048944614095735,6.327281832481267,6.327281832481265
24,"(4, 'shafter', 15)","(4, 'shafter', 15)",4.605488562035756,0.37103255381532496,1.3525816036178031e-14,37.07891688797404,0.4781363642379588,6.089246003239973,6.089246003239977
25,"(4, 'shafter', 18)","(4, 'shafter', 18)",4.216929926485334,0.34166613502930243,-2.310839574087521e-14,31.38086351097756,0.5510933207800822,5.601862503755119,5.601862503755117
26,"(4, 'shafter', 20)","(4, 'shafter', 20)",4.710990053856173,0.38189603853548265,2.1919770418835862e-14,39.08472676196453,0.4406849806680392,6.251777888086281,6.251777888086277
