,Model,NO2 MAE,NO2 CvMAE,NO2 MBE,NO2 MSE,NO2 R^2,NO2 crMSE,NO2 rMSE
0,"(11, {(3, 'donovan'), (2, 'shafter')})",0.5527983982805837,0.1807847024464092,-1.7403997910026032,25.63734309526112,-0.1775841039429521,2.047366561107407,1.782778633516294
1,"(11, {(3, 'donovan'), (4, 'elcajon')})",-1.5492964621068674,-0.15655798193484693,-2.0878527288738953,-9.671333743137176,0.3215987532097637,-0.3597358224130316,-0.6373177088875135
2,"(11, {(2, 'shafter'), (4, 'elcajon')})",-1.5174074449210426,-0.23856569986874715,0.9427626762656396,-50.172210978620065,0.3350296879926947,-3.326007569009235,-3.375219634556116
3,"(12, {(3, 'donovan'), (2, 'shafter')})",0.03879201573978719,0.1453033183514887,1.9881678931129032,13.213594336224576,-0.0716789597430122,1.2135082597533966,0.9308929165936516
4,"(12, {(3, 'donovan'), (4, 'elcajon')})",-2.982774277579221,-0.2648008293602845,-3.8661135698280784,-45.813679274376895,0.721816972755911,-1.9317178499871417,-2.7634853350277417
5,"(12, {(2, 'shafter'), (4, 'elcajon')})",-0.41810567903084017,-0.1588569116970519,-0.7632735552494005,-26.341276186946477,0.1402588197606628,-1.7491873661830601,-1.78760575304422
6,"(13, {(3, 'donovan'), (2, 'shafter')})",-0.2258510807082139,0.17160655403649178,-1.2379445290509292,18.766497167779306,-0.06505889284168986,1.1395669738681722,1.0344133534030089
7,"(13, {(3, 'donovan'), (4, 'elcajon')})",0.19460472334136455,-0.042481648321418534,0.635464646075438,-28.56427932638157,0.6237355264196213,-1.507377728839531,-1.5230617223050036
8,"(13, {(2, 'shafter'), (4, 'elcajon')})",-2.1407890695189336,-0.3291865639746861,2.475745158577264,-54.51063683758542,0.2858304354732521,-2.6637446535327483,-2.950960819011857
9,"(15, {(3, 'elcajon'), (2, 'donovan')})",-2.4027868684110505,-0.24766678499434466,1.6510492755716517,-24.768971730117162,0.6496773951034758,-1.3933876644855498,-1.542229570542064
10,"(15, {(4, 'shafter'), (2, 'donovan')})",0.4053588060698976,0.13760155267112073,-2.1173878284007395,4.726127574509867,-0.19186317044396814,0.6572424311421345,0.3153147449623823
11,"(15, {(4, 'shafter'), (3, 'elcajon')})",-1.2452409498376742,-0.2238929888475864,-0.4247711256856092,-48.924960383170074,0.16535610850134486,-2.9234128201775538,-2.93426303440027
12,"(17, {(2, 'elcajon'), (3, 'shafter')})",-5.246435805468876,-0.8995868346402099,8.677400666648174,-81.68464484563466,1.2957025682154355,-0.42268859440438705,-4.444641530391556
13,"(17, {(4, 'donovan'), (2, 'elcajon')})",-6.5840455467159495,-0.4200827539998599,8.574844583548144,-123.09813046395077,1.4914154211985484,-3.7402800942887837,-7.199002653007059
14,"(17, {(4, 'donovan'), (3, 'shafter')})",-2.5319710041550865,-0.30922745589058004,-0.5337242044521914,-74.19794644945728,1.227017146927314,-4.078521645386148,-4.08860471588164
15,"(18, {(3, 'elcajon'), (2, 'donovan')})",-0.09179571886242233,-0.06321440507558851,-0.26564544845233257,5.971833554712702,0.1990377730549924,0.4404797754087273,0.4319260334476081
16,"(18, {(4, 'shafter'), (2, 'donovan')})",-0.1464811856451167,0.08864098069084142,-1.6368643572403263,3.2806514781805087,-0.14341140302409286,0.4667742654451894,0.2403702080137924
17,"(18, {(4, 'shafter'), (3, 'elcajon')})",-2.3403843674165845,-0.3193646988591832,-4.122902530397416,-77.92726758005576,0.4181875897981452,-3.7999561124596593,-4.657562089266743
18,"(19, {(2, 'elcajon'), (3, 'shafter')})",-1.3302742305643855,-0.35198538412996944,3.417000672067694,-6.268996978971452,0.2017985763107024,0.470825633592348,-0.5142674731545158
19,"(19, {(4, 'donovan'), (2, 'elcajon')})",-2.85440377743078,-0.14754202034563085,3.0463201583817696,-34.050771309130695,0.3699697849294943,-2.2475200897342638,-2.9099712549928425
20,"(19, {(4, 'donovan'), (3, 'shafter')})",-0.29114798886647186,-0.1038538945279327,-0.532386728489393,-2.1491762070554827,0.1300681858729048,-0.14862857142460315,-0.17200296031995332
21,"(20, {(3, 'elcajon'), (2, 'donovan')})",-3.268328559723959,-0.3208407031072225,6.60376426840729,-65.99608381334423,1.2063195787706955,-1.4341271412481014,-3.67890539563521
22,"(20, {(4, 'shafter'), (2, 'donovan')})",-0.15466592828322054,0.09839010331306364,-2.7753234904147828,3.7754711468633175,-0.16958458535269705,0.8335740466052934,0.2538796827288792
23,"(20, {(4, 'shafter'), (3, 'elcajon')})",-1.3435344108964014,-0.23527690556975256,-0.6727852921414644,-54.08317200289608,0.21698499051475492,-3.2477904399773765,-3.273028587078821
24,"(21, {(2, 'elcajon'), (3, 'shafter')})",-6.76204351929968,-1.0829305011953123,10.832783591755183,-126.79744934048577,1.9500360425269336,-0.6881022519659901,-6.520534007040352
25,"(21, {(4, 'donovan'), (2, 'elcajon')})",-5.325778071817841,-0.32556239257581604,7.7826412328387535,-89.55768505187157,1.0641362837367243,-2.276799256279401,-5.508947360029691
26,"(21, {(4, 'donovan'), (3, 'shafter')})",-3.067129836794897,-0.340331777529872,-5.7941705804673775,-77.77544471984399,1.2385488970011203,-2.8997136028372896,-4.545807053980115
