,Model,O3 MAE,O3 CvMAE,O3 MBE,O3 MSE,O3 R^2,O3 crMSE,O3 rMSE
0,"(11, {(3, 'donovan'), (2, 'shafter')})",0.6465655795357836,-0.11264938833587053,2.483209019030149,23.30807729465189,-0.06798277962558119,1.9547562856859475,1.5026028380014411
1,"(11, {(3, 'donovan'), (4, 'elcajon')})",-2.2931034756813244,-0.021957833096807242,-0.30688405246069866,-58.52127600045028,0.025398399131797426,-3.3601784883208152,-3.3662754879658934
2,"(11, {(2, 'shafter'), (4, 'elcajon')})",-2.1464400697782593,-0.008486496007591271,-5.305314574367255,-46.3625122029466,0.3588809513566854,-1.0944165330391629,-2.6338832695138006
3,"(12, {(3, 'donovan'), (2, 'shafter')})",1.2753151596583798,-0.09626035236231337,-1.6000983108597215,27.84199963251028,-0.08321223858926408,1.7713560500995733,1.6113032632042197
4,"(12, {(3, 'donovan'), (4, 'elcajon')})",-2.698495846820533,-0.0264623502377892,0.02638045136654273,-65.88233622189405,0.01892825025619005,-3.3534875167350435,-3.3534632003804408
5,"(12, {(2, 'shafter'), (4, 'elcajon')})",-1.7852104362382928,0.008631894627838865,-3.4336412844942124,-34.66793147021144,0.3343173026534043,-1.2647633882037503,-1.8671369560138675
6,"(13, {(3, 'donovan'), (2, 'shafter')})",-0.12570051536075688,-0.22258315543803991,2.650001888784917,-4.789078226690094,0.04979148089238072,0.10286432523589006,-0.2091641632442105
7,"(13, {(3, 'donovan'), (4, 'elcajon')})",-3.548303689257101,-0.03188549916288208,-5.538364418749507,-153.65489211711545,0.12571255981235085,-4.9739418656319,-5.96719328032159
8,"(13, {(2, 'shafter'), (4, 'elcajon')})",-4.998738977398492,-0.08193317082409124,-9.43843864615051,-140.12518544435315,0.9138769390444864,-2.2106353369092058,-5.451861669526158
9,"(15, {(3, 'elcajon'), (2, 'donovan')})",-10.669381568271595,-0.6415458444027715,-16.994860362084587,-387.0184678037688,1.4490428065995882,-4.5246202655018735,-12.828776001087437
10,"(15, {(4, 'shafter'), (2, 'donovan')})",-6.5394466119100985,-0.30867248666489944,12.646967627953243,-192.2200597776249,0.6697741374342071,-1.4452431236782033,-7.328454763475318
11,"(15, {(4, 'shafter'), (3, 'elcajon')})",-8.139733024071141,-0.010477583296269743,-12.544673252471993,-221.7811394928924,0.7355305572062769,-2.8981569584506257,-8.067187393328558
12,"(17, {(2, 'elcajon'), (3, 'shafter')})",-13.899951550350233,-0.31374766031717005,-19.60261831684213,-554.2171693997186,3.5480588333151477,-6.665093517224151,-15.96296023368882
13,"(17, {(4, 'donovan'), (2, 'elcajon')})",-7.205967717439072,-0.4618128084356531,-12.481755930536613,-234.9743061650591,0.6384614494240325,-3.3675720184774143,-8.443357485946201
14,"(17, {(4, 'donovan'), (3, 'shafter')})",-5.0669039360755965,-0.014904907559966598,-3.6400360418725684,-140.3241419015722,0.3113055965771393,-5.6008151249496265,-6.054144443938303
15,"(18, {(3, 'elcajon'), (2, 'donovan')})",-2.6953795723208023,-0.20686807720034225,-7.145020650358669,-41.471288228956716,0.19349177917435167,0.6465073486177886,-2.468885643561705
16,"(18, {(4, 'shafter'), (2, 'donovan')})",-2.033997224874982,-0.10399352819724614,5.4813842446500365,-29.866095657092828,0.11700354348952635,0.059573205787986076,-1.9163848684906908
17,"(18, {(4, 'shafter'), (3, 'elcajon')})",-3.1575090954063483,0.03463764112017989,-1.336232541204776,-78.42851486353783,0.28329426926955936,-4.53261141756934,-4.613525773600942
18,"(19, {(2, 'elcajon'), (3, 'shafter')})",-2.876379273319653,-0.030671648601541174,-7.576213879250952,-38.43130117561289,0.4526396136790906,1.2568582054176909,-2.09192526239408
19,"(19, {(4, 'donovan'), (2, 'elcajon')})",0.9765050314575684,-0.09173224321848064,-1.9499578620872429,13.444313297623479,-0.027647181163249268,0.9596775939238746,0.7528299692432281
20,"(19, {(4, 'donovan'), (3, 'shafter')})",-4.876871333971466,-0.0395653302287543,-4.871501475987245,-98.87112189746428,0.22706965808992965,-4.0911269397012315,-5.133956416775773
21,"(20, {(3, 'elcajon'), (2, 'donovan')})",-4.156164771469831,-0.30270726595856234,-9.225551190733873,-112.44124169631185,0.4709934770757322,-1.503383379682946,-5.079952712816947
22,"(20, {(4, 'shafter'), (2, 'donovan')})",-1.707478618617908,-0.09023944155420782,2.780337896701836,-32.95736408483664,0.1323013592340152,-1.4273775316381911,-1.8658980924074704
23,"(20, {(4, 'shafter'), (3, 'elcajon')})",-2.7051712541816877,0.07602988863888954,-2.5466444349635995,-64.60600652344817,0.2379801123034305,-3.1238660566393017,-3.4069360593023448
24,"(21, {(2, 'elcajon'), (3, 'shafter')})",-10.057401150820137,-0.21609444316905946,-15.979640829388744,-291.11737703920573,1.9449815639007064,-1.988131522490576,-10.67209981664144
25,"(21, {(4, 'donovan'), (2, 'elcajon')})",-1.3179464776929368,-0.1949361353099207,-5.704292681885475,-40.14033033725869,0.12573120307852834,-0.3609626990327399,-1.9438577682650957
26,"(21, {(4, 'donovan'), (3, 'shafter')})",-4.832834769649262,-0.02733254981476152,-0.5100009682822504,-111.67249895398938,0.2477784222936468,-5.517828043167559,-5.527084255138247
