,Model,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE,NO2 MBE,NO2 MSE,NO2 R^2,NO2 crMSE,NO2 rMSE,O3 MBE,O3 MSE,O3 R^2,O3 crMSE,O3 rMSE
0,"(11, {(3, 'donovan'), (2, 'shafter')})",0.5527983982805837,0.6465655795357836,0.1807847024464092,-0.11264938833587052,-1.7403997910026032,25.637343095261116,-0.1775841039429521,2.047366561107407,1.782778633516294,2.4832090190301495,23.308077294651895,-0.06798277962558119,1.9547562856859475,1.5026028380014411
1,"(11, {(3, 'donovan'), (4, 'elcajon')})",-1.5492964621068674,-2.293103475681324,-0.15655798193484693,-0.02195783309680724,-2.087852728873895,-9.671333743137176,0.3215987532097637,-0.3597358224130316,-0.6373177088875135,-0.30688405246069866,-58.52127600045027,0.025398399131797422,-3.3601784883208152,-3.3662754879658934
2,"(11, {(2, 'shafter'), (4, 'elcajon')})",-1.5174074449210426,-2.146440069778259,-0.23856569986874715,-0.008486496007591271,0.9427626762656395,-50.17221097862006,0.3350296879926947,-3.326007569009235,-3.3752196345561156,-5.305314574367255,-46.36251220294659,0.3588809513566854,-1.0944165330391629,-2.6338832695138006
3,"(12, {(3, 'donovan'), (2, 'shafter')})",0.03879201573978719,1.2753151596583798,0.1453033183514887,-0.09626035236231337,1.9881678931129032,13.213594336224574,-0.0716789597430122,1.2135082597533966,0.9308929165936517,-1.6000983108597215,27.84199963251028,-0.08321223858926408,1.7713560500995733,1.6113032632042197
4,"(12, {(3, 'donovan'), (4, 'elcajon')})",-2.982774277579221,-2.698495846820533,-0.26480082936028454,-0.0264623502377892,-3.8661135698280784,-45.8136792743769,0.721816972755911,-1.931717849987142,-2.7634853350277417,0.026380451366542726,-65.88233622189405,0.01892825025619005,-3.3534875167350435,-3.3534632003804408
5,"(12, {(2, 'shafter'), (4, 'elcajon')})",-0.41810567903084017,-1.7852104362382928,-0.1588569116970519,0.008631894627838865,-0.7632735552494005,-26.341276186946473,0.1402588197606628,-1.74918736618306,-1.78760575304422,-3.4336412844942124,-34.66793147021144,0.3343173026534043,-1.2647633882037503,-1.8671369560138675
6,"(13, {(3, 'donovan'), (2, 'shafter')})",-0.2258510807082139,-0.12570051536075688,0.17160655403649178,-0.22258315543803991,-1.2379445290509292,18.766497167779306,-0.06505889284168986,1.1395669738681722,1.0344133534030089,2.650001888784917,-4.789078226690094,0.049791480892380724,0.10286432523589006,-0.2091641632442105
7,"(13, {(3, 'donovan'), (4, 'elcajon')})",0.19460472334136458,-3.548303689257101,-0.04248164832141854,-0.03188549916288208,0.635464646075438,-28.564279326381566,0.6237355264196213,-1.507377728839531,-1.5230617223050036,-5.538364418749507,-153.65489211711548,0.12571255981235085,-4.9739418656319,-5.96719328032159
8,"(13, {(2, 'shafter'), (4, 'elcajon')})",-2.1407890695189336,-4.998738977398492,-0.32918656397468615,-0.08193317082409124,2.475745158577264,-54.51063683758542,0.28583043547325215,-2.6637446535327483,-2.950960819011857,-9.43843864615051,-140.12518544435315,0.9138769390444865,-2.210635336909206,-5.451861669526158
9,"(15, {(3, 'elcajon'), (2, 'donovan')})",-2.4027868684110505,-10.669381568271596,-0.24766678499434464,-0.6415458444027715,1.651049275571652,-24.768971730117165,0.6496773951034758,-1.3933876644855498,-1.542229570542064,-16.99486036208459,-387.01846780376866,1.449042806599588,-4.5246202655018735,-12.828776001087437
10,"(15, {(4, 'shafter'), (2, 'donovan')})",0.4053588060698976,-6.5394466119100985,0.13760155267112073,-0.30867248666489944,-2.1173878284007395,4.726127574509867,-0.19186317044396817,0.6572424311421345,0.3153147449623823,12.646967627953245,-192.22005977762493,0.6697741374342071,-1.4452431236782033,-7.328454763475317
11,"(15, {(4, 'shafter'), (3, 'elcajon')})",-1.2452409498376742,-8.139733024071141,-0.2238929888475864,-0.010477583296269743,-0.4247711256856092,-48.92496038317007,0.16535610850134486,-2.923412820177554,-2.93426303440027,-12.544673252471995,-221.78113949289238,0.735530557206277,-2.8981569584506257,-8.067187393328556
12,"(17, {(2, 'elcajon'), (3, 'shafter')})",-5.246435805468875,-13.899951550350231,-0.8995868346402099,-0.31374766031717005,8.677400666648172,-81.68464484563466,1.2957025682154355,-0.422688594404387,-4.444641530391557,-19.602618316842126,-554.2171693997186,3.5480588333151473,-6.66509351722415,-15.96296023368882
13,"(17, {(4, 'donovan'), (2, 'elcajon')})",-6.584045546715949,-7.205967717439073,-0.4200827539998599,-0.4618128084356531,8.574844583548142,-123.09813046395075,1.4914154211985484,-3.740280094288784,-7.199002653007059,-12.481755930536613,-234.9743061650591,0.6384614494240325,-3.3675720184774143,-8.443357485946201
14,"(17, {(4, 'donovan'), (3, 'shafter')})",-2.5319710041550865,-5.066903936075597,-0.30922745589058004,-0.014904907559966596,-0.5337242044521914,-74.19794644945728,1.227017146927314,-4.078521645386148,-4.08860471588164,-3.640036041872568,-140.3241419015722,0.3113055965771393,-5.6008151249496265,-6.054144443938302
15,"(18, {(3, 'elcajon'), (2, 'donovan')})",-0.09179571886242233,-2.6953795723208023,-0.06321440507558851,-0.20686807720034223,-0.26564544845233257,5.971833554712703,0.19903777305499237,0.4404797754087273,0.43192603344760805,-7.145020650358669,-41.471288228956716,0.19349177917435167,0.6465073486177886,-2.4688856435617055
16,"(18, {(4, 'shafter'), (2, 'donovan')})",-0.1464811856451167,-2.033997224874982,0.08864098069084142,-0.10399352819724614,-1.6368643572403265,3.280651478180509,-0.14341140302409283,0.4667742654451894,0.24037020801379239,5.4813842446500365,-29.866095657092828,0.11700354348952635,0.05957320578798608,-1.9163848684906908
17,"(18, {(4, 'shafter'), (3, 'elcajon')})",-2.3403843674165845,-3.157509095406348,-0.3193646988591832,0.03463764112017989,-4.122902530397416,-77.92726758005577,0.4181875897981452,-3.7999561124596593,-4.657562089266743,-1.336232541204776,-78.42851486353783,0.28329426926955936,-4.53261141756934,-4.613525773600941
18,"(19, {(2, 'elcajon'), (3, 'shafter')})",-1.3302742305643855,-2.876379273319653,-0.35198538412996944,-0.030671648601541174,3.4170006720676946,-6.268996978971451,0.20179857631070242,0.47082563359234797,-0.5142674731545158,-7.576213879250953,-38.43130117561289,0.45263961367909067,1.256858205417691,-2.0919252623940796
19,"(19, {(4, 'donovan'), (2, 'elcajon')})",-2.8544037774307798,0.9765050314575685,-0.14754202034563085,-0.09173224321848064,3.0463201583817696,-34.0507713091307,0.3699697849294943,-2.2475200897342633,-2.9099712549928425,-1.9499578620872429,13.44431329762348,-0.027647181163249268,0.9596775939238746,0.7528299692432281
20,"(19, {(4, 'donovan'), (3, 'shafter')})",-0.29114798886647186,-4.876871333971466,-0.1038538945279327,-0.0395653302287543,-0.532386728489393,-2.1491762070554827,0.1300681858729048,-0.14862857142460317,-0.17200296031995332,-4.871501475987245,-98.87112189746429,0.22706965808992963,-4.091126939701231,-5.133956416775774
21,"(20, {(3, 'elcajon'), (2, 'donovan')})",-3.268328559723959,-4.15616477146983,-0.32084070310722246,-0.30270726595856234,6.60376426840729,-65.99608381334423,1.2063195787706955,-1.4341271412481014,-3.6789053956352102,-9.225551190733874,-112.44124169631186,0.47099347707573214,-1.5033833796829459,-5.079952712816947
22,"(20, {(4, 'shafter'), (2, 'donovan')})",-0.15466592828322057,-1.707478618617908,0.09839010331306364,-0.09023944155420782,-2.7753234904147828,3.7754711468633175,-0.16958458535269705,0.8335740466052934,0.2538796827288792,2.7803378967018357,-32.95736408483664,0.1323013592340152,-1.4273775316381911,-1.8658980924074706
