,Model,NO2 MAE,NO2 CvMAE,NO2 MBE,NO2 MSE,NO2 R^2,NO2 crMSE,NO2 rMSE
0,"(11, {(3, 'donovan'), (2, 'shafter')})",5.377872584456667,0.4304410457747612,0.06696303179021497,65.3133244985176,0.432235527128511,8.08138852245648,8.081665948213747
1,"(11, {(3, 'donovan'), (4, 'elcajon')})",4.696022100726043,0.3041563049876719,-0.01124244743825615,52.836479424214346,0.5890627991488907,7.268861880073789,7.268870574182371
2,"(11, {(2, 'shafter'), (4, 'elcajon')})",4.378145828412645,0.2514725433049386,-0.003402788210104869,33.003033212550356,0.6815668631998789,5.74482563996355,5.744826647737106
3,"(12, {(3, 'donovan'), (2, 'shafter')})",5.022613749863745,0.4031734902768301,0.07167349264512464,57.19466069747614,0.4958037315031555,7.5623755267725565,7.5627151670201185
4,"(12, {(3, 'donovan'), (4, 'elcajon')})",4.389590468315991,0.2844337736393852,0.05820849795980239,47.711752019120034,0.6264426122225288,6.9071241330878905,6.907369399353131
5,"(12, {(2, 'shafter'), (4, 'elcajon')})",4.8780896103370806,0.2818281275984546,0.03342888054632765,41.912033414808356,0.5968251392217571,6.473864064432735,6.473950371667082
6,"(13, {(3, 'donovan'), (2, 'shafter')})",6.350900636808773,0.5109621521880238,0.10264026251899493,91.93528407237262,0.2300987433104008,9.587739517158482,9.588288902216735
7,"(13, {(3, 'donovan'), (4, 'elcajon')})",5.8196685328691125,0.3742657397855413,0.06706977516946487,74.23071954751785,0.4434114614550985,8.615464072978147,8.615725131845714
8,"(13, {(2, 'shafter'), (4, 'elcajon')})",5.64927294064267,0.3248292116804322,0.011853154119721996,60.226949225831525,0.4312885276114894,7.760593323230418,7.760602375191731
9,"(15, {(3, 'elcajon'), (2, 'donovan')})",4.866413611831518,0.3346388120649597,0.03870473691681997,52.69501447068139,0.549149037998578,7.259029991260656,7.259133176260192
10,"(15, {(4, 'shafter'), (2, 'donovan')})",5.728762926799701,0.4711098785610806,0.09826456497672104,58.552475610785315,0.2864123700088512,7.651327968794376,7.651958939434094
11,"(15, {(4, 'shafter'), (3, 'elcajon')})",5.0260866988896735,0.3650048172903848,0.03865371258522481,47.19288881315397,0.4469491981478054,6.869599311725349,6.869708058800894
12,"(17, {(2, 'elcajon'), (3, 'shafter')})",5.1276228947881535,0.3933898692547987,-0.01838963202257126,48.536222744846455,0.3724042165387401,6.966770023926514,6.966794294713062
13,"(17, {(4, 'donovan'), (2, 'elcajon')})",3.6597599788113886,0.3282870750074525,0.08420954904882323,24.504126190547854,0.6357915788099926,4.949447943194968,4.950164258946146
14,"(17, {(4, 'donovan'), (3, 'shafter')})",5.426708016698113,0.3983543983821939,-0.05525648439369054,49.41312103091525,0.3805749589772157,7.029229527611669,7.029446708732861
15,"(18, {(3, 'elcajon'), (2, 'donovan')})",4.784531568322161,0.3303465185945693,0.08190384054027232,50.822513385409316,0.5686213657124171,7.128520544005907,7.128991049609287
16,"(18, {(4, 'shafter'), (2, 'donovan')})",4.811546223361665,0.39926810058151535,0.09299823780962893,48.223985569795275,0.4205612221141475,6.94372644172854,6.944349182594094
17,"(18, {(4, 'shafter'), (3, 'elcajon')})",4.300197044997779,0.313605741857586,0.0743307940132294,36.44404471198273,0.5759194686382915,6.036432691999803,6.036890318034835
18,"(19, {(2, 'elcajon'), (3, 'shafter')})",4.209836779054142,0.3184739100276867,0.019212606062924253,34.081550715336284,0.5677965961443139,5.8379090084639635,5.837940622799814
19,"(19, {(4, 'donovan'), (2, 'elcajon')})",3.0578261861482074,0.2741133558559806,0.006492902678623081,19.322355699442877,0.7136604670758825,4.395715361765099,4.3957201570894915
20,"(19, {(4, 'donovan'), (3, 'shafter')})",4.530207159840801,0.3248016606171047,0.011368121215303392,37.9640359920548,0.5342763475845609,6.1614857589606284,6.161496246209585
21,"(20, {(3, 'elcajon'), (2, 'donovan')})",5.0004719112171765,0.3453424450501239,0.009175756430380416,50.83796199693985,0.566387569251134,7.130068569265911,7.130074473449758
22,"(20, {(4, 'shafter'), (2, 'donovan')})",5.388628900319043,0.4461756623910632,0.07825779836354159,57.19128230008252,0.3115660245405394,7.562086882407372,7.562491804959693
23,"(20, {(4, 'shafter'), (3, 'elcajon')})",4.901514055631093,0.3573137553454879,0.03489790224140536,43.89634755825011,0.4888650630714386,6.625339968233282,6.62543187711187
24,"(21, {(2, 'elcajon'), (3, 'shafter')})",4.991433368110339,0.381970772672846,-0.003730053844079502,41.76607040642832,0.46043552241981606,6.462666360963322,6.4626674373998485
25,"(21, {(4, 'donovan'), (2, 'elcajon')})",4.0483877522915295,0.3592751765671008,0.04275491645737547,28.87891787838345,0.5751767705815488,5.373740773009251,5.373910855083424
26,"(21, {(4, 'donovan'), (3, 'shafter')})",4.859508085623574,0.3567183666276982,-0.05474216545955474,39.46015646961418,0.505341728472003,6.28149343428257,6.281731964165152
