,Model,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE,NO2 MBE,NO2 MSE,NO2 R^2,NO2 crMSE,NO2 rMSE,O3 MBE,O3 MSE,O3 R^2,O3 crMSE,O3 rMSE
0,"(11, {(3, 'donovan'), (2, 'shafter')})",5.377872584456667,6.48935491536692,0.43044104577476117,0.2141374627850326,0.06696303179021498,65.3133244985176,0.432235527128511,8.08138852245648,8.081665948213747,0.00734424483511782,72.3724906592274,0.7672654374077301,8.507199111417089,8.50720228155105
1,"(11, {(3, 'donovan'), (4, 'elcajon')})",4.696022100726043,5.3293965559438545,0.3041563049876719,0.2200243957626115,-0.01124244743825615,52.836479424214346,0.5890627991488907,7.268861880073789,7.268870574182371,0.05499269950026369,49.128195521349454,0.8277948570920229,7.008935106301904,7.009150841674721
2,"(11, {(2, 'shafter'), (4, 'elcajon')})",4.378145828412645,5.74889322077505,0.2514725433049386,0.25660677280195787,-0.003402788210104869,33.00303321255036,0.6815668631998789,5.744825639963551,5.744826647737106,0.06005311841798106,56.01368380656626,0.8669475537167893,7.4839880698417955,7.484229005486554
3,"(12, {(3, 'donovan'), (2, 'shafter')})",5.022613749863745,7.292154321039299,0.4031734902768301,0.24026109488389488,0.07167349264512464,57.19466069747614,0.4958037315031555,7.562375526772556,7.5627151670201185,-0.02448491547914111,89.21259248658714,0.7107134623194119,9.445210054599157,9.445241790795361
4,"(12, {(3, 'donovan'), (4, 'elcajon')})",4.3895904683159905,6.227705758489044,0.2844337736393852,0.25687095425817674,0.05820849795980239,47.711752019120034,0.6264426122225288,6.90712413308789,6.907369399353131,0.020508548717604432,66.3621702811108,0.7676585944680844,8.146272133960423,8.14629794944371
5,"(12, {(2, 'shafter'), (4, 'elcajon')})",4.87808961033708,6.315810454804106,0.2818281275984546,0.2802436681649586,0.03342888054632765,41.91203341480836,0.596825139221757,6.473864064432735,6.473950371667083,0.022800038159195887,69.72493235506882,0.8330659136013877,8.350114520970846,8.350145648733848
6,"(13, {(3, 'donovan'), (2, 'shafter')})",6.350900636808774,9.13629363295849,0.5109621521880238,0.30068060747686703,0.10264026251899493,91.93528407237262,0.2300987433104008,9.587739517158482,9.588288902216735,-0.016920351522642672,128.6761424149691,0.59523149957075,11.343538077543249,11.343550696980602
7,"(13, {(3, 'donovan'), (4, 'elcajon')})",5.819668532869112,7.762300156637989,0.37426573978554134,0.3250328915466631,0.06706977516946488,74.23071954751785,0.44341146145509847,8.615464072978147,8.615725131845714,-0.014159111233486855,97.83930536822085,0.6588607683772458,9.8913651680539,9.891375302162023
8,"(13, {(2, 'shafter'), (4, 'elcajon')})",5.649272940642671,7.843753784089708,0.3248292116804322,0.3497076568086707,0.011853154119721996,60.22694922583152,0.4312885276114894,7.760593323230418,7.76060237519173,0.07358637988411464,102.51969403569251,0.7560550510936119,10.1249335346158,10.125200938040317
9,"(15, {(3, 'elcajon'), (2, 'donovan')})",4.866413611831518,6.550959990006656,0.33463881206495966,0.23434498837178525,0.038704736916819964,52.69501447068139,0.549149037998578,7.259029991260656,7.2591331762601925,-0.021540194052831287,75.16214073111375,0.806111182113272,8.669583424314796,8.669610183342371
10,"(15, {(4, 'shafter'), (2, 'donovan')})",5.7287629267997,7.246378501891209,0.47110987856108055,0.30481321644147186,0.09826456497672104,58.55247561078531,0.2864123700088512,7.6513279687943765,7.651958939434092,-0.1135146101505991,89.31025715651694,0.754271908594842,9.449728651649119,9.450410422649217
11,"(15, {(4, 'shafter'), (3, 'elcajon')})",5.0260866988896735,7.140372412125518,0.36500481729038475,0.34494597627637796,0.03865371258522481,47.192888813153964,0.4469491981478054,6.869599311725348,6.869708058800895,-0.011256143704654496,94.32845684077083,0.6778904729693337,9.712277289081086,9.712283811790655
12,"(17, {(2, 'elcajon'), (3, 'shafter')})",5.127622894788154,7.246000172759863,0.3933898692547987,0.26928325626648464,-0.01838963202257126,48.53622274484646,0.3724042165387401,6.966770023926514,6.966794294713061,0.013283248744886305,87.94675935588587,0.8015070067905533,9.37798394705326,9.377993354438138
13,"(17, {(4, 'donovan'), (2, 'elcajon')})",3.659759978811389,7.777553304693068,0.3282870750074525,0.20135447810540086,0.08420954904882323,24.504126190547847,0.6357915788099926,4.949447943194968,4.950164258946146,0.1025095279632621,93.95550297595834,0.7742561662617704,9.692522621724198,9.693064684399786
14,"(17, {(4, 'donovan'), (3, 'shafter')})",5.426708016698112,6.404886552371165,0.39835439838219394,0.28151335755037327,-0.05525648439369054,49.41312103091525,0.3805749589772157,7.029229527611669,7.029446708732861,-0.02788223376469374,73.30827887241371,0.8072530629974805,8.561979996090507,8.562025395454846
15,"(18, {(3, 'elcajon'), (2, 'donovan')})",4.784531568322161,5.14789861029619,0.3303465185945693,0.18423880008414223,0.08190384054027233,50.82251338540932,0.5686213657124171,7.128520544005906,7.1289910496092865,-0.051409233904172576,51.32782440971129,0.8650243567059178,7.164159511092756,7.164343962269768
16,"(18, {(4, 'shafter'), (2, 'donovan')})",4.811546223361665,4.897648020962993,0.39926810058151535,0.20348474815957482,0.09299823780962893,48.22398556979527,0.4205612221141475,6.943726441728539,6.944349182594094,-0.05757706851694434,46.7050406118892,0.8690056046367071,6.833866072222229,6.83410861867802
17,"(18, {(4, 'shafter'), (3, 'elcajon')})",4.300197044997778,4.507672339296374,0.313605741857586,0.21490140833189436,0.0743307940132294,36.44404471198273,0.5759194686382915,6.036432691999803,6.036890318034835,-0.0161106009097595,38.35427533035094,0.8694000443201492,6.193061906592662,6.193082861576368
18,"(19, {(2, 'elcajon'), (3, 'shafter')})",4.209836779054142,5.870927645584338,0.3184739100276867,0.21502307596031534,0.019212606062924253,34.081550715336284,0.5677965961443139,5.837909008463962,5.837940622799814,-0.005715173301646428,66.25417818070254,0.8572216411607115,8.139664951181746,8.13966695760352
19,"(19, {(4, 'donovan'), (2, 'elcajon')})",3.0578261861482074,7.476259369827349,0.2741133558559806,0.194348302144245,0.006492902678623081,19.322355699442873,0.7136604670758825,4.395715361765099,4.395720157089492,-0.07885383741380911,86.59415596644409,0.7927265615268005,9.305263996188893,9.305598098265586
20,"(19, {(4, 'donovan'), (3, 'shafter')})",4.530207159840801,4.892900605395124,0.3248016606171047,0.21380139978288693,0.011368121215303392,37.964035992054804,0.5342763475845609,6.161485758960628,6.161496246209585,0.06366222872942773,49.874062751653916,0.8772682978612681,7.061870139862866,7.06215708913742
21,"(20, {(3, 'elcajon'), (2, 'donovan')})",5.0004719112171765,6.5827676893737666,0.3453424450501239,0.23564498606177187,0.009175756430380417,50.837961996939846,0.566387569251134,7.1300685692659105,7.130074473449758,-0.03082647884214914,72.71276481877749,0.8078729852055102,8.527122289904076,8.52717801026679
22,"(20, {(4, 'shafter'), (2, 'donovan')})",5.388628900319043,5.785363565775027,0.44617566239106315,0.24149223430967698,0.07825779836354159,57.19128230008252,0.3115660245405394,7.562086882407372,7.562491804959693,-0.11575340489816804,62.38713290128213,0.8234573132099459,7.8977043531988524,7.898552582675014
23,"(20, {(4, 'shafter'), (3, 'elcajon')})",4.901514055631093,5.780581757596983,0.3573137553454879,0.276255359882951,0.03489790224140536,43.89634755825011,0.4888650630714386,6.625339968233283,6.62543187711187,-0.045630495956565466,60.49841607772396,0.7926429696854084,7.777938925934209,7.778072774005394
24,"(21, {(2, 'elcajon'), (3, 'shafter')})",4.99143336811034,6.357413220079829,0.381970772672846,0.23649073216533167,-0.003730053844079502,41.76607040642832,0.460435522419816,6.462666360963322,6.4626674373998485,-0.03752595018286737,68.94196642894055,0.8443014563432694,8.303045118027683,8.303129917623869
25,"(21, {(4, 'donovan'), (2, 'elcajon')})",4.0483877522915295,7.462443158959614,0.3592751765671008,0.19368194461342386,0.04275491645737547,28.878917878383454,0.5751767705815488,5.373740773009251,5.373910855083424,0.06302944095094117,87.47833907543063,0.7904355707836098,9.352773191145177,9.352985570149814
26,"(21, {(4, 'donovan'), (3, 'shafter')})",4.859508085623574,5.422780891699266,0.3567183666276982,0.23834696268228317,-0.054742165459554744,39.46015646961419,0.505341728472003,6.28149343428257,6.281731964165153,-0.021244512091085892,53.85733048017552,0.8583947728024941,7.33872462699626,7.338755376777149
