,Test,Model,O3 MAE,O3 CvMAE,O3 MBE,O3 MSE,O3 R^2,O3 crMSE,O3 rMSE
0,"(4, 'elcajon')",11,-0.03700181067341557,-0.00016340454550928252,-0.0901534377985148,-0.34164403057890524,0.0017822578836856895,-0.03792017786467383,-0.02746562476933434
1,"(2, 'shafter')",11,0.060190597158181085,0.0015162673960343045,0.00840522340329608,11.983242559213808,-0.027176692136321238,0.5831557378459884,0.583210026588592
2,"(3, 'donovan')",11,-0.049020244191190436,-0.002472498149132918,-0.0234361516637136,-0.1659953240387324,0.003361015168146464,-0.008924143297920573,-0.01064805027472815
3,"(4, 'elcajon')",12,-0.04387814280590074,-0.0003557877708288415,-0.05606339653933856,-1.0024408736405377,0.0042457720459999635,-0.06679268877162414,-0.06830417601822614
4,"(2, 'shafter')",12,-0.04937983106499821,-0.0025385936519905505,0.05284786115015927,-3.8659111095417704,0.008655235648733606,-0.1811516258528876,-0.1838411588774278
5,"(3, 'donovan')",12,-0.019334193156893772,-0.001209983709177409,0.0271058401088973,-1.5789055188325705,0.010531096444148845,-0.08906830729507043,-0.08878172026978426
6,"(4, 'elcajon')",13,0.02590176249735521,0.0005774534524391473,-0.0411685668770112,0.1745013732281393,-0.0008260552382494124,0.0018272600294508836,0.009276814626121066
7,"(2, 'shafter')",13,-0.09426992061867344,-0.00035280437852902585,-0.2643297509641027,-3.3029228267277797,0.002632422296749093,-0.09156570627942527,-0.13246093554039007
8,"(3, 'donovan')",13,-0.10865609950104728,-0.003621361030177572,0.1143461146911392,1.195432667262935,-0.011401957699449405,0.045983357618565535,0.052846942102315005
9,"(4, 'shafter')",15,-0.0266356166830386,-0.002985957172316145,0.04704954548957785,1.1074232790942915,-0.009213855883545286,0.049193921616959464,0.05717844011609863
10,"(3, 'elcajon')",15,-0.007373914445125251,-0.001580807410386631,-0.04300943448967587,-14.238705651458117,0.050168455719726716,-0.7796532414091271,-0.6686830870396161
11,"(2, 'donovan')",15,0.15590375157797354,0.003926502810500721,0.39929502986337706,72.92994453144786,-0.2639789218512829,2.738496380049435,2.6967912798298617
12,"(4, 'donovan')",17,0.4879543087956364,0.0006804001509465031,-1.7414297525712197,37.27977682550386,-0.6124328631964424,2.835658632759348,0.8280291773205057
13,"(2, 'elcajon')",17,-0.09313245470215747,0.0008252029441593589,-0.1595806425470473,-2.7529220746603467,0.0072116610653346624,-0.11453501563199885,-0.1272302621762318
14,"(3, 'shafter')",17,0.05637991607507065,-0.00029852225080589934,0.045757201206744536,1.2734506734601894,0.00047718782832673057,0.07478542227788054,0.07213237089552926
15,"(4, 'shafter')",18,-0.001331387537850226,0.00014750489552836643,0.009981649658527214,1.6799231494421534,-0.0077191127138542814,0.13362765059287265,0.13338332746548875
16,"(3, 'elcajon')",18,-0.013378302671060991,-0.00027804144412690857,0.01919426309481631,-1.1075968054885692,0.004289819772536285,-0.08804808302335321,-0.08899158733018275
17,"(2, 'donovan')",18,-0.0583253974446567,-0.001706270246372349,0.21677624145891028,0.2486443131270164,0.010664668424995137,-0.010004848162253666,0.011912305396101884
18,"(4, 'donovan')",19,0.8905316540727739,0.01327170800389671,-0.2518090546030507,21.778067953568005,-0.2333050111139383,1.6371720275225874,1.0738372023192362
19,"(2, 'elcajon')",19,-0.09836291524468166,-0.0005543078350983832,0.14852381030002634,-2.9688960000173377,0.0067310345251735395,-0.1787153324722599,-0.15220612502461606
20,"(3, 'shafter')",19,0.0944309116787041,0.00258618238648467,-0.053154261704188584,-0.05454215674498642,0.0018205087298189813,-0.009053400704394754,-0.003710047319051668
21,"(4, 'shafter')",20,-0.05552524320664354,-0.0043752620548950785,0.06866482213015113,-1.2839210026185413,0.005046546163124943,-0.09481029293515064,-0.08854752992862737
22,"(3, 'elcajon')",20,-0.006955876145300799,0.0008486295187399849,0.012734811714400385,3.4334960628605278,-0.009605140177775471,0.20019242827344289,0.19414215468329488
23,"(2, 'donovan')",20,0.0753642711957383,0.0006143487599926388,0.3376003401897616,14.365831691435332,-0.03488514937223863,0.6122850745855201,0.648064820455847
24,"(4, 'donovan')",21,1.0431478708443187,0.018076712296256903,0.1653118954170445,38.500708803348346,-0.4825283565200713,1.5353835323469005,1.0700013231121268
25,"(2, 'elcajon')",21,-0.17241769600515774,-0.0021380992736820537,0.08596407653740612,-2.567901908756724,0.0057192354811649295,-0.13110021111418746,-0.12825852333144816
26,"(3, 'shafter')",21,0.056026384142088936,0.00010155215185381206,0.020870091427644236,1.4666818319660422,-0.0009905430581447217,0.09714651227769178,0.0962147820399908
