,Model,Testing Location,NO2 MAE,NO2 CvMAE,NO2 MBE,NO2 MSE,NO2 R^2,NO2 crMSE,NO2 rMSE
0,"(2, 'donovan', 15)","(2, 'donovan', 15)",-0.1800209705812903,-0.01605302103266798,-0.08584420413908618,-3.4219287758763457,0.022239197797618186,-0.3046626919630482,-0.29882368749099
1,"(2, 'donovan', 18)","(2, 'donovan', 18)",-0.3132477286444537,-0.02683035242317361,0.0041639330425702606,-6.550122823244795,0.03786862699900695,-0.566860156164025,-0.5663948199288722
2,"(2, 'donovan', 20)","(2, 'donovan', 20)",-0.17437099991823454,-0.011210143731022248,0.0006995753953153161,-0.9576242785251096,-0.0018931585557715454,-0.08053656154494783,-0.08053161414712395
3,"(2, 'elcajon', 17)","(2, 'elcajon', 17)",-0.11109734153915474,-0.010029124403159728,0.04152011523429741,-1.2204860539756606,0.014461384132915645,-0.2196353860227429,-0.22030644839884106
4,"(2, 'elcajon', 19)","(2, 'elcajon', 19)",-0.05952364572701541,-0.005419486620820729,-0.003558325717326005,-0.7354601726094376,0.005546856200177697,-0.12475637082766332,-0.12411806788226933
5,"(2, 'elcajon', 21)","(2, 'elcajon', 21)",-0.1134718783611086,-0.007785355045452358,-0.06124327366102414,-1.2090719673498151,0.012110478932334743,-0.20287136218487456,-0.2068817161358316
6,"(2, 'shafter', 11)","(2, 'shafter', 11)",-0.0295111800450929,-9.774937771570014e-05,0.017451328275723318,0.4925307817682487,-0.008037069884173631,0.059033581335025787,0.058249810376447726
7,"(2, 'shafter', 12)","(2, 'shafter', 12)",-0.12146440287902482,-0.009364405246738178,-0.035217497320791755,-0.8432542429195493,0.015792642588950856,-0.09385884306664584,-0.0938555780549013
8,"(2, 'shafter', 13)","(2, 'shafter', 13)",-0.07267411944970803,-0.006399652589161586,0.011335412309700256,-1.1900584516301187,0.012285308182286014,-0.13605934168691913,-0.13524471308209485
9,"(3, 'donovan', 11)","(3, 'donovan', 11)",-0.11213556441272354,-0.0061407380660566955,-0.08928160674814734,-3.890431792273386,0.02055663832439869,-0.355639978905681,-0.36367749906712543
10,"(3, 'donovan', 12)","(3, 'donovan', 12)",-0.09271621419744004,-0.004894885244599746,-0.05140736038121856,-3.184882945526073,0.019471665415112586,-0.3119489220370424,-0.3120318724465001
11,"(3, 'donovan', 13)","(3, 'donovan', 13)",-0.15083033546939714,-0.009260539780684446,-0.0904146478276544,-10.020972331981168,0.05537833924861402,-0.8686540959060798,-0.8727875759727546
12,"(3, 'elcajon', 15)","(3, 'elcajon', 15)",-0.02479127063143305,-0.0008496177503130309,0.03160857499542925,-0.4228657185810434,0.0031083691304584216,-0.07850462701410388,-0.07704424600461922
13,"(3, 'elcajon', 18)","(3, 'elcajon', 18)",-0.0699492607332608,-0.004279360683723005,-0.01819726128160748,-0.779849243733703,0.007653172561869037,-0.13904681142789374,-0.13992403451692947
14,"(3, 'elcajon', 20)","(3, 'elcajon', 20)",-0.02991668317429963,-0.001989784940837347,0.024389488924795973,-0.3702179294223473,0.0037763683035769713,-0.0763614149929146,-0.06966180107719744
15,"(3, 'shafter', 17)","(3, 'shafter', 17)",-0.015786764445345103,-0.0011509207428457289,0.02953457168609241,5.59778360040832,-0.052392269179894264,0.6375914979735571,0.6380937815999825
16,"(3, 'shafter', 19)","(3, 'shafter', 19)",-0.013759180688115435,0.0005733082308852777,-0.014403867565220054,5.881857077986865,-0.054129094069547024,0.6393945885863808,0.6370533283608779
17,"(3, 'shafter', 21)","(3, 'shafter', 21)",-0.0021322372782619503,-0.00015366001692440626,0.057319698891538276,6.321294320180758,-0.06395900875658267,0.794697923574907,0.7956683925878472
18,"(4, 'donovan', 17)","(4, 'donovan', 17)",-0.7667017964892278,-0.07231377207918471,-0.8995944795407601,-9.208016360804363,0.12997018363098636,-0.8181948900522693,-0.8333252541564259
19,"(4, 'donovan', 19)","(4, 'donovan', 19)",-0.4625745186509107,-0.02132560561867036,0.4279554813803829,-1.8490169309471332,0.0502845250678936,-0.1685683362642436,-0.19050750379565692
20,"(4, 'donovan', 21)","(4, 'donovan', 21)",-0.058908323501468914,0.01173892801931692,-0.20918497555601226,-0.13978498223193014,-0.002475808727118723,0.0194424830275306,-0.01573703794296044
21,"(4, 'elcajon', 11)","(4, 'elcajon', 11)",-0.0514056875259441,-0.002730406460714943,0.014462737007532868,-0.8226315423623047,0.007670845169117312,-0.1498802688259282,-0.14632327628112266
22,"(4, 'elcajon', 12)","(4, 'elcajon', 12)",-0.0814300182218144,-0.004303144657943653,-0.04094028394152885,-1.0042352272791977,0.00925053458593128,-0.14797520791175198,-0.1469117122992092
23,"(4, 'elcajon', 13)","(4, 'elcajon', 13)",-0.09628638289480752,-0.004775764304430483,0.008574467534386697,-2.86591385187946,0.02535586445125249,-0.4336238576591174,-0.4335064343909303
24,"(4, 'shafter', 15)","(4, 'shafter', 15)",-0.05280716120008045,-0.003066851266811027,-0.0691293353553269,-0.10810127172305073,0.0034055712535703275,-0.016885965922928126,-0.014364455566171053
25,"(4, 'shafter', 18)","(4, 'shafter', 18)",-0.04050355715007381,-0.002581547250954247,0.004338064469802228,-0.5913019257844816,0.005834208405509078,-0.09232680807312564,-0.092422529033394
26,"(4, 'shafter', 20)","(4, 'shafter', 20)",-0.06511132103500561,-0.004138001442610284,-0.005180637494375258,-0.5528514854539193,0.004838201166281642,-0.08362664958506949,-0.0835649567211183
