,Model,Testing Location,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE,NO2 MBE,NO2 MSE,NO2 R^2,NO2 crMSE,NO2 rMSE,O3 MBE,O3 MSE,O3 R^2,O3 crMSE,O3 rMSE
0,"(2, 'donovan', 15)","(2, 'donovan', 15)",-0.1800209705812903,-0.09582224722772636,-0.01605302103266798,-0.002103097436065862,-0.08584420413908617,-3.4219287758763457,0.022239197797618182,-0.3046626919630482,-0.29882368749099,0.1811924916838474,-2.5137647460645525,0.005340297962420304,-0.21601696525664238,-0.21172293331777858
1,"(2, 'donovan', 18)","(2, 'donovan', 18)",-0.3132477286444537,-0.17949841660417576,-0.02683035242317361,-0.004405428255214838,0.004163933042570261,-6.550122823244795,0.03786862699900695,-0.566860156164025,-0.5663948199288722,0.040301034956797266,-3.3707556997794725,0.01529869977428533,-0.2904766319115737,-0.2919557642194768
2,"(2, 'donovan', 20)","(2, 'donovan', 20)",-0.17437099991823457,-0.17603388963930922,-0.011210143731022248,-0.0047961520458734,0.0006995753953153161,-0.9576242785251097,-0.0018931585557715458,-0.08053656154494782,-0.08053161414712395,0.057607352862070194,-2.620809876717189,0.01411534737199216,-0.20986490386695777,-0.20818552569110516
3,"(2, 'elcajon', 17)","(2, 'elcajon', 17)",-0.11109734153915474,-0.23408743228968776,-0.010029124403159728,-0.004806420846632506,0.04152011523429741,-1.2204860539756606,0.014461384132915645,-0.2196353860227429,-0.22030644839884106,-0.12095084976150255,-3.011367589998038,0.007227694123147277,-0.33256891615616446,-0.32647610967923946
4,"(2, 'elcajon', 19)","(2, 'elcajon', 19)",-0.059523645727015406,-0.10086041181025251,-0.005419486620820729,-0.0015775639038986544,-0.0035583257173260052,-0.7354601726094376,0.005546856200177697,-0.12475637082766333,-0.12411806788226931,0.05530841495617922,-1.1620398507579281,0.0026539744186588887,-0.10603613541766155,-0.10611108270769076
5,"(2, 'elcajon', 21)","(2, 'elcajon', 21)",-0.11347187836110861,-0.16205330418700026,-0.007785355045452358,-0.0031074247270608812,-0.06124327366102414,-1.2090719673498151,0.012110478932334745,-0.20287136218487456,-0.20688171613583162,0.030858149533172174,-2.695766970649789,0.006262807752703714,-0.2654787386109927,-0.26682074081356966
6,"(2, 'shafter', 11)","(2, 'shafter', 11)",-0.0295111800450929,-0.12343417065271112,-9.774937771570014e-05,-0.004138818192229637,0.01745132827572332,0.4925307817682487,-0.008037069884173631,0.059033581335025787,0.05824981037644772,-0.10714425727207222,-1.4404432856813116,0.0011024576777437511,-0.13828037513850244,-0.12363201632541809
7,"(2, 'shafter', 12)","(2, 'shafter', 12)",-0.12146440287902482,-0.1426850013850558,-0.009364405246738178,-0.0050511586280017895,-0.035217497320791755,-0.8432542429195493,0.015792642588950856,-0.09385884306664583,-0.0938555780549013,0.05400807658764284,-2.166378145582975,0.004541641627538562,-0.18293752532525698,-0.17964415757754448
8,"(2, 'shafter', 13)","(2, 'shafter', 13)",-0.07267411944970803,-0.1906812767700119,-0.006399652589161586,-0.004765282814491706,0.011335412309700255,-1.1900584516301187,0.012285308182286014,-0.13605934168691913,-0.13524471308209485,-0.024097181233883436,-3.778585676924557,0.006194246051340224,-0.3061039160892074,-0.30685284957275094
9,"(3, 'donovan', 11)","(3, 'donovan', 11)",-0.11213556441272354,-0.13884879124061422,-0.006140738066056695,-0.005131225883014207,-0.08928160674814734,-3.890431792273386,0.02055663832439869,-0.355639978905681,-0.36367749906712543,0.02841538655696607,-2.125142657264586,0.011116528911168988,-0.22238578409627774,-0.22416862482508915
10,"(3, 'donovan', 12)","(3, 'donovan', 12)",-0.09271621419744003,-0.09343989289981547,-0.004894885244599745,-0.003431347692535308,-0.05140736038121856,-3.1848829455260734,0.019471665415112582,-0.3119489220370424,-0.3120318724465001,0.0634975653162124,-2.164602713363543,0.011387141216129049,-0.20453983418854094,-0.20661383715274084
11,"(3, 'donovan', 13)","(3, 'donovan', 13)",-0.15083033546939717,-0.1530152411334127,-0.009260539780684446,-0.005129957830325327,-0.0904146478276544,-10.020972331981167,0.05537833924861402,-0.8686540959060798,-0.8727875759727546,0.08445181877871533,-2.3296932898463254,0.009828934228626851,-0.20377614534499777,-0.21197424817820654
12,"(3, 'elcajon', 15)","(3, 'elcajon', 15)",-0.02479127063143305,-0.06536211147928572,-0.0008496177503130309,-0.0033419574389156465,0.03160857499542925,-0.4228657185810434,0.0031083691304584216,-0.07850462701410388,-0.07704424600461923,-0.05526041266666659,-0.7243024201021182,0.002851478358747217,-0.10224281954234105,-0.09676149679201007
13,"(3, 'elcajon', 18)","(3, 'elcajon', 18)",-0.0699492607332608,-0.0647334252206444,-0.004279360683723005,-0.0027087444874401706,-0.01819726128160748,-0.779849243733703,0.007653172561869037,-0.13904681142789377,-0.13992403451692947,0.03672292186645814,-1.2605629604670607,0.004311538104854518,-0.17501492932891693,-0.17442591833520282
14,"(3, 'elcajon', 20)","(3, 'elcajon', 20)",-0.02991668317429963,-0.06096312548341176,-0.001989784940837347,-0.0022416595076639317,0.024389488924795977,-0.3702179294223473,0.0037763683035769713,-0.0763614149929146,-0.06966180107719744,0.03124165386225443,-0.6768050213108125,0.0024515194288575737,-0.09058184403512293,-0.09046512683491015
15,"(3, 'shafter', 17)","(3, 'shafter', 17)",-0.015786764445345103,-0.03262525149735751,-0.001150920742845729,-0.00281861444322537,0.029534571686092415,5.59778360040832,-0.05239226917989426,0.6375914979735571,0.6380937815999825,0.010612534003112517,-0.5211186484061407,0.0024916700116528467,-0.05467809938687651,-0.05394902889413444
16,"(3, 'shafter', 19)","(3, 'shafter', 19)",-0.013759180688115435,0.0016330474940731143,0.0005733082308852777,-0.0009749585544490957,-0.014403867565220052,5.881857077986865,-0.054129094069547024,0.6393945885863808,0.6370533283608779,-0.019095481396559852,-0.6154104063093762,0.002352123378854709,-0.059388149762248155,-0.058963759093574986
17,"(3, 'shafter', 21)","(3, 'shafter', 21)",-0.0021322372782619503,-0.020511564570044882,-0.00015366001692440623,-0.002321019435625543,0.057319698891538276,6.321294320180758,-0.06395900875658267,0.794697923574907,0.7956683925878472,-0.026413346117885622,-0.4468359414609573,0.002373413249610823,-0.045242330519898566,-0.04480044530081617
18,"(4, 'donovan', 17)","(4, 'donovan', 17)",-0.7667017964892278,-1.3910126572797177,-0.07231377207918471,-0.04227078324888603,-0.8995944795407601,-9.208016360804365,0.12997018363098634,-0.8181948900522693,-0.833325254156426,1.230722966808036,-27.00207456535029,0.10975768666978569,-1.299539932629525,-1.543721634009522
19,"(4, 'donovan', 19)","(4, 'donovan', 19)",-0.4625745186509107,-0.240293829273452,-0.021325605618670362,-0.012422669788369256,0.42795548138038286,-1.8490169309471334,0.050284525067893604,-0.1685683362642436,-0.19050750379565695,0.06462948568656446,-1.482710937944276,-0.024363861335438664,-0.13362112994779363,-0.12548688672345953
20,"(4, 'donovan', 21)","(4, 'donovan', 21)",-0.05890832350146891,-0.04424947568408566,0.011738928019316919,-0.00417563490912444,-0.20918497555601223,-0.13978498223193014,-0.0024758087271187224,0.0194424830275306,-0.01573703794296044,0.2118811112582284,-7.071091875885621,0.013492242842728985,-0.5333658143332203,-0.5562213141259118
21,"(4, 'elcajon', 11)","(4, 'elcajon', 11)",-0.0514056875259441,-0.06285652387098795,-0.002730406460714943,-0.002831765206645076,0.014462737007532867,-0.8226315423623047,0.007670845169117313,-0.1498802688259282,-0.14632327628112263,-0.06163856104404328,-0.5667028641846183,0.0020203137588165054,-0.10493688502796106,-0.10416179511123547
22,"(4, 'elcajon', 12)","(4, 'elcajon', 12)",-0.0814300182218144,-0.08490461104637559,-0.004303144657943653,-0.003816166169950397,-0.04094028394152885,-1.0042352272791977,0.00925053458593128,-0.147975207911752,-0.14691171229920919,-0.05173954740498782,-0.8971309982389482,0.0032265715389006022,-0.12929485499770665,-0.12240301548509258
23,"(4, 'elcajon', 13)","(4, 'elcajon', 13)",-0.09628638289480751,-0.1406948643071,-0.004775764304430483,-0.008224223688639565,0.008574467534386697,-2.8659138518794602,0.025355864451252486,-0.4336238576591174,-0.4335064343909303,-0.016006081684940145,-1.839751123622916,0.006232976801357593,-0.2506713766633806,-0.25057104979718625
24,"(4, 'shafter', 15)","(4, 'shafter', 15)",-0.052807161200080444,-0.041280450774217936,-0.003066851266811027,-0.002792837750501931,-0.0691293353553269,-0.10810127172305073,0.0034055712535703275,-0.016885965922928126,-0.014364455566171053,0.027231633672990696,-0.25665304856613247,-0.0002926461781208589,-0.026679426686648355,-0.027568352781138117
25,"(4, 'shafter', 18)","(4, 'shafter', 18)",-0.04050355715007381,-0.03530608113918188,-0.002581547250954247,-0.0016485806319567337,0.0043380644698022275,-0.5913019257844816,0.005834208405509078,-0.09232680807312565,-0.09242252903339399,-0.00951883727295788,-0.22794104135803828,0.00031559667986080786,-0.0328239917432005,-0.03385182992121649
26,"(4, 'shafter', 20)","(4, 'shafter', 20)",-0.06511132103500561,-0.04907588279411801,-0.004138001442610284,-0.003185019598647823,-0.005180637494375258,-0.5528514854539193,0.0048382011662816415,-0.08362664958506949,-0.0835649567211183,0.02791524012660039,-0.6489942492401308,0.002431549439423808,-0.08991258042656103,-0.09091149909867502
