,Model,Testing Location,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE
0,"(2, 'donovan', 15)","(3, 'elcajon')",3.7213983429210082,4.238999995080763,0.3494512554062445,0.09860144444494459
1,"(2, 'donovan', 15)","(4, 'shafter')",3.7213983429210082,4.238999995080763,0.3494512554062445,0.09860144444494459
2,"(2, 'donovan', 18)","(3, 'elcajon')",3.752992158393479,4.218254613315408,0.3577296855458942,0.09920162674974176
3,"(2, 'donovan', 18)","(4, 'shafter')",3.752992158393479,4.218254613315408,0.3577296855458942,0.09920162674974176
4,"(2, 'donovan', 20)","(3, 'elcajon')",3.935689402481459,4.647304036722329,0.3734563144984565,0.10965539999521111
5,"(2, 'donovan', 20)","(4, 'shafter')",3.935689402481459,4.647304036722329,0.3734563144984565,0.10965539999521111
6,"(2, 'elcajon', 17)","(3, 'shafter')",1.9974094916581886,3.5052161285946606,0.17758357990645862,0.09057087337161518
7,"(2, 'elcajon', 17)","(4, 'donovan')",1.9974094916581886,3.5052161285946606,0.17758357990645862,0.09057087337161518
8,"(2, 'elcajon', 19)","(3, 'shafter')",2.1354529696806397,4.069164526487024,0.18985819338573476,0.10552865679505602
9,"(2, 'elcajon', 19)","(4, 'donovan')",2.1354529696806397,4.069164526487024,0.18985819338573476,0.10552865679505602
10,"(2, 'elcajon', 21)","(3, 'shafter')",2.0946935460621723,3.8360932326303496,0.1842024894462545,0.09937690857307645
11,"(2, 'elcajon', 21)","(4, 'donovan')",2.0946935460621723,3.8360932326303496,0.1842024894462545,0.09937690857307645
12,"(2, 'shafter', 11)","(3, 'donovan')",2.9265803295269666,4.330666807126016,0.21589248908191502,0.137480406964646
13,"(2, 'shafter', 11)","(4, 'elcajon')",2.9265803295269666,4.330666807126016,0.21589248908191502,0.137480406964646
14,"(2, 'shafter', 12)","(3, 'donovan')",3.136628550001295,4.553647591223529,0.23367603147641106,0.14454076622737314
15,"(2, 'shafter', 12)","(4, 'elcajon')",3.136628550001295,4.553647591223529,0.23367603147641106,0.14454076622737314
16,"(2, 'shafter', 13)","(3, 'donovan')",3.005291180689419,4.607429374450215,0.22265476312140697,0.14539243881603012
17,"(2, 'shafter', 13)","(4, 'elcajon')",3.005291180689419,4.607429374450215,0.22265476312140697,0.14539243881603012
18,"(3, 'donovan', 11)","(2, 'shafter')",2.74480452769488,3.4624551622549595,0.2281480848779105,0.1162552007990457
19,"(3, 'donovan', 11)","(4, 'elcajon')",2.74480452769488,3.4624551622549595,0.2281480848779105,0.1162552007990457
20,"(3, 'donovan', 12)","(2, 'shafter')",2.6640470089956296,3.7974908534347342,0.22166963200943984,0.12732262261326888
21,"(3, 'donovan', 12)","(4, 'elcajon')",2.6640470089956296,3.7974908534347342,0.22166963200943984,0.12732262261326888
22,"(3, 'donovan', 13)","(2, 'shafter')",2.9389397708062974,3.9895708961434555,0.24673911084408456,0.13409092109243959
23,"(3, 'donovan', 13)","(4, 'elcajon')",2.9389397708062974,3.9895708961434555,0.24673911084408456,0.13409092109243959
24,"(3, 'elcajon', 15)","(2, 'donovan')",1.84000856949481,2.75027620005524,0.11527551989633009,0.12239057977302048
25,"(3, 'elcajon', 15)","(4, 'shafter')",1.84000856949481,2.75027620005524,0.11527551989633009,0.12239057977302048
26,"(3, 'elcajon', 18)","(2, 'donovan')",2.0654468636735217,2.4993580429504316,0.12940303826974142,0.11086809491677199
27,"(3, 'elcajon', 18)","(4, 'shafter')",2.0654468636735217,2.4993580429504316,0.12940303826974142,0.11086809491677199
28,"(3, 'elcajon', 20)","(2, 'donovan')",1.944942229732554,2.6787478915620464,0.12202540937417658,0.11859658930701494
29,"(3, 'elcajon', 20)","(4, 'shafter')",1.944942229732554,2.6787478915620464,0.12202540937417658,0.11859658930701494
30,"(3, 'shafter', 17)","(2, 'elcajon')",2.7769180151915895,3.4000557277675796,0.20287008134013482,0.15048570544543138
31,"(3, 'shafter', 17)","(4, 'donovan')",2.7769180151915895,3.4000557277675796,0.20287008134013482,0.15048570544543138
32,"(3, 'shafter', 19)","(2, 'elcajon')",2.8542493094408736,3.4694868377197188,0.20356271216773406,0.15270618472522168
33,"(3, 'shafter', 19)","(4, 'donovan')",2.8542493094408736,3.4694868377197188,0.20356271216773406,0.15270618472522168
34,"(3, 'shafter', 21)","(2, 'elcajon')",2.437822209880378,3.4823880438469987,0.17809715206053645,0.15412971532591138
35,"(3, 'shafter', 21)","(4, 'donovan')",2.437822209880378,3.4823880438469987,0.17809715206053645,0.15412971532591138
36,"(4, 'donovan', 17)","(2, 'elcajon')",4.265010552099573,7.234427262467948,0.5315720148753841,0.199465827455985
37,"(4, 'donovan', 17)","(3, 'shafter')",4.265010552099573,7.234427262467948,0.5315720148753841,0.199465827455985
38,"(4, 'donovan', 19)","(2, 'elcajon')",3.560003676783969,4.6071595755236885,0.4308284704388242,0.1294060918880668
39,"(4, 'donovan', 19)","(3, 'shafter')",3.560003676783969,4.6071595755236885,0.4308284704388242,0.1294060918880668
40,"(4, 'donovan', 21)","(2, 'elcajon')",2.9306031155307393,4.452168291772318,0.36525738539049296,0.122754075764764
41,"(4, 'donovan', 21)","(3, 'shafter')",2.9306031155307393,4.452168291772318,0.36525738539049296,0.122754075764764
42,"(4, 'elcajon', 11)","(2, 'shafter')",1.9025406926017132,1.8681886501540268,0.0984402175015595,0.1044876772365782
43,"(4, 'elcajon', 11)","(3, 'donovan')",1.9025406926017132,1.8681886501540268,0.0984402175015595,0.1044876772365782
44,"(4, 'elcajon', 12)","(2, 'shafter')",2.436915768577875,2.5469693040930483,0.1260895597264399,0.14245183780321394
45,"(4, 'elcajon', 12)","(3, 'donovan')",2.436915768577875,2.5469693040930483,0.1260895597264399,0.14245183780321394
46,"(4, 'elcajon', 13)","(2, 'shafter')",2.245822590652682,2.5135573650915686,0.11588280983197925,0.14200543253409081
47,"(4, 'elcajon', 13)","(3, 'donovan')",2.245822590652682,2.5135573650915686,0.11588280983197925,0.14200543253409081
48,"(4, 'shafter', 15)","(2, 'donovan')",2.5969003110953484,3.2923708299191135,0.20802694742921818,0.16746226654454432
49,"(4, 'shafter', 15)","(3, 'elcajon')",2.5969003110953484,3.2923708299191135,0.20802694742921818,0.16746226654454432
50,"(4, 'shafter', 18)","(2, 'donovan')",2.2296999613863284,2.4303445744684598,0.17995567660454637,0.12118969327803442
51,"(4, 'shafter', 18)","(3, 'elcajon')",2.2296999613863284,2.4303445744684598,0.17995567660454637,0.12118969327803442
52,"(4, 'shafter', 20)","(2, 'donovan')",2.284844583313767,2.5479083777505194,0.18408050392694747,0.1277289170133882
53,"(4, 'shafter', 20)","(3, 'elcajon')",2.284844583313767,2.5479083777505194,0.18408050392694747,0.1277289170133882
