,Model,O3 MAE,O3 CvMAE,O3 MBE,O3 MSE,O3 R^2,O3 crMSE,O3 rMSE
0,"(11, {(4, 'elcajon'), (2, 'shafter')})",-4.829242637909188,-0.126081912635835,-2.6745487665556156,-84.46394540636065,0.4615343852603807,-5.274225157021031,-5.575574979266393
1,"(11, {(3, 'donovan'), (2, 'shafter')})",-0.7470204140635772,-0.14011541829232452,0.7760879733933279,-9.549182318351434,0.03710893699581619,-0.7577723627835686,-0.7536659612680499
2,"(11, {(4, 'elcajon'), (3, 'donovan')})",-5.146505938283823,-0.13317684482835607,2.098672660207206,-97.5943211817532,0.14347909291278704,-6.102989209607723,-6.2847675834564045
3,"(12, {(4, 'elcajon'), (2, 'shafter')})",-3.729716282359676,-0.08630402407343649,-1.6344109118188603,-68.23753919417462,0.3922983348464658,-4.3731025821893414,-4.569378433334432
4,"(12, {(3, 'donovan'), (2, 'shafter')})",-1.1519911884461118,-0.1702041798487099,-0.10608404587670794,-22.460304090318473,0.08003957877106238,-1.585465827589729,-1.576880625127604
5,"(12, {(4, 'elcajon'), (3, 'donovan')})",-6.475991517454128,-0.17147382102487893,0.07568318729721615,-131.95014736385372,0.20713021657672148,-7.398691064402528,-7.399024147947642
6,"(13, {(4, 'elcajon'), (2, 'shafter')})",-5.940231489022072,-0.15861976296481414,-5.222136808196487,-125.66865343986551,0.6745460877792805,-5.721737782772339,-6.933633837756433
7,"(13, {(3, 'donovan'), (2, 'shafter')})",-7.551487333339268,-0.5392852845746354,-2.921143804710548,-225.56855803284802,0.7796592657687134,-9.550912007235386,-9.791798356131773
8,"(13, {(4, 'elcajon'), (3, 'donovan')})",-6.654916915223158,-0.1712709393542814,-1.5445176646540368,-156.3087164846406,0.2422670998498,-8.084107745667236,-8.206806148250593
9,"(15, {(2, 'donovan'), (3, 'elcajon')})",-5.044781079374509,-0.3164318968175464,-3.849554239986039,-110.81479673465465,0.42617167437073067,-5.486759101664346,-6.244252739668535
10,"(15, {(4, 'shafter'), (3, 'elcajon')})",-6.288721297593041,-0.060747824242634335,-0.9172754020753352,-134.05422308865116,0.4468600474854191,-7.634016483420633,-7.6696368873246215
11,"(15, {(4, 'shafter'), (2, 'donovan')})",-8.651333559168231,-0.3946292681436036,9.880666759908145,-213.51703602459648,0.7101204506620031,-6.317691116413921,-10.037794991864828
12,"(17, {(3, 'shafter'), (2, 'elcajon')})",-12.891538065157526,-0.3176418661693671,-12.6237949115066,-492.9386769027015,2.986633435829922,-13.239163057774727,-17.32565742385038
13,"(17, {(2, 'elcajon'), (4, 'donovan')})",-4.343164027481805,-0.25927551130406673,3.345354880148036,-79.79799119345745,0.2156308225976236,-4.813400791060995,-5.1574754376164025
14,"(17, {(3, 'shafter'), (4, 'donovan')})",-7.7384845621769704,-0.1369465969247533,-4.620330159613008,-227.0990817242672,0.5291838907883827,-10.269251762025716,-10.903994525923574
15,"(18, {(2, 'donovan'), (3, 'elcajon')})",-2.1154347378742573,-0.15561804488123476,-4.483792110758466,-39.50428302920541,0.16526234809717089,-1.8438002115953385,-2.92613890691723
16,"(18, {(4, 'shafter'), (3, 'elcajon')})",-5.597530178816244,-0.06397360129216367,-0.7807213410268949,-115.6915824734462,0.4122006661627589,-7.466088701519133,-7.505723566518516
17,"(18, {(4, 'shafter'), (2, 'donovan')})",-3.6890851180803454,-0.17263014008488706,3.906037133256604,-67.2827513372099,0.2272464850963257,-4.04645441113538,-4.785767318148264
18,"(19, {(3, 'shafter'), (2, 'elcajon')})",-3.9202939485571746,-0.07501889369813558,-7.4566443333563575,-56.1124063449196,0.4427398594457193,-0.5218334199673444,-3.629688281886884
19,"(19, {(2, 'elcajon'), (4, 'donovan')})",-3.8164195552061657,-0.24421774025734735,4.539152430220208,-76.36085242732261,0.18961128426595475,-3.5267088062381644,-4.678655079973947
20,"(19, {(3, 'shafter'), (4, 'donovan')})",-5.375290865811295,-0.07659525812024742,-2.5063161453551106,-99.49275524731935,0.23093501206780664,-5.699056472412733,-6.0071004775156505
21,"(20, {(2, 'donovan'), (3, 'elcajon')})",-3.09893070003134,-0.21117835511362487,0.2786450009379413,-60.132684682111176,0.24629892601463246,-3.92750846411482,-3.9080839695242164
22,"(20, {(4, 'shafter'), (3, 'elcajon')})",-6.372301157048862,-0.0805639105463315,-3.0982544490789943,-134.20332969557242,0.4799584808682574,-7.785787767180858,-8.18340260391222
23,"(20, {(4, 'shafter'), (2, 'donovan')})",-2.7972449854941583,-0.13231454238341672,1.5748558567647597,-47.974235358427045,0.1654538646999456,-3.427858588259656,-3.561152806519416
24,"(21, {(3, 'shafter'), (2, 'elcajon')})",-7.924455613488556,-0.1814726346775592,-10.475780155078137,-184.4077322832404,1.1812176348295544,-4.787552796511238,-9.196672985706634
25,"(21, {(2, 'elcajon'), (4, 'donovan')})",-3.858195567800135,-0.23819268262618945,2.882420832700408,-69.75307289768146,0.18924470925810452,-4.336170451462598,-4.695210901413881
26,"(21, {(3, 'shafter'), (4, 'donovan')})",-4.845461274553829,-0.06169485680035705,1.3315790242314771,-91.69625573631724,0.20857039078357587,-5.648743842816433,-5.762740206005707
