,Model,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE,NO2 MBE,NO2 MSE,NO2 R^2,NO2 crMSE,NO2 rMSE,O3 MBE,O3 MSE,O3 R^2,O3 crMSE,O3 rMSE
0,"(11, {(4, 'elcajon'), (2, 'shafter')})",-2.2479328253293374,-4.8292426379091875,-0.2526640714713534,-0.12608191263583501,-0.22341578656033403,-48.84534057444187,0.3582972306465374,-4.1657469013939235,-4.171599217537006,-2.674548766555616,-84.46394540636064,0.4615343852603807,-5.274225157021031,-5.575574979266393
1,"(11, {(3, 'donovan'), (2, 'shafter')})",-1.1548429130640825,-0.7470204140635772,0.029239873430627644,-0.14011541829232452,-1.2684742482132334,-4.154300105788824,0.07579412547858022,-0.21751705808979516,-0.3634621699964118,0.7760879733933279,-9.549182318351434,0.03710893699581619,-0.7577723627835686,-0.7536659612680499
2,"(11, {(4, 'elcajon'), (3, 'donovan')})",-2.4820176133504748,-5.146505938283823,-0.2072307286747915,-0.13317684482835607,1.162477535815209,-25.156017870948226,0.38849162919854885,-2.12760022307298,-2.1193115906529387,2.098672660207206,-97.59432118175319,0.14347909291278704,-6.102989209607722,-6.2847675834564045
3,"(12, {(4, 'elcajon'), (2, 'shafter')})",-1.5898172655151712,-3.7297162823596763,-0.20828434278107888,-0.08630402407343649,-0.43844809659607686,-37.04990567364243,0.264699711070726,-3.157238579139923,-3.1631264160153707,-1.6344109118188603,-68.23753919417462,0.3922983348464658,-4.373102582189341,-4.569378433334431
4,"(12, {(3, 'donovan'), (2, 'shafter')})",-2.258130688280256,-1.1519911884461118,-0.02907193840105271,-0.1702041798487099,1.996359902499227,-18.315469499280727,0.2099458792854194,-1.2489888049709865,-1.4878456548536905,-0.10608404587670794,-22.460304090318473,0.08003957877106238,-1.5854658275897293,-1.576880625127604
5,"(12, {(4, 'elcajon'), (3, 'donovan')})",-2.7003338905364167,-6.475991517454128,-0.22907742216233576,-0.17147382102487893,0.02270046291645378,-38.498360752953516,0.5463460531546916,-2.9910457195038944,-2.984196290042801,0.07568318729721615,-131.95014736385372,0.20713021657672148,-7.398691064402528,-7.399024147947642
6,"(13, {(4, 'elcajon'), (2, 'shafter')})",-2.771628219801731,-5.940231489022073,-0.30867400763667774,-0.15861976296481417,-0.24021655981263812,-57.760868911287766,0.3924233592837112,-4.408716196896794,-4.406409594856651,-5.222136808196487,-125.66865343986552,0.6745460877792805,-5.721737782772339,-6.933633837756433
7,"(13, {(3, 'donovan'), (2, 'shafter')})",-18.596759859047655,-7.551487333339267,-0.8632717110053091,-0.5392852845746354,17.22301290473954,-1405.3387238430994,13.58449838565146,-27.78579830375493,-31.88688150867429,-2.9211438047105474,-225.56855803284805,0.7796592657687134,-9.550912007235386,-9.791798356131771
8,"(13, {(4, 'elcajon'), (3, 'donovan')})",-2.573610364709637,-6.654916915223158,-0.21941686330150545,-0.1712709393542814,1.1869601544159027,-25.239841538516725,0.41013170979419244,-1.900781181171883,-1.950361590778975,-1.5445176646540368,-156.3087164846406,0.2422670998498,-8.084107745667236,-8.206806148250593
9,"(15, {(2, 'donovan'), (3, 'elcajon')})",-3.5271295466669255,-5.044781079374509,-0.31495835897171875,-0.3164318968175464,-2.567933357159467,-39.17109608231619,0.6800593302282408,-2.7389645226038057,-3.13659349275967,-3.849554239986039,-110.81479673465466,0.42617167437073067,-5.486759101664346,-6.244252739668535
