,Test,Model,NO2 MAE,NO2 CvMAE,NO2 MBE,NO2 MSE,NO2 R^2,NO2 crMSE,NO2 rMSE
0,"(4, 'elcajon')",11,-0.037253188180242265,-0.0020198517979450052,0.002577479602060825,-0.6872658234389046,0.0061159477474740384,-0.0999394776497784,-0.09987413292975944
1,"(3, 'donovan')",11,-0.09410062581595646,-0.00426291713839097,-0.09650465622246436,-4.0627172924042085,0.01969266052412655,-0.3379770241896693,-0.34527364411032746
2,"(2, 'shafter')",11,0.05900312111388395,0.006974364808586543,0.0012882233986935693,6.2394036024348445,-0.0773059204940042,0.5669216004311526,0.5668784210058773
3,"(4, 'elcajon')",12,-0.056601221477534665,-0.0030450418951686875,-0.026875951517178698,-0.9524823688511432,0.008407034863073705,-0.11673066915984265,-0.1133840351606228
4,"(3, 'donovan')",12,-0.07745812355122084,-0.003293078793567855,-0.07500316511518756,-2.0537692454226684,0.008891646576467016,-0.1739941740474853,-0.18141238392879533
5,"(2, 'shafter')",12,-0.04819173068360616,-0.003965269063946675,-0.05623972777240482,-0.5973673383324076,0.015650655354113363,-0.04657299642924784,-0.055270216153354916
6,"(4, 'elcajon')",13,-0.09432280886096713,-0.004627600060432252,0.032995578147144405,-3.0251064900465017,0.02590045567118404,-0.3881444190824479,-0.3878950240506915
7,"(3, 'donovan')",13,-0.11157870076972776,-0.005295852171272431,-0.08898479662212501,-9.526291116361833,0.046765650520734114,-0.7497934541491125,-0.7535042177672562
8,"(2, 'shafter')",13,-0.09605128261588948,-0.008438147665065565,0.09872593529764613,-2.2975816032381817,0.024100162541403455,-0.19895702244878424,-0.20251619115423747
9,"(4, 'shafter')",15,-0.03830580993746402,-0.0017772184230686328,-0.04241116603347077,-0.6171338627857104,0.010894662913370823,-0.07740276453438533,-0.07630548237458434
10,"(2, 'donovan')",15,-0.016657602732937704,-0.0004504314599693138,-0.15814255870298954,2.5248597446954553,-0.025602990717473958,0.1810633304177287,0.16103745431265626
11,"(3, 'elcajon')",15,-0.04123076888201238,-0.0016835737878598822,0.020777587639472128,-1.9127064039319723,0.017113865293407526,-0.28302641377651705,-0.2823272616959565
12,"(3, 'shafter')",17,-0.02046790914342811,-0.0014927792785538465,0.02045669604854472,5.753413039631759,-0.052780196376574266,0.6270393947140684,0.626300734568118
13,"(2, 'elcajon')",17,-0.034851467905136164,-0.003306675844635037,-0.002147440960289737,-0.5455020072870642,0.001629379324547986,-0.07764776296123442,-0.07712757025129012
14,"(4, 'donovan')",17,-0.5431263429603526,-0.038581368131316296,0.18696588539109693,-11.692247855538547,0.16445891552659242,-0.8907522754875821,-0.9100658676068284
15,"(4, 'shafter')",18,-0.007588811086983949,0.00017810666368331396,-0.014309342602621428,-0.29744883242470266,0.0009417438761859519,-0.0407734196131595,-0.041019389450200006
16,"(2, 'donovan')",18,-0.19797854373672766,-0.014707227206403994,0.014834349542202975,-5.958047288940108,0.019183073848096917,-0.3542357813577848,-0.3440587591118813
17,"(3, 'elcajon')",18,-0.02827192316193905,-0.0016400378253305647,-0.028084879620901115,-0.6458711501310077,0.006404395182140532,-0.09488131034640856,-0.09315941841334753
18,"(3, 'shafter')",19,0.019686598860319204,0.0030630356268042114,-0.03062839954869885,6.687281261867668,-0.06254373973218619,0.6984840146053761,0.6990010927774044
19,"(2, 'elcajon')",19,-0.02056926196662845,-0.0019916740149723837,-0.019208567737435067,-0.5750728746690772,-0.00028709725568654143,-0.08037173383760354,-0.07656991874879937
20,"(4, 'donovan')",19,-0.15712785432913454,0.025636342471723417,0.4275658888414158,4.070126813976882,-0.03316198768562262,0.5144875939661375,0.3669623732138376
21,"(4, 'shafter')",20,-0.04835671256957141,-0.002644589190161195,-0.014651369561062682,-0.4964904471194718,0.0032039291705444613,-0.06666407218954308,-0.06636259794722177
22,"(2, 'donovan')",20,-0.1464701640210917,-0.00748698570898515,-0.11042429041920293,0.3515273381927102,-0.018735743253692427,0.029306821715151088,0.02228017042207941
23,"(3, 'elcajon')",20,-0.03444990272598858,-0.0022942864162761307,-0.0009160952525017475,0.4126317312465933,-0.0037287013301959826,0.06411348473428148,0.06382701540660474
24,"(3, 'shafter')",21,-0.002861113432695017,-0.0002068078353168468,0.06584676237646701,6.491482291407268,-0.06504452763265857,0.7856394712987779,0.7873158630138879
25,"(2, 'elcajon')",21,-0.08312799308847785,-0.00463180145078429,-0.07759031596156207,-1.1209846074286514,0.00815031465439897,-0.15213224523078006,-0.16071631043899215
26,"(4, 'donovan')",21,0.5730802472173222,0.1032741303927962,-0.3532463634582059,9.81914219252694,-0.154718156412594,0.7437938265777424,0.8082966856604319
