,Model,Test,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE
0,11,"(3, 'donovan')",-0.09410062581595646,-0.11837088502624482,-0.00426291713839097,-0.004529036195513869
1,11,"(4, 'elcajon')",-0.03725318818024226,-0.014195313162090883,-0.002019851797945005,0.00023156173868107977
2,11,"(2, 'shafter')",0.05900312111388395,-0.004439883011173151,0.0069743648085856536,-0.0004284456256898328
3,12,"(3, 'donovan')",-0.07745812355122084,-0.025157267414589235,-0.003293078793567855,-0.0012002767703668815
4,12,"(4, 'elcajon')",-0.05660122147753466,-0.028633996766187497,-0.0030450418951686875,-0.0003970220654558321
5,12,"(2, 'shafter')",-0.04819173068360616,-0.12242121954079366,-0.003965269063946619,-0.004552983373092068
6,13,"(3, 'donovan')",-0.11157870076972776,-0.13109714385157645,-0.0052958521712724305,-0.004390826129676256
7,13,"(4, 'elcajon')",-0.09432280886096711,-0.07075581040123646,-0.004627600060432252,-0.004376898049938099
8,13,"(2, 'shafter')",-0.09605128261588947,-0.15171858257348791,-0.008438147665067064,-0.003108724091779813
9,15,"(3, 'elcajon')",-0.04123076888201238,-0.09249932965261243,-0.0016835737878598822,-0.004666212363507338
10,15,"(2, 'donovan')",-0.016657602732937704,-0.0037563071877491083,-0.0004504314599693138,9.397760792606569e-05
11,15,"(4, 'shafter')",-0.03830580993746402,-0.025184572315053888,-0.0017772184230661903,-0.0020625890923800516
12,17,"(3, 'shafter')",-0.02046790914342811,-0.02339225747536089,-0.0014927792785543459,-0.0025223031337111568
13,17,"(4, 'donovan')",-0.5431263429603526,-0.20025764228863796,-0.038581368131316296,-0.010787780967519034
14,17,"(2, 'elcajon')",-0.03485146790513616,-0.07784084845007122,-0.0033066758446350375,-0.00034068412838623996
15,18,"(3, 'elcajon')",-0.02827192316193905,-0.06316376919790034,-0.0016400378253305647,-0.0025918350118247224
16,18,"(2, 'donovan')",-0.19797854373672763,-0.09910446272119788,-0.014707227206403994,-0.002584116776976869
17,18,"(4, 'shafter')",-0.007588811086983949,-0.007670292957878466,0.00017810666368381356,-0.00024791740285828867
18,19,"(3, 'shafter')",0.019686598860319204,0.03532456907873227,0.0030630356268035175,0.0004219123288924653
19,19,"(4, 'donovan')",-0.15712785432913456,0.09691617275468545,0.025636342471723417,-0.006274559629662335
20,19,"(2, 'elcajon')",-0.02056926196662845,-0.0688191685649997,-0.0019916740149723833,-0.000448618797913386
21,20,"(3, 'elcajon')",-0.03444990272598858,-0.0382671393732581,-0.002294286416276131,-0.001122217263180486
22,20,"(2, 'donovan')",-0.1464701640210917,-0.12892369185021302,-0.00748698570898515,-0.003913693608356444
23,20,"(4, 'shafter')",-0.048356712569571414,-0.054290019845865345,-0.0026445891901596408,-0.0035413635113998587
24,21,"(3, 'shafter')",-0.002861113432695017,-0.014853047294753452,-0.0002068078353172631,-0.0021687578485762027
25,21,"(4, 'donovan')",0.5730802472173222,0.4042445635499572,0.1032741303927962,0.006497769764030631
26,21,"(2, 'elcajon')",-0.08312799308847785,-0.10737795508906078,-0.00463180145078429,-0.0014340221235641243
