,Model,Testing Location,O3 MAE,O3 CvMAE,O3 MBE,O3 MSE,O3 R^2,O3 crMSE,O3 rMSE
0,"(2, 'donovan', 15)","(2, 'donovan', 15)",-1.1507179105373722,-0.026707161578346832,0.06121662529076394,-14.266528883485904,0.04688560053437429,-1.8008239351357638,-1.7999291611841128
1,"(2, 'donovan', 18)","(2, 'donovan', 18)",-1.2748842878968816,-0.030059672493330112,0.03332203533778968,-14.105619091094253,0.05080124714609868,-1.9010896139997908,-1.8991289795707025
2,"(2, 'donovan', 20)","(2, 'donovan', 20)",-0.9482360939420332,-0.0226536830524497,-0.03917407314739119,-10.651151757215256,0.03905044932218227,-1.4303059249054728,-1.4281401639229263
3,"(2, 'elcajon', 17)","(2, 'elcajon', 17)",-0.8234348980936135,-0.02075803440415115,-0.08267110434510716,-6.573672486625947,0.015537167851781275,-1.2159699699666249,-1.2186535435162558
4,"(2, 'elcajon', 19)","(2, 'elcajon', 19)",-0.7426125752606745,-0.018723243702262124,0.029478306703330293,-9.087516764976604,0.021346269713526374,-1.2557381915102432,-1.242668432819547
5,"(2, 'elcajon', 21)","(2, 'elcajon', 21)",-0.8902042505235115,-0.02260524451763222,-0.0327968650769494,-8.644291297790309,0.02031724809234181,-1.4460296410449276,-1.434307904231456
6,"(2, 'shafter', 11)","(2, 'shafter', 11)",-0.9403901558668633,-0.029975522030737518,-0.04103260704296397,-12.264330224383832,0.021929589566437868,-1.437958189661836,-1.4382230569337766
7,"(2, 'shafter', 12)","(2, 'shafter', 12)",-0.9322204130245786,-0.02988335268259117,0.0937369451602026,-12.088432907040307,0.02312727935658521,-1.4019557054155416,-1.3967870825695663
8,"(2, 'shafter', 13)","(2, 'shafter', 13)",-0.9161816429877372,-0.02827052214699793,0.06101064079098977,-12.386936049962056,0.02272613385585986,-1.4834555617986298,-1.4840011337046368
9,"(3, 'donovan', 11)","(3, 'donovan', 11)",-0.3043872708781201,-0.010514119251116658,-0.0030631903665966354,-3.337672526237524,0.01641443234440454,-0.5149045616618988,-0.5147262081967243
10,"(3, 'donovan', 12)","(3, 'donovan', 12)",-0.38044845128127797,-0.012925120829801516,-0.010229121457620616,-4.296490130065813,0.020971466342003864,-0.6457306125498485,-0.6445983632093673
11,"(3, 'donovan', 13)","(3, 'donovan', 13)",-0.5447995641171883,-0.018304018371663164,0.023981086791691336,-6.677782190638733,0.03145784436731247,-0.9529936586209092,-0.9528934297255792
12,"(3, 'elcajon', 15)","(3, 'elcajon', 15)",-0.4036093997222667,-0.018180945780525568,-0.025078611086928045,-3.0609185377590142,0.010104734765695513,-0.6485209950928579,-0.6479306509538558
13,"(3, 'elcajon', 18)","(3, 'elcajon', 18)",-0.4334688334504444,-0.019140790621725155,-0.026433088914855837,-3.413416947522197,0.011124779536314744,-0.7381406203584819,-0.7383378949568191
14,"(3, 'elcajon', 20)","(3, 'elcajon', 20)",-0.33425151551036225,-0.01456302218649008,0.005861609756615968,-2.66831028659704,0.008716187481748405,-0.5919897147550883,-0.5915410254169267
15,"(3, 'shafter', 17)","(3, 'shafter', 17)",-0.3643255788226592,-0.017107720063573847,-0.008676661018531845,-4.6713299205282235,0.012869868775180149,-0.6135329505296938,-0.613279654629904
16,"(3, 'shafter', 19)","(3, 'shafter', 19)",-0.2037602470094546,-0.009703456436106428,0.019223173838611645,-3.401327225045,0.008791335614411477,-0.42914406736591415,-0.4290268782361548
17,"(3, 'shafter', 21)","(3, 'shafter', 21)",-0.2270921293849377,-0.01103604289107908,0.0021638151896799934,-3.121872457540654,0.008824626227098786,-0.41272971918484336,-0.4126478719837241
18,"(4, 'donovan', 17)","(4, 'donovan', 17)",-1.0386925529590147,-0.03288012038777771,0.33226640297522503,-22.275354308945108,0.0763675400687337,-1.259521338925282,-1.229357522766417
19,"(4, 'donovan', 19)","(4, 'donovan', 19)",-3.5736605746824006,-0.10180803278312152,0.2185839201987157,-31.55967502781063,0.17111324337143874,-3.3892967607319187,-3.3920238758163768
20,"(4, 'donovan', 21)","(4, 'donovan', 21)",-0.2311379956167912,-0.010239479030000777,0.4449984429416625,-5.149634188069483,-0.013930682322732537,-0.2012223022314288,-0.3294877311968083
21,"(4, 'elcajon', 11)","(4, 'elcajon', 11)",-0.2833603023594127,-0.0154685163390701,-0.03694766021904355,-1.9273919962602235,0.006510904727171085,-0.5338287868733571,-0.5340603608804229
22,"(4, 'elcajon', 12)","(4, 'elcajon', 12)",-0.42316368081076017,-0.023194851244966203,-0.016713452932650266,-3.636127028006627,0.012270931087521196,-0.7854701611741652,-0.783689234781898
23,"(4, 'elcajon', 13)","(4, 'elcajon', 13)",-0.4734043555284702,-0.02687380568514089,-0.033540904216184775,-4.498403539300041,0.015312773163271174,-0.9987871025711136,-0.9991525996485424
24,"(4, 'shafter', 15)","(4, 'shafter', 15)",-0.27331386079105835,-0.01434194703176446,0.013876804497053426,-3.1142065115272497,0.010543578528818598,-0.4711233781086568,-0.4713089171256724
25,"(4, 'shafter', 18)","(4, 'shafter', 18)",-0.2877526712867477,-0.014272262640868963,-0.010433041639121642,-2.600467872413791,0.008961765468387894,-0.4991416808487901,-0.4992467983061877
26,"(4, 'shafter', 20)","(4, 'shafter', 20)",-0.24962873636045305,-0.012985223328294744,-0.012312811878489096,-2.4633238730880582,0.008872160298382892,-0.4669172055639601,-0.4670329084070182
