,Model,Testing Location,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE
0,"(2, 'donovan', 15)","(2, 'donovan', 15)",-0.9614253207600729,-1.1507179105373722,-0.08991824590589712,-0.02670716157834683
1,"(2, 'donovan', 18)","(2, 'donovan', 18)",-1.1649191007856072,-1.2748842878968816,-0.109880146365092,-0.03005967249333011
2,"(2, 'donovan', 20)","(2, 'donovan', 20)",-0.7788367084382726,-0.9482360939420331,-0.07180917690186886,-0.022653683052449705
3,"(2, 'elcajon', 17)","(2, 'elcajon', 17)",-0.47158992193054405,-0.8234348980936135,-0.04199537106619772,-0.02075803440415115
4,"(2, 'elcajon', 19)","(2, 'elcajon', 19)",-0.3423362707851423,-0.7426125752606745,-0.030504072091062,-0.018723243702262124
5,"(2, 'elcajon', 21)","(2, 'elcajon', 21)",-0.5072451943127978,-0.8902042505235115,-0.043571615102259265,-0.02260524451763222
6,"(2, 'shafter', 11)","(2, 'shafter', 11)",-0.5539154976928773,-0.9403901558668633,-0.039704287787104706,-0.02997552203073775
7,"(2, 'shafter', 12)","(2, 'shafter', 12)",-0.6169019182388698,-0.9322204130245786,-0.04613910263900545,-0.029883352682590958
8,"(2, 'shafter', 13)","(2, 'shafter', 13)",-0.561480971270585,-0.9161816429877372,-0.0421474182581425,-0.028270522146998392
9,"(3, 'donovan', 11)","(3, 'donovan', 11)",-0.2851569981261066,-0.3043872708781201,-0.021632582468419648,-0.010514119251116658
10,"(3, 'donovan', 12)","(3, 'donovan', 12)",-0.2852129258153262,-0.380448451281278,-0.02193814575204736,-0.012925120829801517
11,"(3, 'donovan', 13)","(3, 'donovan', 13)",-0.4842753625085783,-0.5447995641171883,-0.03867852155510687,-0.018304018371663164
12,"(3, 'elcajon', 15)","(3, 'elcajon', 15)",-0.2655405985143431,-0.4036093997222667,-0.01619435409085984,-0.01818094578052557
13,"(3, 'elcajon', 18)","(3, 'elcajon', 18)",-0.34205045031750814,-0.4334688334504444,-0.021368291451336785,-0.019140790621725155
14,"(3, 'elcajon', 20)","(3, 'elcajon', 20)",-0.2147852558326826,-0.33425151551036225,-0.013545097742323736,-0.014563022186490082
15,"(3, 'shafter', 17)","(3, 'shafter', 17)",-0.26258028228667873,-0.36432557882265915,-0.019181220498626084,-0.017107720063574472
16,"(3, 'shafter', 19)","(3, 'shafter', 19)",-0.15255617227449525,-0.2037602470094546,-0.009718327173342534,-0.009703456436106137
17,"(3, 'shafter', 21)","(3, 'shafter', 21)",-0.16083074412403175,-0.22709212938493772,-0.011748034435547172,-0.01103604289107965
18,"(4, 'donovan', 17)","(4, 'donovan', 17)",-0.5176692154449496,-1.0386925529590147,-0.03751547765159069,-0.03288012038777771
19,"(4, 'donovan', 19)","(4, 'donovan', 19)",-2.7599254567137237,-3.5736605746824006,-0.32543122232768307,-0.10180803278312153
20,"(4, 'donovan', 21)","(4, 'donovan', 21)",0.10090737554907214,-0.23113799561679116,0.03525016308127682,-0.010239479030000775
21,"(4, 'elcajon', 11)","(4, 'elcajon', 11)",-0.260026313957745,-0.2833603023594127,-0.013495865185039431,-0.0154685163390701
22,"(4, 'elcajon', 12)","(4, 'elcajon', 12)",-0.38048789081103274,-0.42316368081076017,-0.019739165811333448,-0.023194851244966203
23,"(4, 'elcajon', 13)","(4, 'elcajon', 13)",-0.41550376220477814,-0.47340435552847016,-0.02133850556167808,-0.02687380568514089
24,"(4, 'shafter', 15)","(4, 'shafter', 15)",-0.22830738545663443,-0.27331386079105835,-0.0174964955194038,-0.014341947031764377
25,"(4, 'shafter', 18)","(4, 'shafter', 18)",-0.24684505452309224,-0.28775267128674775,-0.01942558949225834,-0.014272262640869463
26,"(4, 'shafter', 20)","(4, 'shafter', 20)",-0.2185936370150987,-0.24962873636045302,-0.01685037519872548,-0.012985223328294618
