,Model,Testing Location,NO2 MAE,NO2 CvMAE,NO2 MBE,NO2 MSE,NO2 R^2,NO2 crMSE,NO2 rMSE
0,"(2, 'donovan', 15)","(2, 'donovan', 15)",1.5083318506532732,0.14199988393922303,-0.19988613037103,7.745236829600335,0.9412790968012932,2.7758390399448407,2.7830265592696617
1,"(2, 'donovan', 18)","(2, 'donovan', 18)",1.3157387683293509,0.12657250848013102,-0.016695527572057417,6.2130495228747735,0.9521147355203601,2.4925430303202867,2.492598949465151
2,"(2, 'donovan', 20)","(2, 'donovan', 20)",1.4763621887275984,0.14218592852121908,0.22489385712103227,7.089377703109131,0.9454848172557976,2.653073775123119,2.662588534323156
3,"(2, 'elcajon', 17)","(2, 'elcajon', 17)",0.8418981602538623,0.07478284430371891,-0.0607441837424474,1.6389551067539274,0.9746447844756888,1.278774909307032,1.2802168202120794
4,"(2, 'elcajon', 19)","(2, 'elcajon', 19)",1.1040718103229326,0.09809273105875173,0.12403764497925678,2.6815713719620224,0.9584576728366161,1.6328459918782698,1.6375504181435216
5,"(2, 'elcajon', 21)","(2, 'elcajon', 21)",0.934420795715909,0.08320514649731311,-0.0007891779913469437,1.996384383544905,0.9690370728628604,1.4129344515929152,1.4129346706571064
6,"(2, 'shafter', 11)","(2, 'shafter', 11)",1.6131761076490878,0.12016106633472222,-0.14037441473474724,6.6820376161807635,0.9208572360156496,2.5811494828656905,2.58496375529344
7,"(2, 'shafter', 12)","(2, 'shafter', 12)",1.7250742516648219,0.12833603474861832,-0.2990406231578623,7.000488789694085,0.9201058391593048,2.6288901634737094,2.6458436820216877
8,"(2, 'shafter', 13)","(2, 'shafter', 13)",1.5845724816326503,0.11684849743626742,0.07468350429172184,6.492351802316512,0.9249756224148432,2.5469146450865896,2.5480093803431156
9,"(3, 'donovan', 11)","(3, 'donovan', 11)",1.7134547910620168,0.14449198032535485,0.22944375120181104,11.730204115773448,0.9034446094354758,3.4172444386297904,3.4249385564960795
10,"(3, 'donovan', 12)","(3, 'donovan', 12)",1.6357278409242215,0.1378992112605163,0.13109877346213342,12.0394879799077,0.9012461259607784,3.4673190011138737,3.469796532926348
11,"(3, 'donovan', 13)","(3, 'donovan', 13)",1.621585281012378,0.13811931142714606,-0.2362770819932459,11.832523810002565,0.9037759864879712,3.4317192268261008,3.4398435734786785
12,"(3, 'elcajon', 15)","(3, 'elcajon', 15)",1.1394236253752152,0.0718258780046242,0.03732245163702733,2.6255621479016704,0.9741959621027181,1.6199287553076762,1.6203586479238694
13,"(3, 'elcajon', 18)","(3, 'elcajon', 18)",1.1933994913211112,0.07482972315444639,0.1327008708182264,2.8179030789017303,0.9726948405077541,1.673407769369634,1.6786610970954592
14,"(3, 'elcajon', 20)","(3, 'elcajon', 20)",1.1797460289472617,0.07394760425621773,0.29827835275389275,2.7487587758216225,0.9733722558473203,1.6308859092275658,1.657938109768161
15,"(3, 'shafter', 17)","(3, 'shafter', 17)",2.0788366851743287,0.15187296548792545,-0.00968561445897887,9.643941176117066,0.8865909346851517,3.1054544674575224,3.1054695580728318
16,"(3, 'shafter', 19)","(3, 'shafter', 19)",2.122880388809578,0.15256393605005936,0.08797600423821365,16.64325271117679,0.8077803786482451,4.0786655874422,4.079614284607895
17,"(3, 'shafter', 21)","(3, 'shafter', 21)",1.8343515010681752,0.1340116826883345,-0.14190264034674982,12.001181930877447,0.8588706836137865,3.4613646983849264,3.46427220796482
18,"(4, 'donovan', 17)","(4, 'donovan', 17)",4.064186144420806,0.5335466699701616,-0.8691953228666417,33.01058522149312,0.5048243316397238,5.679356021725561,5.7454838979404625
19,"(4, 'donovan', 19)","(4, 'donovan', 19)",0.7662065658887928,0.10129813072612462,0.057992145747340275,5.970715385385593,0.9117867008715098,2.442816468236296,2.443504734062448
20,"(4, 'donovan', 21)","(4, 'donovan', 21)",3.412369028826263,0.4479760688468742,0.9745363852670116,29.965987125577755,0.5504948608629293,5.386674854359922,5.474119758059532
21,"(4, 'elcajon', 11)","(4, 'elcajon', 11)",1.0940386007004823,0.05656541930076421,0.03044904187719518,3.5234328540485302,0.9651529822376056,1.8768339592058736,1.877080939663639
22,"(4, 'elcajon', 12)","(4, 'elcajon', 12)",1.367868294900464,0.07072332146208159,0.01303145980952235,4.967890884887557,0.9508671829212249,2.2288385009343292,2.2288765970523263
23,"(4, 'elcajon', 13)","(4, 'elcajon', 13)",1.129632783489002,0.05838941472655657,0.10789894245982427,3.787367024954409,0.9626219920160166,1.9431224474103737,1.9461158816870099
24,"(4, 'shafter', 15)","(4, 'shafter', 15)",1.7326361068970448,0.13958658042795982,-0.06408601557701114,7.069468927775683,0.9005014421348332,2.658074847548671,2.658847293053078
25,"(4, 'shafter', 18)","(4, 'shafter', 18)",1.58241838327982,0.12821146721429014,-0.13635019195537504,5.5998323356541535,0.919893786953713,2.362465019617519,2.3663964874158667
26,"(4, 'shafter', 20)","(4, 'shafter', 20)",1.5245336687197906,0.12358620205990126,0.14053215595063245,5.7357382622679705,0.9179197394270788,2.3908134549417777,2.394940137512412
