,Model,Testing Location,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE,NO2 MBE,NO2 MSE,NO2 R^2,NO2 crMSE,NO2 rMSE,O3 MBE,O3 MSE,O3 R^2,O3 crMSE,O3 rMSE
0,"(2, 'donovan', 15)","(2, 'donovan', 15)",1.5083318506532732,1.9488073028828847,0.141999883939223,0.0453894799624465,-0.19988613037103,7.745236829600335,0.9412790968012932,2.775839039944841,2.783026559269662,-0.2825929336119508,9.382680094430958,0.967760032485691,3.050052678580058,3.0631160758990115
1,"(2, 'donovan', 18)","(2, 'donovan', 18)",1.3157387683293509,1.7095374904021186,0.12657250848013102,0.04012563457184133,-0.016695527572057417,6.213049522874774,0.95211473552036,2.4925430303202867,2.492598949465151,-0.22301627512942498,7.640486611914565,0.9737300661041699,2.7551316407600033,2.7641430158214617
2,"(2, 'donovan', 20)","(2, 'donovan', 20)",1.4763621887275984,1.9455813855696398,0.14218592852121908,0.04562734842764017,0.22489385712103227,7.089377703109131,0.9454848172557975,2.653073775123119,2.662588534323156,0.3070420433813528,9.089976396174823,0.9687774931700744,2.999283513149252,3.014958771886412
3,"(2, 'elcajon', 17)","(2, 'elcajon', 17)",0.8418981602538623,1.3657284460565,0.07478284430371891,0.03580750357090528,-0.0607441837424474,1.6389551067539274,0.9746447844756887,1.278774909307032,1.2802168202120794,0.17890911139655546,4.358816826439259,0.9897426329370036,2.0800981607716236,2.0877779638743337
4,"(2, 'elcajon', 19)","(2, 'elcajon', 19)",1.1040718103229326,2.0469041048585006,0.09809273105875173,0.053619357940959775,0.12403764497925678,2.6815713719620224,0.958457672836616,1.63284599187827,1.6375504181435216,-0.5950684837577748,9.21194438577623,0.9783117579269102,2.976212005584359,3.0351185126410187
5,"(2, 'elcajon', 21)","(2, 'elcajon', 21)",0.934420795715909,1.53663997347121,0.08320514649731311,0.040263998210249556,-0.0007891779913469438,1.9963843835449055,0.9690370728628603,1.4129344515929152,1.4129346706571064,-0.32604206598814367,5.272752989506797,0.9875795263581874,2.2729825247318822,2.2962475888951515
6,"(2, 'shafter', 11)","(2, 'shafter', 11)",1.6131761076490878,2.3318048083961718,0.12016106633472222,0.0739028679239706,-0.14037441473474724,6.682037616180763,0.9208572360156496,2.5811494828656905,2.58496375529344,0.1897379333923366,12.564173800004525,0.9763538865981758,3.539515975889794,3.5445978333239054
7,"(2, 'shafter', 12)","(2, 'shafter', 12)",1.725074251664822,2.475820043270343,0.12833603474861832,0.07829383253397447,-0.2990406231578623,7.000488789694085,0.9201058391593048,2.6288901634737094,2.645843682021688,0.22224147044295925,13.168440982523927,0.9751382461911872,3.6220228370962055,3.6288346590226355
8,"(2, 'shafter', 13)","(2, 'shafter', 13)",1.5845724816326505,2.2600567463844317,0.11684849743626742,0.07195913047725395,0.07468350429172184,6.492351802316511,0.9249756224148433,2.5469146450865896,2.548009380343116,-0.26766657006900507,11.775138845672602,0.977873775182758,3.421036895179734,3.431492218506783
9,"(3, 'donovan', 11)","(3, 'donovan', 11)",1.713454791062017,2.0825670219581727,0.14449198032535485,0.06963012453198704,0.22944375120181104,11.73020411577345,0.9034446094354758,3.4172444386297904,3.4249385564960795,-0.06945395989837744,8.909146346144961,0.9575665804705987,2.9840111479513256,2.984819315493814
10,"(3, 'donovan', 12)","(3, 'donovan', 12)",1.6357278409242217,2.1022865424729513,0.1378992112605163,0.0703162463936677,0.13109877346213342,12.039487979907701,0.9012461259607785,3.467319001113874,3.4697965329263476,-0.15562839084719068,9.06243929811916,0.9568274081491679,3.0063631032750395,3.0103885626475466
11,"(3, 'donovan', 13)","(3, 'donovan', 13)",1.621585281012378,2.043450175962086,0.13811931142714606,0.06868799172144881,-0.23627708199324587,11.832523810002566,0.9037759864879712,3.431719226826101,3.439843573478679,-0.1768760070678857,9.165777172396227,0.9558575685532108,3.022332215048099,3.0275034553896427
12,"(3, 'elcajon', 15)","(3, 'elcajon', 15)",1.1394236253752152,1.3623627277658406,0.0718258780046242,0.06040692570013615,0.03732245163702733,2.6255621479016704,0.974195962102718,1.6199287553076762,1.6203586479238694,-0.05592813999359428,4.153881461019669,0.9866430857630509,2.037339816910493,2.0381073232339038
13,"(3, 'elcajon', 18)","(3, 'elcajon', 18)",1.1933994913211112,1.3058997542871547,0.07482972315444639,0.05801521438702512,0.1327008708182264,2.8179030789017303,0.972694840507754,1.673407769369634,1.6786610970954592,0.007157250225199221,3.7728626351370083,0.9878499189118222,1.9423726258181842,1.9423858100637494
14,"(3, 'elcajon', 20)","(3, 'elcajon', 20)",1.1797460289472617,1.3470011384287193,0.07394760425621773,0.059871317509535685,0.29827835275389275,2.7487587758216225,0.9733722558473205,1.630885909227566,1.657938109768161,0.07041665642701903,3.840104758344443,0.987633846085828,1.9583529534677377,1.9596185236786376
15,"(3, 'shafter', 17)","(3, 'shafter', 17)",2.0788366851743287,2.4074491857323044,0.15187296548792545,0.10557041058393911,-0.009685614458978867,9.643941176117066,0.8865909346851517,3.1054544674575224,3.1054695580728313,-0.07205289903058842,12.262903566005518,0.9683781454996784,3.5011015332715467,3.5018428813990954
16,"(3, 'shafter', 19)","(3, 'shafter', 19)",2.122880388809578,2.4375986020598206,0.15256393605005936,0.10655345739518214,0.08797600423821365,16.64325271117679,0.8077803786482451,4.0786655874422,4.079614284607895,0.0320306747282102,14.058668123761604,0.9659166895081379,3.7493522319003962,3.74948904835867
17,"(3, 'shafter', 21)","(3, 'shafter', 21)",1.8343515010681752,2.4129477432948416,0.1340116826883345,0.10581153092946362,-0.14190264034674982,12.001181930877449,0.8588706836137865,3.4613646983849264,3.46427220796482,-0.09652970528738834,12.79069323080285,0.9670171555924217,3.5751049419849554,3.576407866952936
18,"(4, 'donovan', 17)","(4, 'donovan', 17)",4.064186144420806,6.32575541996886,0.5335466699701616,0.17017060572809886,-0.8691953228666417,33.01058522149312,0.5048243316397238,5.679356021725561,5.745483897940462,0.8739046211466411,71.31930155847138,0.5303119097368973,8.399737629567142,8.445075580388336
19,"(4, 'donovan', 19)","(4, 'donovan', 19)",0.7662065658887928,1.1014015965174648,0.10129813072612462,0.0295053100675974,0.05799214574734027,5.970715385385594,0.9117867008715098,2.4428164682362956,2.4435047340624476,0.02804668779415253,8.738113690700084,0.9419121373223203,2.9558970002084233,2.956030055784292
20,"(4, 'donovan', 21)","(4, 'donovan', 21)",3.412369028826263,5.766565634707901,0.4479760688468742,0.15512771232529146,0.9745363852670116,29.965987125577755,0.5504948608629293,5.386674854359921,5.474119758059532,-2.205903474186872,58.52040427602597,0.6146017091418572,7.324915983095704,7.649863023350547
21,"(4, 'elcajon', 11)","(4, 'elcajon', 11)",1.0940386007004823,1.0027543292059413,0.056565419300764204,0.056463796546548754,0.030449041877195184,3.5234328540485302,0.9651529822376057,1.8768339592058738,1.877080939663639,-0.005356202713115151,2.363721767223813,0.9921019146880213,1.5374306745342914,1.537440004430681
22,"(4, 'elcajon', 12)","(4, 'elcajon', 12)",1.3678682949004641,1.2479183778923215,0.07072332146208159,0.0702686663560043,0.01303145980952235,4.967890884887556,0.9508671829212249,2.228838500934329,2.228876597052326,-0.12043951626362542,3.717313213523053,0.9875790554967756,1.9242680515881139,1.9280335094398782
23,"(4, 'elcajon', 13)","(4, 'elcajon', 13)",1.129632783489002,1.1060952711776808,0.05838941472655657,0.0623612882868126,0.10789894245982427,3.7873670249544085,0.9626219920160166,1.9431224474103739,1.94611588168701,0.015154492054482546,3.0678680626866375,0.9895433310454052,1.7514674972374418,1.7515330606890176
24,"(4, 'shafter', 15)","(4, 'shafter', 15)",1.732636106897045,2.064571658863498,0.13958658042795982,0.10457163478144933,-0.06408601557701114,7.069468927775681,0.9005014421348332,2.658074847548671,2.658847293053078,-0.06091616587758302,9.413424042796898,0.9660111164620403,3.0675255973288587,3.068130382300742
25,"(4, 'shafter', 18)","(4, 'shafter', 18)",1.58241838327982,1.6383455723019051,0.12821146721429016,0.08177307093695121,-0.13635019195537504,5.5998323356541535,0.919893786953713,2.362465019617519,2.366396487415867,0.03895659813064451,5.544931094701507,0.9801306901743493,2.3544454732752826,2.3547677368907336
26,"(4, 'shafter', 20)","(4, 'shafter', 20)",1.5245336687197906,1.6242106248989707,0.12358620205990123,0.08095201333248134,0.14053215595063243,5.7357382622679705,0.9179197394270787,2.3908134549417777,2.3949401375124117,0.026257657079703286,5.777722900354691,0.9793572332774249,2.403546013920174,2.4036894350882125
