,Model,NO2 MAE,NO2 CvMAE,NO2 MBE,NO2 MSE,NO2 R^2,NO2 crMSE,NO2 rMSE
0,"(11, {(3, 'donovan'), (2, 'shafter')})",-3.6020439356738967,-0.12940421037129912,-1.5551119059342922,-41.10316631575262,0.4217336041973037,-3.350604015588321,-3.5956199762379866
1,"(11, {(4, 'elcajon'), (2, 'shafter')})",-3.630192335273968,-0.3424530551938469,0.02514326288698764,-61.505127722824994,0.4716615703699442,-5.705845470121144,-5.704446490481146
2,"(11, {(3, 'donovan'), (4, 'elcajon')})",-3.577327196981346,-0.28035811571179503,1.3548331619787646,-39.838651199988064,0.5239110905555232,-3.4661149150176973,-3.5654490491890782
3,"(12, {(3, 'donovan'), (2, 'shafter')})",-3.996739128831288,-0.1491232294414187,1.6357996076942685,-44.59670230701628,0.4548269186558984,-3.647489583902621,-3.7870342006294058
4,"(12, {(4, 'elcajon'), (2, 'shafter')})",-3.1517728573127,-0.3096743619997285,-0.7334551550851258,-52.167808076666276,0.4005816348944353,-4.790458468282983,-4.829615444202268
5,"(12, {(3, 'donovan'), (4, 'elcajon')})",-4.19246212092699,-0.3320964361834313,-0.018968943764899687,-55.83357617522172,0.7089308268399864,-4.604382431564922,-4.602713917913598
6,"(13, {(3, 'donovan'), (2, 'shafter')})",-21.305417601455623,-1.0398039069087193,17.159452441354215,-1825.0726010833594,17.607701915969912,-34.8815349782246,-38.37108836072747
7,"(13, {(4, 'elcajon'), (2, 'shafter')})",-4.491252303986089,-0.42372311920579375,0.7919708936210538,-83.72392582455748,0.6043002882931022,-6.514641929107724,-6.556223863138468
8,"(13, {(3, 'donovan'), (4, 'elcajon')})",-4.4966970523549685,-0.35213552667612674,1.3107931246361246,-55.191907898432405,0.7120549246841783,-4.1030507325628935,-4.217815368920349
9,"(15, {(2, 'donovan'), (3, 'elcajon')})",-5.748706636902927,-0.4811435391449626,-2.2058713342193843,-76.23644558814985,1.1342907253649053,-5.923478928661872,-6.225566109196013
10,"(15, {(4, 'shafter'), (2, 'donovan')})",-6.718498400882902,-0.3799740889852316,-1.1549720313718304,-132.41990768302182,1.2540138669247196,-8.511245215433513,-8.571425319597507
11,"(15, {(4, 'shafter'), (3, 'elcajon')})",-4.730146379303979,-0.4818064384997069,-0.31038191542002425,-96.391440280715,0.6887471723976506,-7.453328804603741,-7.458220164930903
12,"(17, {(2, 'elcajon'), (3, 'shafter')})",-6.040005255043023,-0.8449950304301552,3.7718508241572852,-193.46180846353263,2.8728691956392853,-10.798198958290488,-11.303184372187994
13,"(17, {(2, 'elcajon'), (4, 'donovan')})",-3.987177440818277,-0.26862534921908565,-2.5096210841559894,-52.35545497601584,0.6459046872656594,-4.855820242938245,-5.280909752399382
14,"(17, {(3, 'shafter'), (4, 'donovan')})",-5.3581706323043985,-0.5085121505975483,1.6893772362282231,-90.50006227135479,1.376024551283602,-6.7452453869037425,-6.855512538692253
15,"(18, {(2, 'donovan'), (3, 'elcajon')})",-3.5728550940618087,-0.3111339569134205,1.5856180264513011,-46.720839123501555,0.7156130005052389,-4.188225278220793,-4.317026142128524
16,"(18, {(4, 'shafter'), (2, 'donovan')})",-4.557604096147744,-0.2447182373347133,0.4239431603504694,-85.99010799936987,0.8079655653747454,-6.48777051892078,-6.496137202570803
17,"(18, {(4, 'shafter'), (3, 'elcajon')})",-4.305506860384114,-0.4510719642139186,-1.8945207821152608,-99.5945376020725,0.7003429314460902,-7.397679827511686,-7.576993944961286
18,"(19, {(2, 'elcajon'), (3, 'shafter')})",-2.6946362240101416,-0.4204507330471196,2.307695677296094,-26.447979865759248,0.44735810185959,-2.5207592064053466,-2.838740906769811
19,"(19, {(2, 'elcajon'), (4, 'donovan')})",-3.7796868670595742,-0.2413423102840031,-1.5407658432857287,-49.71712894447758,0.5956891094652975,-4.79767937114292,-4.9864928859748
20,"(19, {(3, 'shafter'), (4, 'donovan')})",-4.687952952879691,-0.4550721695672726,-0.7817798928557151,-71.52297452736603,1.0921421601781378,-5.710966961471166,-5.71701754059937
21,"(20, {(2, 'donovan'), (3, 'elcajon')})",-3.5039101023634145,-0.3030032988467468,1.4644463078824257,-41.465456017117724,0.6355070987429193,-3.870696146793356,-4.037510933643539
22,"(20, {(4, 'shafter'), (2, 'donovan')})",-4.4458510963936195,-0.2403145177870747,-2.2833244067071634,-70.24899039258086,0.6588604324496374,-5.534944577588407,-5.784655191906764
23,"(20, {(4, 'shafter'), (3, 'elcajon')})",-4.636523902538562,-0.4774300576818885,-1.025079620281007,-96.7566277849234,0.6903612811760517,-7.511898849087004,-7.56778552272288
24,"(21, {(2, 'elcajon'), (3, 'shafter')})",-3.825211457344431,-0.5683388205212956,3.3561226740658237,-44.47431389533647,0.6717672848795834,-3.6967530382818032,-4.409842502236492
25,"(21, {(2, 'elcajon'), (4, 'donovan')})",-4.05061359957891,-0.2710923548929117,0.6253322844031058,-50.07333004570025,0.6154450462339011,-4.9452857934071295,-4.962087845708411
26,"(21, {(3, 'shafter'), (4, 'donovan')})",-4.298477486110903,-0.4044134388630037,-1.6358934655185224,-61.5208847481388,0.9267297451700156,-5.368091096802036,-5.550645378368257
