,Model,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE
0,<metasense.models.nn.NeuralNetwork object at 0x7f16d9578c50>,1.8288002002323842,1.9893433195924561,0.11844942368933849,0.08213013560973396
1,<metasense.models.nn.NeuralNetwork object at 0x7f16d88ec7b8>,1.924114321718873,2.4008143233564323,0.1476175407168948,0.08922151301003906
2,<metasense.models.nn.NeuralNetwork object at 0x7f16d5e40780>,1.3613662129282864,2.3033273660524634,0.12211700620906553,0.05963125696837433
3,<metasense.models.nn.NeuralNetwork object at 0x7f16d5f7f5c0>,2.07304232850212,2.452711859836777,0.15217430660545217,0.10780380653434912
4,<metasense.models.nn.NeuralNetwork object at 0x7f16d5cc7a58>,1.952564816142955,2.2638380904730186,0.1348142404605906,0.0810207902190069
5,<metasense.models.nn.NeuralNetwork object at 0x7f16d6aa4fd0>,2.0079701624275614,2.1925047017572084,0.16662386591740397,0.09109296241097152
6,<metasense.models.nn.NeuralNetwork object at 0x7f16d26f4550>,1.8167415595922187,2.0068852652494047,0.13249173900581573,0.09567742227021414
7,<metasense.models.nn.NeuralNetwork object at 0x7f16d2639940>,2.07956788136729,2.7920228687197364,0.15731919053066837,0.1022580044629231
8,<metasense.models.nn.NeuralNetwork object at 0x7f16d242cf98>,1.5401547684969135,2.825030619886857,0.13806441780200573,0.073437781826608
9,<metasense.models.nn.NeuralNetwork object at 0x7f16d0a20668>,2.2240129364117207,2.528782329827776,0.1594547599023784,0.11049830059234332
10,<metasense.models.nn.NeuralNetwork object at 0x7f16d0832ac8>,1.8000596327549059,2.2852893255373337,0.12431566577089186,0.08180707518095498
11,<metasense.models.nn.NeuralNetwork object at 0x7f16ced51ef0>,1.9251401983951397,2.1368756185269615,0.15940060432882203,0.08919731002088226
12,<metasense.models.nn.NeuralNetwork object at 0x7f16cd36ff60>,1.7039573394194292,1.946724524043839,0.12421618891350299,0.09303442223196934
13,<metasense.models.nn.NeuralNetwork object at 0x7f16cd1f9630>,1.9035718659951923,2.57706428592812,0.145671345857862,0.09586474855705825
14,<metasense.models.nn.NeuralNetwork object at 0x7f16cc13c9e8>,1.582509034444384,2.556550244310763,0.14044015730637843,0.06635328568305845
15,<metasense.models.nn.NeuralNetwork object at 0x7f16cb3269e8>,1.8178075300580887,2.329297188262143,0.13343847186595276,0.10237937344222982
