,Model,Test,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE,NO2 MBE,NO2 MSE,NO2 R^2,NO2 crMSE,NO2 rMSE,O3 MBE,O3 MSE,O3 R^2,O3 crMSE,O3 rMSE
0,11,"(3, 'donovan')",-0.26908808780488824,-0.3290309083145315,-0.02011337272072411,-0.011377127917164762,-0.05207351499449146,-4.944948280665473,0.03387103078081022,-0.6236480364093167,-0.6248839414040357,-0.006214001982712436,-3.6592784031020003,0.01804474251748278,-0.5170377354595894,-0.5137455599245788
1,11,"(4, 'elcajon')",-0.15487058550490485,-0.18749338631488088,-0.008076656208759705,-0.009869048535710287,0.007232269019990717,-1.6473982745425495,0.015840297608537224,-0.307111681162489,-0.3059419209929408,-0.07656623227578406,-1.915150932444181,0.006531542894506748,-0.3584839641273838,-0.3610832197588669
2,11,"(2, 'shafter')",-0.17093073685309634,-0.30168493647742656,-0.011182267456917694,-0.009727300249090326,-0.005192866672766069,-0.4352444505725561,0.0039051417011967127,-0.06944141055626174,-0.06958435591971668,0.03441781130924246,-3.733712177680694,0.006059164413433571,-0.43066763995372526,-0.42894711290380805
3,12,"(3, 'donovan')",-0.3135057328492157,-0.37428563513564406,-0.02393569427892278,-0.012760225619179819,-0.091622490289929,-7.308272743852459,0.05465958642858193,-0.8545858730950564,-0.8578516521004631,0.004914549521711109,-5.149380397986748,0.02523837049782629,-0.6434615804251682,-0.6418695545346407
4,12,"(4, 'elcajon')",-0.2813914840175509,-0.3340136701298779,-0.014632976669072553,-0.017981579309006457,0.008837295662099648,-2.60658868999389,0.025169781903013333,-0.42215599462082043,-0.4216026040265026,-0.08884570874211022,-3.7056000230201827,0.012574021068174623,-0.5927804894553019,-0.594435344085686
5,12,"(2, 'shafter')",-0.26700115596114715,-0.3895550163524857,-0.02011743169972155,-0.012717169838258949,-0.03572709361040233,-2.7084398765158575,0.03489850805784356,-0.3916983074245177,-0.3921132252690409,0.016341048896333782,-5.17417798896804,0.010034592934686448,-0.588621997212881,-0.5877754681682505
6,13,"(3, 'donovan')",-0.43015695875489013,-0.5354563927652385,-0.033885286540929926,-0.01798910585796394,-0.03951018689044474,-16.65584781143903,0.11541438267729309,-1.8584669419277526,-1.8583789945585099,-0.0005085001609572704,-7.11285740283185,0.03345535093059604,-0.9427425391506943,-0.9413939213370441
7,13,"(4, 'elcajon')",-0.3812552135646472,-0.47450492149566825,-0.01953445758890708,-0.026987786207809297,-0.003723930564826783,-5.297252711223045,0.049660657188614565,-0.9239697392170574,-0.923089280968588,0.024949995119756152,-5.714827283272703,0.019448429619805085,-0.983616248770089,-0.9821217031771603
8,13,"(2, 'shafter')",-0.3110263918892777,-0.5283069398500637,-0.023706616556660537,-0.015919642733964526,0.013599460542196296,-4.0382284927142695,0.045738742418375944,-0.627560174359358,-0.6235280687231977,-0.08560307516835891,-8.451681976532692,0.015344781396526397,-0.9676883162364667,-0.9664041448806882
9,15,"(4, 'shafter')",-0.18233963574550494,-0.23778984150948101,-0.013760064139353323,-0.012577071187479222,-0.010109126351922779,-2.129529309849831,0.03131841484740383,-0.354189420847709,-0.35371033598544965,-0.000412446438137537,-2.416234969370249,0.007955855068771167,-0.34436206915905876,-0.34173242932206804
10,15,"(2, 'donovan')",-0.5437256776821884,-0.761386344186441,-0.05053522772156557,-0.017621765023361477,-0.07216290147101756,-8.923014420238518,0.0652034256191143,-1.0480156798633788,-1.049764922980684,-0.117405533201137,-11.639677749585271,0.03728721542979141,-1.1874550664701244,-1.1927071176369601
11,15,"(3, 'elcajon')",-0.18807446306751774,-0.30274372607147737,-0.011198575719818527,-0.013776588095735662,-0.0028878862967336993,-1.3310403752674604,0.012313835119839633,-0.29956383231396844,-0.29801528187808657,0.058750671144166766,-3.127515867712793,0.010439330042509853,-0.531660465254582,-0.5242976312994565
12,17,"(4, 'donovan')",-3.0559841859953156,-4.300070592910636,-0.36433035540024866,-0.12123221821649668,0.5165044193868988,-125.28032902483844,1.8466348489569073,-7.877705416774289,-7.88680887172255,-0.5528229302701373,-77.1469746240571,0.4227000082629875,-4.602544015120633,-4.620550833063836
13,17,"(2, 'elcajon')",-0.28740168982176084,-0.5173219578490573,-0.02566644894869627,-0.012573251511219671,0.03532555761202416,-2.5782935641655857,0.03632370364767323,-0.5608049252003187,-0.5588972570679385,-0.15217361538486013,-5.69678469121175,0.013495212864315875,-0.8393590034998599,-0.8439769827098784
14,17,"(3, 'shafter')",-0.2192269856709208,-0.33415160365828767,-0.016014171520869896,-0.01564912082789928,0.03538930587151046,-1.8968900305430711,0.030381509607974144,-0.3147535756525226,-0.3166981016033188,0.02010023462058283,-3.942291634159579,0.010812295921114656,-0.5879944255526883,-0.5882980321605991
15,18,"(4, 'shafter')",-0.17562896838793995,-0.2152092938295791,-0.013616505011730062,-0.010642718504029466,0.019267844157531716,-2.1273682635387106,0.028140365392233746,-0.37601114481389786,-0.3737926717910134,-0.033065815590023674,-2.2329476102140076,0.007586213808477127,-0.38751387571974627,-0.38682802327019195
16,18,"(2, 'donovan')",-0.6672463187412325,-0.7470780039395595,-0.06173848796909198,-0.017696206185368504,-0.1186222930519869,-13.771741366476492,0.09669711454807317,-1.5343868976898891,-1.5370994507176343,0.004115542406843975,-11.416934610622828,0.04222799473911021,-1.218582692223153,-1.216888423294292
17,18,"(3, 'elcajon')",-0.2804451591369703,-0.3521911662889765,-0.01748501147780035,-0.015493913077346197,0.01741486580882004,-2.4323431410595724,0.02365973645996955,-0.4812636310752434,-0.48124481224022686,0.07939590912431682,-3.9221389793063803,0.01283900941880245,-0.6412855423393067,-0.6448639383456722
18,19,"(4, 'donovan')",-1.259900512829395,-2.0337172547008793,-0.12435356522027768,-0.0631058895888547,0.48711384160412335,-14.717266333198143,0.2439882508838893,-1.585993353632254,-1.6341005840725762,-1.802551823046604,-32.19209746657061,0.14180362054320428,-1.4312528454885909,-2.1135770048971363
19,19,"(2, 'elcajon')",-0.31110174581168404,-0.6654665084068867,-0.02775169301021088,-0.016558499978956115,-0.006741701764058292,-2.837025232433162,0.039117034351761726,-0.5763741588048941,-0.5761156830793865,0.002646946419924523,-8.932011506057307,0.020965848947334664,-1.0301939847036214,-1.0270215147240385
20,19,"(3, 'shafter')",-0.24243551293745869,-0.30901731312768765,-0.016235364081283565,-0.014272097880103488,0.02183713293948209,3.1912284516873584,-0.02825683424997205,0.44173168504593674,0.44159227617666463,0.015065364774530104,-4.4867523962247535,0.011373463762570646,-0.6093915958661582,-0.6095774966460246
