,Model,Testing Location,NO2 MAE,NO2 CvMAE,NO2 MBE,NO2 MSE,NO2 R^2,NO2 crMSE,NO2 rMSE
0,"(2, 'donovan', 15)","(2, 'donovan', 15)",-0.7351333150249757,-0.06886069768303292,0.00972147042267024,-6.124165497752683,0.045552339924959,-1.425523415906243,-1.4255257003923645
1,"(2, 'donovan', 18)","(2, 'donovan', 18)",-0.685129798390084,-0.06469477881022742,0.047685744014829286,-5.4545947202342,0.03945454930700243,-1.3014148960457352,-1.3018850497649042
2,"(2, 'donovan', 20)","(2, 'donovan', 20)",-0.7242893917624521,-0.06769553966257566,-0.009856202107279678,-6.004068456657089,0.04404334672377352,-1.376971063047728,-1.3769013011946707
3,"(2, 'elcajon', 17)","(2, 'elcajon', 17)",-0.403933557193048,-0.035943835908202694,0.037227608491379134,-1.267899596617997,0.018734602237150063,-0.6648771492548916,-0.6655403967500104
4,"(2, 'elcajon', 19)","(2, 'elcajon', 19)",-0.435461086174646,-0.0387423516633144,0.0173550784214967,-1.4906937991772344,0.021829288873247976,-0.7080185886699144,-0.7082143743769954
5,"(2, 'elcajon', 21)","(2, 'elcajon', 21)",-0.4752061730697501,-0.041328562995648715,0.016460742260350606,-1.7298037946661688,0.025251473476772143,-0.8080321786945786,-0.8081912303486073
6,"(2, 'shafter', 11)","(2, 'shafter', 11)",-0.4182383718876922,-0.03052775449543677,0.059209517923362036,-1.5910445978315382,0.01854360763209129,-0.646855174999743,-0.6480962658378222
7,"(2, 'shafter', 12)","(2, 'shafter', 12)",-0.4619551995265472,-0.03446066585519805,-0.00837723199188359,-2.5246223146922557,0.029816594500399637,-0.9209117360206366,-0.9208886330560422
8,"(2, 'shafter', 13)","(2, 'shafter', 13)",-0.4425150746038981,-0.032943531627575566,0.017227520932125432,-2.2446334767552587,0.025710545603682692,-0.8350824946603176,-0.8352499589150724
9,"(3, 'donovan', 11)","(3, 'donovan', 11)",-0.710758233506466,-0.05827839303446539,-0.010999547956269595,-8.045300129105787,0.062185336631877634,-1.6308079772361437,-1.6307941506315309
10,"(3, 'donovan', 12)","(3, 'donovan', 12)",-0.7235656696370564,-0.059477940175700635,-0.017879167974562946,-11.952697633217731,0.09454481139836024,-2.2042637028425176,-2.20424985627764
11,"(3, 'donovan', 13)","(3, 'donovan', 13)",-0.783584401628714,-0.0649573600296294,-0.043538251489452326,-17.95187149112618,0.13169060982559533,-2.8562691813879377,-2.8563365417562148
12,"(3, 'elcajon', 15)","(3, 'elcajon', 15)",-0.4861819436698602,-0.030270037440824068,0.016845734252175962,-1.6894352964436001,0.016297170949958417,-0.7456394014913613,-0.7458053797371553
13,"(3, 'elcajon', 18)","(3, 'elcajon', 18)",-0.5174033531494241,-0.03239011664152377,0.01076652134709797,-2.003899635704709,0.01944861875739989,-0.8317103742715959,-0.8317794589300017
14,"(3, 'elcajon', 20)","(3, 'elcajon', 20)",-0.4863157140110769,-0.03053992332545127,0.026798574651685586,-1.8605315645235552,0.018087277388800786,-0.8005929474020914,-0.8009517424573388
15,"(3, 'shafter', 17)","(3, 'shafter', 17)",-0.5277938352501298,-0.03855795576202091,0.04304078238327109,-0.88398191545607,0.013172985177606568,-0.2560569088622864,-0.2568316455263968
16,"(3, 'shafter', 19)","(3, 'shafter', 19)",-0.52484179521753,-0.03713791825796648,0.010136219660588114,-1.3647282286783828,0.018798533115326088,-0.3728665711838219,-0.3729885193403337
17,"(3, 'shafter', 21)","(3, 'shafter', 21)",-0.5253784255796607,-0.03838149658759934,0.056854419159305725,-1.1096016946676928,0.01598494109628068,-0.3172072027896007,-0.3184400114955934
18,"(4, 'donovan', 17)","(4, 'donovan', 17)",-1.7959081305414073,-0.21240268984811028,-0.4665353535353536,-18.99740363996501,0.2790312889721829,-2.465312556815071,-2.479462484557372
19,"(4, 'donovan', 19)","(4, 'donovan', 19)",-1.5979732591390368,-0.1765049047430033,0.2065792822732307,-14.520422605147226,0.2334746073994787,-2.105825617955358,-2.111565406931812
20,"(4, 'donovan', 21)","(4, 'donovan', 21)",-1.3420600572790722,-0.1564813217463528,-0.18761887122498344,-13.619580139733493,0.19969314847173347,-1.9496433877932788,-1.9508739443527092
21,"(4, 'elcajon', 11)","(4, 'elcajon', 11)",-0.5252093866466719,-0.027194517383112096,0.016822346530432356,-3.1307974295709204,0.030736066531166117,-1.0470973400267387,-1.0472312153691026
22,"(4, 'elcajon', 12)","(4, 'elcajon', 12)",-0.5812571537598129,-0.030096496376061637,0.0092831764826349,-3.2444267179622903,0.03184785811423352,-1.048950725400303,-1.0489879833885687
23,"(4, 'elcajon', 13)","(4, 'elcajon', 13)",-0.5357143498563216,-0.02759628361667317,0.002909482758620626,-3.8858810299928166,0.03720292341873999,-1.2173372738455246,-1.2172741071454851
24,"(4, 'shafter', 15)","(4, 'shafter', 15)",-0.6233106659068367,-0.04965918757453608,-0.0011921646849209525,-4.070293725123295,0.05798595785143967,-1.1997911936293058,-1.199639644804975
25,"(4, 'shafter', 18)","(4, 'shafter', 18)",-0.5545376479688807,-0.044583437346159265,0.01692650835590798,-3.5543319040671224,0.049686130713391334,-1.1094009188244838,-1.109520713893912
26,"(4, 'shafter', 20)","(4, 'shafter', 20)",-0.5464167652047438,-0.04376065342635654,0.025198681207400576,-3.4456591082983614,0.04807140860095272,-1.0900878292980896,-1.0903778328411953
