,Model,Testing Location,O3 MAE,O3 CvMAE,O3 MBE,O3 MSE,O3 R^2,O3 crMSE,O3 rMSE
0,"(2, 'donovan', 15)","(2, 'donovan', 15)",-0.8695027891063215,-0.020197304319983282,0.03839866261598146,-6.463326761396782,0.021426023608492332,-1.4593850235879848,-1.4595609443338926
1,"(2, 'donovan', 18)","(2, 'donovan', 18)",-0.8176829344500253,-0.01926966986867837,0.0028886722060849817,-5.136822523427607,0.01843713058423402,-1.227464091471144,-1.2274622230248402
2,"(2, 'donovan', 20)","(2, 'donovan', 20)",-0.8710656130268203,-0.02068125189294021,-0.011614942528735859,-5.608898352490424,0.02023293812129301,-1.321383300077346,-1.3214141119676392
3,"(2, 'elcajon', 17)","(2, 'elcajon', 17)",-0.6697411661197447,-0.01705807949770382,-0.039283290707182505,-3.225852340816707,0.007617497703603648,-1.0509006361522828,-1.0513569330477703
4,"(2, 'elcajon', 19)","(2, 'elcajon', 19)",-0.7353568287922759,-0.018882850001901683,0.05822836742526676,-3.900038233777821,0.009168117993488156,-1.1358112614193432,-1.1362273187558525
5,"(2, 'elcajon', 21)","(2, 'elcajon', 21)",-0.7541603879149569,-0.019329154365664347,-0.012955613577023658,-4.098424128310333,0.009636918055689336,-1.1989579151052945,-1.1990276660102623
6,"(2, 'shafter', 11)","(2, 'shafter', 11)",-0.6381163164400491,-0.020293363467965512,-0.0433839484372236,-3.242402780815821,0.005890581549616858,-0.9863977606534852,-0.9871457877301996
7,"(2, 'shafter', 12)","(2, 'shafter', 12)",-0.6757748478187351,-0.02152991888497749,-0.019471296922556374,-3.946344697407845,0.007513299563894681,-1.161001582038319,-1.1611458681768432
8,"(2, 'shafter', 13)","(2, 'shafter', 13)",-0.6330496717720716,-0.01978694408670357,-0.012241161322408396,-3.0130739201475896,0.005564529583365396,-0.9444634370632424,-0.9445427187802812
9,"(3, 'donovan', 11)","(3, 'donovan', 11)",-0.759976564437168,-0.02561500805307345,-0.020028706698250045,-4.048293673023714,0.019500893424077348,-1.2096303562330724,-1.209752474312645
10,"(3, 'donovan', 12)","(3, 'donovan', 12)",-0.7859275458520806,-0.026412570767565858,-0.03053373841596308,-4.44213330191431,0.02138228799038988,-1.232175827409238,-1.232440334035675
11,"(3, 'donovan', 13)","(3, 'donovan', 13)",-0.8287284703923995,-0.027851329356253847,0.013465701931771842,-5.265868678017503,0.025063220683809617,-1.3898577659630489,-1.389869168131053
12,"(3, 'elcajon', 15)","(3, 'elcajon', 15)",-0.6067350489362701,-0.027095584432873472,-0.028887828079822382,-2.772468202376944,0.009048084706347437,-0.9700816514695426,-0.9703346955587366
13,"(3, 'elcajon', 18)","(3, 'elcajon', 18)",-0.6340296325534698,-0.028083754224561892,0.015398868921890498,-3.0116545637962098,0.009771285056381251,-1.0202885557893555,-1.020288606084346
14,"(3, 'elcajon', 20)","(3, 'elcajon', 20)",-0.5832765937876381,-0.02572249449020894,0.007300528283753267,-2.485822658171418,0.008069042038205687,-0.8944247744080059,-0.8944067131724979
15,"(3, 'shafter', 17)","(3, 'shafter', 17)",-0.681688916000542,-0.030445402545841174,-0.015275778073190888,-3.8213708081655504,0.01009854510120234,-1.1445085753391009,-1.1445963794467982
16,"(3, 'shafter', 19)","(3, 'shafter', 19)",-0.6069197727825515,-0.026890675786033408,-0.015625740563567657,-3.52024610668794,0.008677458020939444,-1.1099845976667573,-1.1100943729494073
17,"(3, 'shafter', 21)","(3, 'shafter', 21)",-0.6342891988499977,-0.028334769850671283,-0.00952522961075766,-3.4050539611111663,0.009002059324428768,-1.0622481486274384,-1.062287344025281
18,"(4, 'donovan', 17)","(4, 'donovan', 17)",-2.955227658589288,-0.08332482671079237,0.42710548610039206,-42.60912376958034,0.2377646548111957,-3.746112087543937,-3.755073649161037
19,"(4, 'donovan', 19)","(4, 'donovan', 19)",-2.2336170234690993,-0.06533884155602829,0.07871777829301588,-23.71929603379963,0.12748298862902965,-2.8276472236068053,-2.827263847570052
20,"(4, 'donovan', 21)","(4, 'donovan', 21)",-2.311117833684897,-0.06534536533731472,0.5542492840115929,-30.873490164462968,0.17126556137710236,-3.0745547685383183,-3.0981764510851177
21,"(4, 'elcajon', 11)","(4, 'elcajon', 11)",-0.4837295687054944,-0.02687205929001433,-0.027659422759390626,-2.1395991831938197,0.007195468224292957,-0.858713250520918,-0.8589832555161707
22,"(4, 'elcajon', 12)","(4, 'elcajon', 12)",-0.5695869976843155,-0.031649835688256515,-0.02850444564142298,-2.8595572005915946,0.00961690351934108,-0.9892532421383708,-0.9894753807815811
23,"(4, 'elcajon', 13)","(4, 'elcajon', 13)",-0.5353807471264369,-0.030305269764513282,-0.021822377873563212,-2.7328601646910924,0.009305542806778087,-0.9823618846781479,-0.982568035323746
24,"(4, 'shafter', 15)","(4, 'shafter', 15)",-0.6659876409956111,-0.034014257643407375,0.002705525212535952,-3.8960790157235072,0.013778665457537255,-1.1466634693059092,-1.1466278743635356
25,"(4, 'shafter', 18)","(4, 'shafter', 18)",-0.6318142204915377,-0.031476437325614795,-0.003296193627126954,-3.241244546477068,0.011424786041556613,-1.0368196827637897,-1.0368198225231582
26,"(4, 'shafter', 20)","(4, 'shafter', 20)",-0.6023348959732299,-0.030364848138193432,-0.0009568806092913157,-3.1861193460434145,0.011419431285529136,-1.0502389932020575,-1.0501943117801351
