,Model,Testing Location,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE,NO2 MBE,NO2 MSE,NO2 R^2,NO2 crMSE,NO2 rMSE,O3 MBE,O3 MSE,O3 R^2,O3 crMSE,O3 rMSE
0,"(2, 'donovan', 15)","(2, 'donovan', 15)",-0.7351333150249757,-0.8695027891063215,-0.06886069768303293,-0.020197304319983282,0.00972147042267024,-6.124165497752684,0.045552339924958996,-1.425523415906243,-1.4255257003923643,0.03839866261598146,-6.463326761396782,0.02142602360849233,-1.4593850235879848,-1.4595609443338926
1,"(2, 'donovan', 18)","(2, 'donovan', 18)",-0.685129798390084,-0.8176829344500253,-0.06469477881022742,-0.01926966986867837,0.04768574401482929,-5.4545947202342,0.03945454930700243,-1.301414896045735,-1.301885049764904,0.0028886722060849817,-5.136822523427606,0.01843713058423402,-1.2274640914711439,-1.2274622230248402
2,"(2, 'donovan', 20)","(2, 'donovan', 20)",-0.7242893917624521,-0.8710656130268203,-0.06769553966257566,-0.020681251892940206,-0.009856202107279678,-6.004068456657089,0.044043346723773524,-1.3769710630477279,-1.3769013011946707,-0.01161494252873586,-5.6088983524904235,0.02023293812129301,-1.321383300077346,-1.3214141119676392
3,"(2, 'elcajon', 17)","(2, 'elcajon', 17)",-0.403933557193048,-0.6697411661197447,-0.035943835908202694,-0.01705807949770382,0.037227608491379134,-1.2678995966179967,0.018734602237150066,-0.6648771492548916,-0.6655403967500104,-0.039283290707182505,-3.225852340816707,0.007617497703603648,-1.0509006361522828,-1.0513569330477703
4,"(2, 'elcajon', 19)","(2, 'elcajon', 19)",-0.435461086174646,-0.7353568287922759,-0.0387423516633144,-0.018882850001901683,0.0173550784214967,-1.4906937991772344,0.021829288873247976,-0.7080185886699144,-0.7082143743769954,0.058228367425266755,-3.900038233777821,0.009168117993488156,-1.1358112614193432,-1.1362273187558525
5,"(2, 'elcajon', 21)","(2, 'elcajon', 21)",-0.4752061730697501,-0.7541603879149569,-0.04132856299564872,-0.019329154365664347,0.016460742260350606,-1.7298037946661688,0.025251473476772146,-0.8080321786945786,-0.8081912303486073,-0.012955613577023658,-4.098424128310332,0.009636918055689336,-1.1989579151052943,-1.1990276660102623
6,"(2, 'shafter', 11)","(2, 'shafter', 11)",-0.4182383718876922,-0.6381163164400491,-0.030527754495436772,-0.020293363467965512,0.05920951792336204,-1.5910445978315382,0.018543607632091286,-0.646855174999743,-0.6480962658378222,-0.043383948437223596,-3.242402780815821,0.005890581549616858,-0.9863977606534851,-0.9871457877301997
7,"(2, 'shafter', 12)","(2, 'shafter', 12)",-0.4619551995265472,-0.6757748478187351,-0.034460665855198046,-0.021529918884977493,-0.008377231991883591,-2.5246223146922553,0.02981659450039964,-0.9209117360206366,-0.9208886330560422,-0.019471296922556378,-3.946344697407845,0.007513299563894682,-1.161001582038319,-1.1611458681768432
8,"(2, 'shafter', 13)","(2, 'shafter', 13)",-0.44251507460389805,-0.6330496717720716,-0.032943531627575566,-0.019786944086703572,0.017227520932125432,-2.2446334767552587,0.02571054560368269,-0.8350824946603176,-0.8352499589150724,-0.012241161322408396,-3.0130739201475896,0.005564529583365396,-0.9444634370632423,-0.9445427187802813
9,"(3, 'donovan', 11)","(3, 'donovan', 11)",-0.710758233506466,-0.759976564437168,-0.05827839303446539,-0.02561500805307345,-0.010999547956269597,-8.045300129105787,0.06218533663187764,-1.6308079772361437,-1.6307941506315307,-0.020028706698250045,-4.048293673023714,0.019500893424077348,-1.2096303562330724,-1.209752474312645
10,"(3, 'donovan', 12)","(3, 'donovan', 12)",-0.7235656696370564,-0.7859275458520806,-0.059477940175700635,-0.02641257076756586,-0.017879167974562946,-11.95269763321773,0.09454481139836024,-2.2042637028425176,-2.2042498562776394,-0.03053373841596308,-4.44213330191431,0.02138228799038988,-1.232175827409238,-1.2324403340356753
11,"(3, 'donovan', 13)","(3, 'donovan', 13)",-0.783584401628714,-0.8287284703923995,-0.0649573600296294,-0.027851329356253847,-0.043538251489452326,-17.95187149112618,0.13169060982559533,-2.8562691813879377,-2.8563365417562148,0.013465701931771842,-5.265868678017503,0.025063220683809617,-1.389857765963049,-1.3898691681310533
12,"(3, 'elcajon', 15)","(3, 'elcajon', 15)",-0.48618194366986023,-0.6067350489362701,-0.03027003744082407,-0.027095584432873472,0.016845734252175962,-1.6894352964436,0.016297170949958417,-0.7456394014913613,-0.7458053797371553,-0.028887828079822386,-2.7724682023769436,0.009048084706347437,-0.9700816514695426,-0.9703346955587366
13,"(3, 'elcajon', 18)","(3, 'elcajon', 18)",-0.517403353149424,-0.6340296325534698,-0.03239011664152377,-0.02808375422456189,0.010766521347097968,-2.003899635704709,0.019448618757399894,-0.8317103742715959,-0.8317794589300017,0.015398868921890498,-3.0116545637962098,0.009771285056381251,-1.0202885557893557,-1.0202886060843461
14,"(3, 'elcajon', 20)","(3, 'elcajon', 20)",-0.48631571401107687,-0.5832765937876381,-0.03053992332545127,-0.02572249449020894,0.026798574651685583,-1.8605315645235552,0.018087277388800782,-0.8005929474020914,-0.8009517424573388,0.007300528283753267,-2.485822658171418,0.008069042038205687,-0.894424774408006,-0.8944067131724979
15,"(3, 'shafter', 17)","(3, 'shafter', 17)",-0.5277938352501298,-0.681688916000542,-0.03855795576202091,-0.030445402545841178,0.04304078238327109,-0.88398191545607,0.013172985177606567,-0.2560569088622864,-0.2568316455263968,-0.015275778073190888,-3.8213708081655504,0.010098545101202339,-1.1445085753391007,-1.1445963794467982
16,"(3, 'shafter', 19)","(3, 'shafter', 19)",-0.52484179521753,-0.6069197727825515,-0.03713791825796648,-0.026890675786033408,0.010136219660588114,-1.3647282286783828,0.018798533115326088,-0.37286657118382194,-0.3729885193403337,-0.015625740563567657,-3.5202461066879396,0.008677458020939444,-1.1099845976667573,-1.1100943729494073
