,Model,Testing Location,NO2 MAE,NO2 CvMAE,NO2 MBE,NO2 MSE,NO2 R^2,NO2 crMSE,NO2 rMSE
0,"(2, 'donovan', 15)","(2, 'donovan', 15)",0.7098399550224888,0.06682693280325575,0.0035461019490256158,2.060013496001999,0.984381903904544,1.4352703303430212,1.4352747109881088
1,"(2, 'donovan', 18)","(2, 'donovan', 18)",0.6938476920313718,0.06674732477106493,-0.003331976291684014,2.08496520792672,0.983930739640037,1.4439370158911748,1.443940860259422
2,"(2, 'donovan', 20)","(2, 'donovan', 20)",0.727505148467433,0.07006478208979319,-0.014873922413792987,2.2255631707375483,0.9828860884491576,1.4917580022140242,1.4918321523340181
3,"(2, 'elcajon', 17)","(2, 'elcajon', 17)",0.3893997761402854,0.034589008749254316,-0.004581755433261675,0.3841070618412462,0.99405772781862,0.6197467784171177,0.6197637145245325
4,"(2, 'elcajon', 19)","(2, 'elcajon', 19)",0.43207838014369704,0.038388579387186636,-0.010269478398805529,0.4876564184006719,0.9924453316110312,0.6982484917377827,0.6983240067480653
5,"(2, 'elcajon', 21)","(2, 'elcajon', 21)",0.4155275083923909,0.03700048989488019,-0.008996549794852544,0.4436549020887729,0.9931191335092406,0.6660134864854927,0.6660742466788315
6,"(2, 'shafter', 11)","(2, 'shafter', 11)",0.4535189652127847,0.033781384564643135,-0.002956577785625993,0.8161810381423272,0.9903330650049348,0.9034225460935348,0.9034273839896194
7,"(2, 'shafter', 12)","(2, 'shafter', 12)",0.43413942340209655,0.03229758491479822,-0.0066047598917820145,0.8286624941274938,0.9905427611446304,0.9102850494621264,0.9103090102418484
8,"(2, 'shafter', 13)","(2, 'shafter', 13)",0.4582276368432622,0.033790319767347615,-0.01278461200263778,0.8575958037863266,0.9900897866662502,0.9259764346257784,0.9260646866101344
9,"(3, 'donovan', 11)","(3, 'donovan', 11)",0.6621593700666127,0.055838484429818515,-0.007259520234107105,2.726740864579724,0.9775552474151996,1.6512686528683618,1.6512846104108534
10,"(3, 'donovan', 12)","(3, 'donovan', 12)",0.6642140931844437,0.055996234377536126,-0.008875317674239339,2.58939503457836,0.9787604928457684,1.6091352532694512,1.6091597293551565
11,"(3, 'donovan', 13)","(3, 'donovan', 13)",0.6789753049560693,0.0578320503365823,-0.01196046233899155,2.9388110366800317,0.9761011093285316,1.7142543521953406,1.714296076143217
12,"(3, 'elcajon', 15)","(3, 'elcajon', 15)",0.4876223922747563,0.030738265979271918,-0.008529379611915551,0.5771776421608821,0.9943274952513746,0.7596742011180305,0.7597220821859016
13,"(3, 'elcajon', 18)","(3, 'elcajon', 18)",0.5015686326661789,0.03144985580965485,-0.008852272979142836,0.6220416678413903,0.993972487173742,0.7886465019921747,0.7886961822155539
14,"(3, 'elcajon', 20)","(3, 'elcajon', 20)",0.4844919101023982,0.030368414179415514,-0.009155857972427585,0.5790823485970125,0.9943903201847296,0.7609195219350079,0.7609746044363191
15,"(3, 'shafter', 17)","(3, 'shafter', 17)",0.5382641596997099,0.039323807749046896,-0.012031475857362072,2.536122164306436,0.9701761718652387,1.5924752456145523,1.5925206950951802
16,"(3, 'shafter', 19)","(3, 'shafter', 19)",0.5360249373052662,0.03852222418528978,-0.0278992666616003,2.699305922437119,0.968824629936973,1.642719560167487,1.6429564578640297
17,"(3, 'shafter', 21)","(3, 'shafter', 21)",0.5375599624637433,0.03927236141693367,-0.013092117386111423,2.5059714084975298,0.9705307332393056,1.5829718901357277,1.5830260290019018
18,"(4, 'donovan', 17)","(4, 'donovan', 17)",1.7204193548387097,0.2258567853705486,-0.07409090909090899,6.714425131964811,0.8992801875499339,2.590161321067646,2.5912207802433223
19,"(4, 'donovan', 19)","(4, 'donovan', 19)",1.5087635829662265,0.19946961754999032,-0.022590308370043975,5.676424693098387,0.9161346476741667,2.3824177574611327,2.382524856764014
20,"(4, 'donovan', 21)","(4, 'donovan', 21)",1.6234604105571848,0.21312800769971127,-0.05765395894428142,6.326224211143696,0.9051033999872738,2.514537777040096,2.5151986424820802
21,"(4, 'elcajon', 11)","(4, 'elcajon', 11)",0.5092142543474442,0.026328063555204385,-0.013440057965922745,0.9431944759353597,0.9906717352031994,0.9710889973515467,0.9711819993880444
22,"(4, 'elcajon', 12)","(4, 'elcajon', 12)",0.5612901370103637,0.029020559173182938,-0.012969392236079043,1.044405563411207,0.9896707498831672,1.021879326670343,1.021961625214571
23,"(4, 'elcajon', 13)","(4, 'elcajon', 13)",0.5156243714080461,0.026652028610815857,-0.01779920977011463,0.9751630777658048,0.9903759912714416,0.9873430335488088,0.9875034570905586
24,"(4, 'shafter', 15)","(4, 'shafter', 15)",0.5940884252452617,0.04786162046474385,-0.024180862893955917,1.2026309975626184,0.9830736861390976,1.0963787135074825,1.0966453380936876
25,"(4, 'shafter', 18)","(4, 'shafter', 18)",0.5491798470816561,0.044495915051820906,-0.022131488934911927,1.0961706075427555,0.984319159760586,1.046747727363322,1.046981665332663
26,"(4, 'shafter', 20)","(4, 'shafter', 20)",0.524784381106219,0.042541604617847215,-0.02612053513274093,1.0708958156699582,0.9846751362113436,1.0345112533531655,1.0348409615346497
