,Model,Testing Location,O3 MAE,O3 CvMAE,O3 MBE,O3 MSE,O3 R^2,O3 crMSE,O3 rMSE
0,"(2, 'donovan', 15)","(2, 'donovan', 15)",0.9158352073963021,0.021330628089048998,0.005346451774113714,2.2033051286856584,0.9924291902678108,1.4843438092770438,1.4843534379269845
1,"(2, 'donovan', 18)","(2, 'donovan', 18)",0.8782629467760285,0.020614264535394347,0.0023805304436336533,2.1866286652697124,0.9924818151763022,1.4787234353808418,1.478725351534122
2,"(2, 'donovan', 20)","(2, 'donovan', 20)",0.8909525862068967,0.0208944248669746,0.0016858237547899778,2.136280494252873,0.9926622436169894,1.4616010578304677,1.4616020300522552
3,"(2, 'elcajon', 17)","(2, 'elcajon', 17)",0.6512168640984984,0.017074001975994603,0.004557037589777799,1.016989763268352,0.997606773187192,1.0084488071671052,1.0084591034188506
4,"(2, 'elcajon', 19)","(2, 'elcajon', 19)",0.7175090043855558,0.018795395466105792,0.01164206401045138,1.3181543693197724,0.9968965888357242,1.148050012702125,1.1481090406924652
5,"(2, 'elcajon', 21)","(2, 'elcajon', 21)",0.7004669899291309,0.018354072597196982,0.01096680343155611,1.2310961044386424,0.997100035456592,1.1094935032081694,1.1095477026422265
6,"(2, 'shafter', 11)","(2, 'shafter', 11)",0.6848639060568603,0.021705679057256486,0.018524898463711952,1.3196015746212255,0.9975164743042072,1.1485897451910907,1.1487391238315277
7,"(2, 'shafter', 12)","(2, 'shafter', 12)",0.6728498055461618,0.02127779445809914,0.009629379438620312,1.2516218827138992,0.997636962860596,1.1187176398741223,1.1187590816229824
8,"(2, 'shafter', 13)","(2, 'shafter', 13)",0.6690221763024843,0.021301347478882262,0.014087412618157819,1.2604989742079578,0.997631443327271,1.12263106985941,1.122719454809597
9,"(3, 'donovan', 11)","(3, 'donovan', 11)",0.6946684378730122,0.02322607115523134,0.004429633052251114,1.141296228100574,0.9945641142514996,1.0683054836757118,1.0683146671746924
10,"(3, 'donovan', 12)","(3, 'donovan', 12)",0.7683895648825568,0.025700716281543787,0.006372930304197678,1.4064763407778205,0.9932996815746004,1.185932429161611,1.1859495523747292
11,"(3, 'donovan', 13)","(3, 'donovan', 13)",0.7514131195086583,0.02525780111467537,0.0038894480934919618,1.438658922801331,0.9930714110019688,1.1994347814678623,1.1994410876743096
12,"(3, 'elcajon', 15)","(3, 'elcajon', 15)",0.5896327776259452,0.026144214505064833,0.00242333971030372,0.8900923059123623,0.9971378849626292,0.943443921670499,0.9434470339729529
13,"(3, 'elcajon', 18)","(3, 'elcajon', 18)",0.6123263958153247,0.027202889817106914,0.00632191856728096,0.9326525049981159,0.9969964971803412,0.9657186641790376,0.9657393566579524
14,"(3, 'elcajon', 20)","(3, 'elcajon', 20)",0.5780441508932133,0.02569282527335364,0.005918081475243045,0.8882036528214904,0.9971397491034448,0.9424269887546424,0.9424455702169172
15,"(3, 'shafter', 17)","(3, 'shafter', 17)",0.6712276881078315,0.029434383516301326,0.006847787067053462,1.203433420399249,0.9968967548088544,1.0969897575691092,1.0970111304810215
16,"(3, 'shafter', 19)","(3, 'shafter', 19)",0.5891401816247435,0.02575277290916391,0.013604183448590379,1.0619600367254345,0.997425423707066,1.0304246517422473,1.0305144524583023
17,"(3, 'shafter', 21)","(3, 'shafter', 21)",0.6400385019621224,0.02806668894285186,0.005721027128476486,1.1482310561194335,0.9970391029176798,1.0715401653545369,1.0715554377256613
18,"(4, 'donovan', 17)","(4, 'donovan', 17)",2.750140762463343,0.07398217103187125,0.05207624633431133,14.409642803519061,0.90510230103404,3.795646304397552,3.796003530493493
19,"(4, 'donovan', 19)","(4, 'donovan', 19)",2.0019853157121883,0.05363093505369576,0.05032011747430325,7.734584293685758,0.9485832427656864,2.780656789225008,2.781112060612761
20,"(4, 'donovan', 21)","(4, 'donovan', 21)",2.421700879765396,0.06514673398548437,-0.0007448680351899218,11.788495753665687,0.922364409961664,3.4334378105387757,3.4334378913365664
21,"(4, 'elcajon', 11)","(4, 'elcajon', 11)",0.4829011505357457,0.02719153786903751,0.002653038819603277,0.6657479719831372,0.9977754851049262,0.8159294904390691,0.8159338036771961
22,"(4, 'elcajon', 12)","(4, 'elcajon', 12)",0.5468573686984015,0.030792829616222005,0.0008774811171616895,0.9029728635165994,0.996982827332156,0.9502484378011302,0.9502488429440992
23,"(4, 'elcajon', 13)","(4, 'elcajon', 13)",0.5038121408045977,0.02840476311019755,0.008807650862069236,0.8088991593031609,0.9972429092276296,0.8993450864876357,0.8993882139005164
24,"(4, 'shafter', 15)","(4, 'shafter', 15)",0.6549503541928412,0.0331735781340409,0.010498200967681509,1.2670095835772146,0.9954252309274608,1.125566244764677,1.1256152022681707
25,"(4, 'shafter', 18)","(4, 'shafter', 18)",0.6230025139046279,0.03109528882349508,0.007946027900433705,1.0913153322350306,0.9960894586274696,1.044630170383584,1.0446603908615617
26,"(4, 'shafter', 20)","(4, 'shafter', 20)",0.5835529635515723,0.029084766816233763,0.01409469296303036,0.9837105096151942,0.9964853789420596,0.991721659159198,0.9918218134398912
