,Model,Testing Location,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE
0,"(2, 'donovan', 15)","(3, 'elcajon')",-6.289788799546269,-13.020994668828036,-0.3488909381296368,-0.6173715770968251
1,"(2, 'donovan', 15)","(4, 'shafter')",-8.659223361869136,-14.977604853002855,-0.673717787419652,-0.811097895163318
2,"(2, 'donovan', 18)","(3, 'elcajon')",-6.171303537947338,-16.205373090405153,-0.341593210008719,-0.7541940235260154
3,"(2, 'donovan', 18)","(4, 'shafter')",-6.931726792166852,-17.095365361870748,-0.5393021392017627,-0.8971491389168378
4,"(2, 'donovan', 20)","(3, 'elcajon')",-7.041867871117633,-13.420988892964866,-0.3951308957791958,-0.6306237721807482
5,"(2, 'donovan', 20)","(4, 'shafter')",-8.553029136302003,-15.742680008352776,-0.668287055616814,-0.8359504400446457
6,"(2, 'elcajon', 17)","(3, 'shafter')",-4.5855123637935336,-9.304640004313935,-0.32242325203770433,-0.43615450910993336
7,"(2, 'elcajon', 17)","(4, 'donovan')",-7.426631578947369,-13.67798933820281,-0.953967155342543,-0.3794151613511968
8,"(2, 'elcajon', 19)","(3, 'shafter')",-4.163452326994727,-8.564270033083567,-0.2816752639630098,-0.4032165241505222
9,"(2, 'elcajon', 19)","(4, 'donovan')",-5.308156440114405,-11.961449956295851,-0.6702462805560098,-0.3391036204978269
10,"(2, 'elcajon', 21)","(3, 'shafter')",-4.285010807720962,-8.916135742336081,-0.2997893142244207,-0.4213244273535795
11,"(2, 'elcajon', 21)","(4, 'donovan')",-4.754073336081718,-13.616647475957084,-0.6252146788878966,-0.3778582112828659
12,"(2, 'shafter', 11)","(3, 'donovan')",-4.737525305745664,-7.841079179936482,-0.4019342963436786,-0.26569290322995237
13,"(2, 'shafter', 11)","(4, 'elcajon')",-6.21260757025001,-6.692444560149969,-0.30224618616995536,-0.406303176597149
14,"(2, 'shafter', 12)","(3, 'donovan')",-5.4390433718349485,-9.973380490636334,-0.4603749804704325,-0.33679751648158907
15,"(2, 'shafter', 12)","(4, 'elcajon')",-6.972193705867351,-7.181637926770344,-0.34035841036825193,-0.43428935238577593
16,"(2, 'shafter', 13)","(3, 'donovan')",-5.796806827959185,-9.89124336857505,-0.49555988276144347,-0.3351230821762473
17,"(2, 'shafter', 13)","(4, 'elcajon')",-7.008429522748241,-9.2106088272128,-0.341373674888919,-0.5528340064172869
18,"(3, 'donovan', 11)","(2, 'shafter')",-3.8914270900522085,-11.03551710258122,-0.27423141690002506,-0.3476688915909571
