,Model,Testing Location,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE,NO2 MBE,NO2 MSE,NO2 R^2,NO2 crMSE,NO2 rMSE,O3 MBE,O3 MSE,O3 R^2,O3 crMSE,O3 rMSE
0,"(2, 'donovan', 15)","(3, 'elcajon')",1.4449732700474645,1.7853379965026233,0.13568763048628868,0.04152793240903228,-0.006175368473644619,8.184178993754683,0.938829563979585,2.8607937462492643,2.860800411380473,-0.03305221084186776,8.666631890082439,0.9710031666593184,2.9437288328650286,2.9439143822608766
1,"(2, 'donovan', 15)","(4, 'shafter')",1.4449732700474645,1.7853379965026233,0.13568763048628868,0.04152793240903228,-0.006175368473644619,8.184178993754683,0.938829563979585,2.8607937462492643,2.860800411380473,-0.03305221084186776,8.666631890082439,0.9710031666593184,2.9437288328650286,2.9439143822608766
2,"(2, 'donovan', 18)","(3, 'elcajon')",1.3789774904214558,1.6959458812260537,0.13144210358129235,0.039883934404072716,-0.05101772030651331,7.539559928160919,0.9444761903330345,2.74535191193691,2.745825910024326,-0.0005081417624513449,7.323451188697319,0.9740446845920682,2.706187526851986,2.706187574558962
3,"(2, 'donovan', 18)","(4, 'shafter')",1.3789774904214558,1.6959458812260537,0.13144210358129235,0.039883934404072716,-0.05101772030651331,7.539559928160919,0.9444761903330345,2.74535191193691,2.745825910024326,-0.0005081417624513449,7.323451188697319,0.9740446845920682,2.706187526851986,2.706187574558962
4,"(2, 'donovan', 20)","(3, 'elcajon')",1.451794540229885,1.762018199233717,0.13776032175236885,0.04157567675991481,-0.005017720306513316,8.229631627394637,0.9388427417253841,2.868729065261752,2.8687334535286886,0.013300766283525866,7.745178846743297,0.9724293054956964,2.7829843579078135,2.7830161420198944
5,"(2, 'donovan', 20)","(4, 'shafter')",1.451794540229885,1.762018199233717,0.13776032175236885,0.04157567675991481,-0.005017720306513316,8.229631627394637,0.9388427417253841,2.868729065261752,2.8687334535286886,0.013300766283525866,7.745178846743297,0.9724293054956964,2.7829843579078135,2.7830161420198944
6,"(2, 'elcajon', 17)","(3, 'shafter')",0.7933333333333334,1.320958030218243,0.07053284465745702,0.03413208147369842,-0.041809363924640804,1.652006658459243,0.9753231255814698,1.2846239276720093,1.2853041112745431,0.04384032829696031,4.24284210408506,0.9899892754835883,2.059349443319388,2.059816036466621
7,"(2, 'elcajon', 17)","(4, 'donovan')",0.7933333333333334,1.320958030218243,0.07053284465745702,0.03413208147369842,-0.041809363924640804,1.652006658459243,0.9753231255814698,1.2846239276720093,1.2853041112745431,0.04384032829696031,4.24284210408506,0.9899892754835883,2.059349443319388,2.059816036466621
8,"(2, 'elcajon', 19)","(3, 'shafter')",0.867539466318343,1.452865833177832,0.07713093105050103,0.03767824546800748,-0.027624556820302213,1.9783502175779064,0.9706160427377833,1.406267080407697,1.4065383811250607,-0.04658630341481538,5.218192603097593,0.9877284708422358,2.2838612741214686,2.2843363594483175
9,"(2, 'elcajon', 19)","(4, 'donovan')",0.867539466318343,1.452865833177832,0.07713093105050103,0.03767824546800748,-0.027624556820302213,1.9783502175779064,0.9706160427377833,1.406267080407697,1.4065383811250607,-0.04658630341481538,5.218192603097593,0.9877284708422358,2.2838612741214686,2.2843363594483175
