,Model,NO2 MAE,NO2 CvMAE,NO2 MBE,NO2 MSE,NO2 R^2,NO2 crMSE,NO2 rMSE
0,"(11, {(3, 'donovan'), (2, 'shafter')})",-3.0339724029455173,-0.12027407354173925,-1.0781877690444046,-24.059527898739802,0.24635376915163146,-2.6888290226898652,-2.7871170505801097
1,"(11, {(3, 'donovan'), (4, 'elcajon')})",-4.274328106372053,-0.3265814243281277,0.6793713358399308,-42.18244719758242,0.5258321120281219,-4.223043643037389,-4.256643047205049
2,"(11, {(2, 'shafter'), (4, 'elcajon')})",-3.404740563461756,-0.3103221540661375,-0.4676903435425382,-53.32158261160296,0.4119224472318347,-5.577858560726776,-5.588925384543966
3,"(12, {(3, 'donovan'), (2, 'shafter')})",-4.116337280891652,-0.17513881698421022,2.093738805052452,-38.719893295033984,0.3924275204439326,-3.3850085517296677,-3.700418888928456
4,"(12, {(3, 'donovan'), (4, 'elcajon')})",-5.1306055414329785,-0.3951432486596391,-1.6983865410230894,-59.542690883833245,0.7362905947569509,-5.000791945374671,-5.174476372912105
5,"(12, {(2, 'shafter'), (4, 'elcajon')})",-2.9035617002301324,-0.27211051384756035,0.06300372913192219,-41.704868029375895,0.3244670820406673,-4.663206067173324,-4.663585097885711
6,"(13, {(3, 'donovan'), (2, 'shafter')})",-4.490386665448856,-0.19227292867683315,0.5504364786573439,-41.068355753873924,0.4154230424502675,-3.548787231416805,-3.5699944680323186
7,"(13, {(3, 'donovan'), (4, 'elcajon')})",-4.852836016187707,-0.3724308560415964,0.41140991712461145,-45.18343063470394,0.5721172071162526,-3.983612358581968,-3.994839460525736
8,"(13, {(2, 'shafter'), (4, 'elcajon')})",-3.8436881356154595,-0.3521949207206264,-0.9633151415667812,-67.47057762320152,0.4928276998657735,-6.25035351082505,-6.301588072483993
9,"(15, {(2, 'donovan'), (3, 'elcajon')})",-4.832658645257887,-0.4007552321920708,-2.5301160940755736,-53.401410162202,0.7865885543748125,-4.9907258213066505,-5.415545271664065
10,"(15, {(2, 'donovan'), (4, 'shafter')})",-5.445084131150832,-0.3095831238021659,1.1906964778420672,-73.11457498452408,0.6880046518100309,-6.035236232514889,-6.1433655224443635
11,"(15, {(4, 'shafter'), (3, 'elcajon')})",-4.512946713905883,-0.447714063807589,-0.60253539017485,-82.55796302089736,0.5994370648612569,-7.256470434135855,-7.274349487765647
12,"(17, {(2, 'elcajon'), (4, 'donovan')})",-3.580010893778512,-0.24628779879551915,0.13253467488611828,-34.59714445492199,0.4287722261243631,-4.463195957678439,-4.4650433495908795
13,"(17, {(3, 'shafter'), (2, 'elcajon')})",-5.7453792658589276,-0.7656206536196306,3.735058359382351,-100.31661485948014,1.4881095090336658,-7.578455971088871,-8.3128122070855
14,"(17, {(3, 'shafter'), (4, 'donovan')})",-6.6066474771422365,-0.6047356008578164,4.6261683644987315,-164.5827607515684,2.4703841625719543,-9.913610096038369,-10.792716448780821
15,"(18, {(2, 'donovan'), (3, 'elcajon')})",-4.0705523595462365,-0.34274777835542536,2.3851950609565487,-37.730971199131524,0.5575401935641189,-3.857591015558127,-4.317935174682754
16,"(18, {(2, 'donovan'), (4, 'shafter')})",-3.472619977626344,-0.19061351028706325,-2.2194065436457002,-35.568643627331426,0.3284009774022286,-3.4364586118468976,-3.8557303426589096
17,"(18, {(4, 'shafter'), (3, 'elcajon')})",-4.971449645033754,-0.4994461680507423,-0.7309492036739063,-96.53809778135576,0.6929023781628272,-7.9595505936445425,-7.983226318875995
18,"(19, {(2, 'elcajon'), (4, 'donovan')})",-3.634973754376515,-0.24156316350963744,-0.015986778115501525,-36.34758513974453,0.4401693819771448,-4.608786202507492,-4.608077882597719
19,"(19, {(3, 'shafter'), (2, 'elcajon')})",-4.336045709527342,-0.5736571173718066,2.9425259048317365,-38.32984222069817,0.614793360081453,-3.7588766449507673,-4.482554013560166
20,"(19, {(3, 'shafter'), (4, 'donovan')})",-3.839130892109329,-0.3603223556831726,1.9917027583848443,-37.357613803804114,0.5659619355833859,-4.051614041388101,-4.381785585008313
21,"(20, {(2, 'donovan'), (3, 'elcajon')})",-3.276001877885196,-0.2777776086000785,0.5595443820082904,-28.38705347967591,0.42604458925205996,-3.5102527346896277,-3.540684269062409
22,"(20, {(2, 'donovan'), (4, 'shafter')})",-3.4771525595832093,-0.19192042419207214,-2.1195005767783313,-32.937460266015385,0.3036718732975249,-3.288288218463467,-3.6740902523033534
23,"(20, {(4, 'shafter'), (3, 'elcajon')})",-4.921889109064637,-0.4907708412548736,-0.3975283609021382,-89.24875703628834,0.6461935787504467,-7.641135895184625,-7.647450135309431
24,"(21, {(2, 'elcajon'), (4, 'donovan')})",-3.7670380675563937,-0.2598509224434133,0.6694008379816089,-37.890733817169625,0.4699341810769455,-4.622358461740358,-4.662157222020894
25,"(21, {(3, 'shafter'), (2, 'elcajon')})",-5.242779938671728,-0.7053276248699115,4.016811755627724,-68.43534601511496,1.0168981752531805,-5.6062253213551525,-6.649105925147908
26,"(21, {(3, 'shafter'), (4, 'donovan')})",-3.55019806820014,-0.32814837372225897,0.601634883999112,-36.91084041790701,0.5538641858482601,-4.425925173780441,-4.460757206122068
