,Model,O3 MAE,O3 CvMAE,O3 MBE,O3 MSE,O3 R^2,O3 crMSE,O3 rMSE
0,"(11, {(3, 'donovan'), (2, 'shafter')})",-4.718919456427548,-0.2986887471035489,2.02995210362602,-49.835114094901,0.1681304971172276,-4.812379844600708,-5.0839665919225965
1,"(11, {(3, 'donovan'), (4, 'elcajon')})",-7.77653872560512,-0.23451164053659795,-0.6422465982746991,-127.47114920273908,0.226520611975631,-9.351933004843898,-9.371761415521027
2,"(11, {(2, 'shafter'), (4, 'elcajon')})",-6.266349705817183,-0.19707660435254765,-3.4690642467317625,-82.46090718836537,0.4061701150621786,-6.592820593323441,-7.2813073157723975
3,"(12, {(3, 'donovan'), (2, 'shafter')})",-4.895119033861596,-0.31154777422846897,1.7385271586098137,-57.67973343273431,0.1944394323779638,-5.265499762509325,-5.450470356380017
4,"(12, {(3, 'donovan'), (4, 'elcajon')})",-9.528038638030651,-0.2885469872460595,0.4608874221616112,-182.66675537719448,0.337773200513154,-11.312193675248716,-11.318457013116523
5,"(12, {(2, 'shafter'), (4, 'elcajon')})",-8.007464937032804,-0.2539906456357909,-5.0615959399839365,-142.01751060615243,0.6938354409765212,-8.781637931382459,-9.897440857268752
6,"(13, {(3, 'donovan'), (2, 'shafter')})",-7.851680987028778,-0.4803442007938357,4.387476052140706,-121.46910459603157,0.4153659662823828,-7.895851090763779,-8.779580625956026
7,"(13, {(3, 'donovan'), (4, 'elcajon')})",-9.374633000561056,-0.28153857977636754,-2.8160334045768454,-186.6128545681204,0.33707660137106144,-11.183555355710624,-11.475788056801687
8,"(13, {(2, 'shafter'), (4, 'elcajon')})",-7.87924188549887,-0.2508136462707638,-4.723748677320754,-125.0073412750965,0.6085627329168164,-8.115926120227282,-9.157933886578553
9,"(15, {(2, 'donovan'), (3, 'elcajon')})",-8.283628230166121,-0.4429108873497474,-5.904133248478455,-165.45541671705058,0.5935857965164959,-9.295286907188826,-10.716974923620036
10,"(15, {(2, 'donovan'), (4, 'shafter')})",-8.862088436135327,-0.3983234076418494,7.180283975393897,-169.76910081365244,0.5557390776786172,-8.495811970133492,-10.59982446630848
11,"(15, {(4, 'shafter'), (3, 'elcajon')})",-6.2849681289247,-0.11370149309297653,-1.4579043346234055,-104.63888452335823,0.3497672577994277,-8.158343893094486,-8.263378680710838
12,"(17, {(2, 'elcajon'), (4, 'donovan')})",-8.592465596343741,-0.4081914459853945,2.8560746837703594,-145.17425403232065,0.3828682129441262,-9.461301167788873,-9.774361126439212
13,"(17, {(3, 'shafter'), (2, 'elcajon')})",-10.096165182559343,-0.26494061678190084,-9.500815797771967,-181.7811311615777,1.0789550717664933,-7.5404123902592834,-11.404277326239194
14,"(17, {(3, 'shafter'), (4, 'donovan')})",-7.38888218170487,-0.16536712226120465,-1.4673338312831399,-118.98652680152149,0.2791822742658375,-8.663254744538897,-8.766031474984091
15,"(18, {(2, 'donovan'), (3, 'elcajon')})",-6.579788039231009,-0.3484055433980434,-5.445069815465431,-116.33859228311556,0.4166510448252382,-7.282948444539678,-8.718898251516912
16,"(18, {(2, 'donovan'), (4, 'shafter')})",-5.7277263203643525,-0.2586907508065808,5.089544866463641,-82.42701553060527,0.2700735625385964,-5.462653575836186,-6.788706899033289
17,"(18, {(4, 'shafter'), (3, 'elcajon')})",-7.27337425832762,-0.1370951018872863,-0.2672784122926729,-134.85548974247743,0.4786646136291275,-9.5570811369648,-9.560220153967947
18,"(19, {(2, 'elcajon'), (4, 'donovan')})",-7.760613516217151,-0.3710895243926991,6.282546258320188,-119.17998368903082,0.293092825047237,-6.672627453929826,-8.583863200838831
19,"(19, {(3, 'shafter'), (2, 'elcajon')})",-8.043707880858255,-0.2142601370286327,-7.997120390911943,-120.51159529966043,0.7048206341394259,-5.513170929496035,-8.882239797887685
20,"(19, {(3, 'shafter'), (4, 'donovan')})",-7.500539036754459,-0.17214579391834284,-2.4690054272158597,-113.38203540213331,0.26606984543916923,-8.308194940568221,-8.607513147958343
21,"(20, {(2, 'donovan'), (3, 'elcajon')})",-5.126900524297564,-0.277174940694614,-1.1557276373890255,-65.1454911239758,0.2381957867409459,-6.025164422990708,-6.107467264661198
22,"(20, {(2, 'donovan'), (4, 'shafter')})",-4.175921893818545,-0.18868784283392265,0.8141482404136344,-51.23437156351292,0.1685847475826745,-5.03641766712853,-5.0607314584710235
23,"(20, {(4, 'shafter'), (3, 'elcajon')})",-6.8116599177789245,-0.13079072818226445,-1.232303161774544,-118.0562022748436,0.4208124371183704,-8.923602649763337,-8.993237317848012
24,"(21, {(2, 'elcajon'), (4, 'donovan')})",-9.894902738720514,-0.4676076212368981,1.3585527785249942,-194.34474599713158,0.5123394387361376,-11.421748189744495,-11.47181333579957
25,"(21, {(3, 'shafter'), (2, 'elcajon')})",-9.613331567640062,-0.2516031292844723,-9.381155954087069,-165.10425949927534,0.982207102832507,-6.749994366707461,-10.752038817128005
26,"(21, {(3, 'shafter'), (4, 'donovan')})",-6.415412148002182,-0.14210880185473646,-1.2475916531163245,-88.5308984477709,0.2068093661484788,-7.311071418766894,-7.397445974185839
