,Model,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE,NO2 MBE,NO2 MSE,NO2 R^2,NO2 crMSE,NO2 rMSE,O3 MBE,O3 MSE,O3 R^2,O3 crMSE,O3 rMSE
0,"(11, {(3, 'donovan'), (2, 'shafter')})",-3.0339724029455173,-4.718919456427548,-0.12027407354173925,-0.2986887471035489,-1.0781877690444046,-24.059527898739802,0.24635376915163143,-2.688829022689865,-2.7871170505801097,2.02995210362602,-49.835114094901,0.1681304971172276,-4.812379844600708,-5.083966591922597
1,"(11, {(3, 'donovan'), (4, 'elcajon')})",-4.274328106372053,-7.77653872560512,-0.3265814243281277,-0.23451164053659795,0.6793713358399308,-42.18244719758242,0.5258321120281219,-4.223043643037389,-4.256643047205049,-0.6422465982746991,-127.4711492027391,0.226520611975631,-9.351933004843898,-9.371761415521027
2,"(11, {(2, 'shafter'), (4, 'elcajon')})",-3.4047405634617562,-6.266349705817184,-0.3103221540661375,-0.19707660435254765,-0.4676903435425382,-53.321582611602956,0.4119224472318347,-5.577858560726776,-5.588925384543966,-3.4690642467317625,-82.46090718836538,0.4061701150621786,-6.59282059332344,-7.281307315772397
3,"(12, {(3, 'donovan'), (2, 'shafter')})",-4.116337280891651,-4.895119033861597,-0.17513881698421022,-0.31154777422846897,2.093738805052452,-38.719893295033984,0.3924275204439326,-3.385008551729668,-3.700418888928456,1.7385271586098137,-57.67973343273431,0.1944394323779638,-5.265499762509325,-5.450470356380017
4,"(12, {(3, 'donovan'), (4, 'elcajon')})",-5.1306055414329785,-9.52803863803065,-0.3951432486596391,-0.2885469872460595,-1.6983865410230894,-59.542690883833245,0.7362905947569509,-5.000791945374672,-5.174476372912105,0.4608874221616112,-182.66675537719448,0.33777320051315396,-11.312193675248718,-11.318457013116525
5,"(12, {(2, 'shafter'), (4, 'elcajon')})",-2.9035617002301324,-8.007464937032804,-0.27211051384756035,-0.25399064563579093,0.06300372913192219,-41.70486802937589,0.3244670820406673,-4.6632060671733235,-4.663585097885711,-5.061595939983937,-142.01751060615243,0.6938354409765212,-8.78163793138246,-9.897440857268752
6,"(13, {(3, 'donovan'), (2, 'shafter')})",-4.490386665448856,-7.851680987028778,-0.19227292867683313,-0.48034420079383566,0.5504364786573439,-41.06835575387392,0.4154230424502675,-3.548787231416805,-3.5699944680323186,4.387476052140706,-121.46910459603157,0.41536596628238276,-7.895851090763779,-8.779580625956026
7,"(13, {(3, 'donovan'), (4, 'elcajon')})",-4.852836016187707,-9.374633000561056,-0.37243085604159637,-0.28153857977636754,0.41140991712461145,-45.183430634703946,0.5721172071162526,-3.9836123585819676,-3.9948394605257356,-2.8160334045768454,-186.61285456812044,0.33707660137106144,-11.183555355710624,-11.475788056801683
8,"(13, {(2, 'shafter'), (4, 'elcajon')})",-3.84368813561546,-7.879241885498871,-0.35219492072062636,-0.2508136462707638,-0.9633151415667811,-67.47057762320152,0.49282769986577346,-6.25035351082505,-6.301588072483993,-4.723748677320754,-125.00734127509648,0.6085627329168164,-8.115926120227282,-9.157933886578551
9,"(15, {(2, 'donovan'), (3, 'elcajon')})",-4.832658645257886,-8.283628230166121,-0.40075523219207076,-0.44291088734974743,-2.530116094075573,-53.40141016220199,0.7865885543748125,-4.9907258213066505,-5.415545271664065,-5.904133248478456,-165.4554167170506,0.5935857965164959,-9.295286907188826,-10.716974923620036
10,"(15, {(2, 'donovan'), (4, 'shafter')})",-5.445084131150832,-8.862088436135327,-0.3095831238021659,-0.3983234076418494,1.190696477842067,-73.11457498452408,0.6880046518100309,-6.03523623251489,-6.143365522444364,7.180283975393897,-169.76910081365244,0.5557390776786172,-8.495811970133492,-10.59982446630848
11,"(15, {(4, 'shafter'), (3, 'elcajon')})",-4.512946713905883,-6.2849681289246995,-0.447714063807589,-0.11370149309297653,-0.60253539017485,-82.55796302089736,0.5994370648612569,-7.2564704341358555,-7.274349487765647,-1.4579043346234057,-104.63888452335824,0.34976725779942774,-8.158343893094486,-8.263378680710838
12,"(17, {(2, 'elcajon'), (4, 'donovan')})",-3.5800108937785113,-8.592465596343741,-0.24628779879551913,-0.40819144598539453,0.13253467488611828,-34.59714445492199,0.42877222612436305,-4.463195957678438,-4.46504334959088,2.8560746837703594,-145.17425403232062,0.3828682129441262,-9.461301167788873,-9.774361126439214
13,"(17, {(3, 'shafter'), (2, 'elcajon')})",-5.745379265858928,-10.096165182559343,-0.7656206536196306,-0.26494061678190084,3.735058359382351,-100.31661485948011,1.4881095090336658,-7.5784559710888715,-8.3128122070855,-9.500815797771969,-181.78113116157766,1.0789550717664933,-7.540412390259284,-11.404277326239196
