,Model,NO2 MAE,NO2 CvMAE,NO2 MBE,NO2 MSE,NO2 R^2,NO2 crMSE,NO2 rMSE
0,"(11, {(3, 'donovan'), (2, 'shafter')})",1.2972042897742506,0.103827296445765,-0.02284699447691549,8.541852768916295,0.9257462306209859,2.9225555227847537,2.9226448242843834
1,"(11, {(3, 'donovan'), (4, 'elcajon')})",1.2517142739917122,0.08107218839936542,-0.009903253600295168,7.989523258359661,0.9378612587419952,2.8265571255376725,2.8265744742284187
2,"(11, {(2, 'shafter'), (4, 'elcajon')})",1.0637946744868034,0.061102385080772176,-0.04801461583577684,3.9038910280304986,0.9623329086821976,1.9752431811543212,1.9758266695311355
3,"(12, {(3, 'donovan'), (2, 'shafter')})",1.326540052910053,0.1064835581151877,0.0037534708994710494,11.435328506385186,0.8991925139227299,3.3816141734150262,3.3816162565236736
4,"(12, {(3, 'donovan'), (4, 'elcajon')})",1.3314793418947195,0.08627631585943606,-0.005101792967627852,10.025208524350717,0.921508002749928,3.1662568588254545,3.166260969084942
5,"(12, {(2, 'shafter'), (4, 'elcajon')})",1.1996498352696376,0.06930890857998688,-0.01185595052309089,4.577626063878388,0.9559653015941016,2.1395059009770416,2.139538750263334
6,"(13, {(3, 'donovan'), (2, 'shafter')})",1.3663719372810292,0.1099315491909901,-0.014935557980586791,15.736154648047789,0.8682194180260915,3.96685411594069,3.96688223269204
7,"(13, {(3, 'donovan'), (4, 'elcajon')})",1.31899728783902,0.08482536297730002,-0.0029892388451440936,13.379538162904634,0.8996790326445672,3.65780388038448,3.6578051018205766
8,"(13, {(2, 'shafter'), (4, 'elcajon')})",1.1149720145039528,0.06411010484401569,-0.02943916067288798,4.8517297482280215,0.9541860511911426,2.202467498976296,2.202664238650099
9,"(15, {(2, 'donovan'), (3, 'elcajon')})",1.2019275081770242,0.08265051547338174,-0.018092250183565615,4.939990870035378,0.9577341488866492,2.2225353856617613,2.222609023205696
10,"(15, {(2, 'donovan'), (4, 'shafter')})",1.610726307909107,0.13245950042099355,-0.2968660472080322,8.288704905120662,0.8989843345265562,2.8636646897176594,2.879011098471255
11,"(15, {(4, 'shafter'), (3, 'elcajon')})",1.1246517872182733,0.08167454019438143,-0.023581005963008973,4.151078095285517,0.9513537499635148,2.0372830022957755,2.0374194696442647
12,"(17, {(2, 'elcajon'), (4, 'donovan')})",0.9163127259580622,0.08219490522287623,-0.07192516268980463,2.6951822017353577,0.9599411116772616,1.6401246820615203,1.6417010086295734
13,"(17, {(3, 'shafter'), (2, 'elcajon')})",1.0339388627960426,0.07932351547657927,-0.06617088038373127,3.524816133970221,0.954422498949183,1.8762829073888252,1.8774493692161769
14,"(17, {(3, 'shafter'), (4, 'donovan')})",1.1198700755531572,0.0822054860590479,-0.08091945493793834,4.965571184943335,0.9377533928081428,2.2268864422677423,2.228356162049356
15,"(18, {(2, 'donovan'), (3, 'elcajon')})",1.2191348343685298,0.08417479171785305,-0.023095238095237853,4.884680191511388,0.9585391093516692,2.2100105885467407,2.210131261149751
16,"(18, {(2, 'donovan'), (4, 'shafter')})",1.3256746854942232,0.11000613713245644,0.08849262302096719,7.206937766317501,0.9134045193014904,2.683115133941958,2.684574038151584
17,"(18, {(4, 'shafter'), (3, 'elcajon')})",1.1422315810198858,0.08330092286249867,-0.03708186650915514,4.2217728094296785,0.9508734096212246,2.0543606656587534,2.054695308173374
18,"(19, {(2, 'elcajon'), (4, 'donovan')})",0.9648625678119351,0.08649337807388678,-0.05151428571428562,2.689140169981917,0.960149416964604,1.6390504715686045,1.6398598019287858
19,"(19, {(3, 'shafter'), (2, 'elcajon')})",1.0781051676656406,0.08155859388084734,-0.04303549867703438,4.137846654389547,0.9475261139495256,2.0337144834620138,2.0341697702968515
20,"(19, {(3, 'shafter'), (4, 'donovan')})",1.1036131272972771,0.07912560370364795,-0.04775781261720802,4.2929236561548265,0.947336577040874,2.071386696753855,2.0719371747605737
21,"(20, {(2, 'donovan'), (3, 'elcajon')})",1.2033870341614907,0.08310828019785613,-0.03546312111801217,5.010227866718427,0.9572662435991384,2.2380728839246937,2.2383538296521457
22,"(20, {(2, 'donovan'), (4, 'shafter')})",1.3078840893529615,0.10829212044333582,0.05636486648408093,6.997885108498801,0.9157637025906404,2.6447510488371173,2.645351603945835
23,"(20, {(4, 'shafter'), (3, 'elcajon')})",1.0792740614334473,0.07867762155955074,-0.03836222105539487,4.04601956130743,0.9528876075501204,2.0111061387463187,2.011471988695699
24,"(21, {(2, 'elcajon'), (4, 'donovan')})",0.9785718416772096,0.0868436011355799,-0.049119465028013634,3.0017974588830656,0.9558420680472468,1.731873187343238,1.7325696115547755
25,"(21, {(3, 'shafter'), (2, 'elcajon')})",1.0785791256557582,0.08253855588810602,-0.05669935548338735,3.3184220906160378,0.9571302096584552,1.8207710657037053,1.8216536692291536
26,"(21, {(3, 'shafter'), (4, 'donovan')})",1.0977734349703183,0.0805834540760189,-0.0788239746357257,3.636288870164598,0.9544167958716232,1.9052757415101955,1.9069055745276424
