,Model,O3 MAE,O3 CvMAE,O3 MBE,O3 MSE,O3 R^2,O3 crMSE,O3 rMSE
0,"(11, {(3, 'donovan'), (2, 'shafter')})",1.5158017695318784,0.05001883072290958,0.03664698375248027,5.565922006692048,0.9821011766784484,2.358935990075588,2.3592206354412992
1,"(11, {(3, 'donovan'), (4, 'elcajon')})",1.2957671193533828,0.053495808482635146,0.03823936322980393,4.47292855110163,0.984321400528035,2.114584191324953,2.114929916356953
2,"(11, {(2, 'shafter'), (4, 'elcajon')})",1.2045305806451614,0.053765254140335665,0.044424140762463364,4.087890908954838,0.9902898033370984,2.021365232874148,2.0218533351741512
3,"(12, {(3, 'donovan'), (2, 'shafter')})",1.6431983280423283,0.054139916960858785,0.02579564021164054,6.584493685583068,0.9786486937820084,2.5658971667876993,2.5660268286951067
4,"(12, {(3, 'donovan'), (4, 'elcajon')})",1.4613445205760471,0.06027532064896405,0.03696114552989009,5.809020606572847,0.979661966949276,2.4099075667531245,2.4101909896464315
5,"(12, {(2, 'shafter'), (4, 'elcajon')})",1.335744165077163,0.05926932849392717,0.018846182301601143,4.9538994453153,0.988139469626116,2.2256559183144087,2.225735708774809
6,"(13, {(3, 'donovan'), (2, 'shafter')})",1.5584840273390386,0.05129059363775655,0.00516297742806314,6.390354682646603,0.9798982605978014,2.5279098137217395,2.5279150861226736
7,"(13, {(3, 'donovan'), (4, 'elcajon')})",1.3848883639545058,0.05798980460972316,0.01624899387576599,5.725619389326336,0.9800363116675034,2.3927714808406506,2.3928266525860864
8,"(13, {(2, 'shafter'), (4, 'elcajon')})",1.276717957558105,0.056921476327932936,0.03940178327290034,5.045043105469894,0.9879953525596176,2.245771717015068,2.246117340093765
9,"(15, {(2, 'donovan'), (3, 'elcajon')})",1.42962565916828,0.051141452395506985,0.026066484213337425,5.573508020292372,0.985622537210554,2.360683917574127,2.360827825211397
10,"(15, {(2, 'donovan'), (4, 'shafter')})",1.6208059890787387,0.06817793006944818,-0.0011938347718857911,7.334330085524044,0.9798203365320872,2.7081965697272747,2.7081968328620505
11,"(15, {(4, 'shafter'), (3, 'elcajon')})",1.2970846814675068,0.06266117730808335,0.02168192568136655,4.839092476282048,0.9834756356565442,2.1996868800765244,2.1997937349401755
12,"(17, {(2, 'elcajon'), (4, 'donovan')})",1.5182328271872745,0.03930580307001123,0.09018510484454167,6.44701788141721,0.9845099596443814,2.537495719854792,2.539097847940723
13,"(17, {(3, 'shafter'), (2, 'elcajon')})",1.4000582092535228,0.052030392569921126,0.02423800339762188,5.142588651989606,0.9883933436336444,2.2675981061865667,2.2677276406106635
14,"(17, {(3, 'shafter'), (4, 'donovan')})",1.4106945763626548,0.06200412191890119,0.047923583378305434,5.7781573843766845,0.9848076894658048,2.403302043966357,2.403779811957968
15,"(18, {(2, 'donovan'), (3, 'elcajon')})",1.4423660714285715,0.05162102333378873,-0.0028052536231879185,5.346197897774328,0.9859412217695122,2.312182957364412,2.31218465909934
16,"(18, {(2, 'donovan'), (4, 'shafter')})",1.6422486264441591,0.06823122991629177,0.2398447068891742,7.163859685894737,0.9799074049454448,2.665770845829023,2.6765387510541934
17,"(18, {(4, 'shafter'), (3, 'elcajon')})",1.405552753166634,0.06700914427764962,0.005557124105795194,5.165796625683534,0.9824099711295674,2.272832097638364,2.2728388912731
18,"(19, {(2, 'elcajon'), (4, 'donovan')})",1.637938155515371,0.042578846425045835,0.01440036166365379,7.023364832549728,0.9831887387520879,2.650124046555875,2.6501631709292406
19,"(19, {(3, 'shafter'), (2, 'elcajon')})",1.3672067390247855,0.05007402854298357,0.02074861493601186,5.488392342912685,0.9881724643953784,2.3426399292018654,2.342731811990584
20,"(19, {(3, 'shafter'), (4, 'donovan')})",1.2594639861975847,0.055033851071543065,0.07129757707598831,5.209661807204261,0.9871798962047841,2.2813545236782806,2.282468358423455
21,"(20, {(2, 'donovan'), (3, 'elcajon')})",1.4064012681159421,0.05034529894734403,0.016791537267081283,5.196266362060042,0.986270042863756,2.2794702029937244,2.279532048921454
22,"(20, {(2, 'donovan'), (4, 'shafter')})",1.5038845600821638,0.06277504229925003,0.15232487161930858,6.4089351033310535,0.981864038785121,2.527000640446538,2.531587467051268
23,"(20, {(4, 'shafter'), (3, 'elcajon')})",1.2371983197689682,0.059125998282989325,0.00695421370438443,4.272452627474404,0.9853562597762112,2.066979503136438,2.0669912015957888
24,"(21, {(2, 'elcajon'), (4, 'donovan')})",1.6203524308693291,0.04205499500429208,0.1304800289174056,7.4781809701789275,0.9820851568153222,2.7315116569827484,2.7346262944283497
25,"(21, {(3, 'shafter'), (2, 'elcajon')})",1.3973842218336248,0.05198158532371859,0.02469667749188127,5.298247890198351,0.9880344364519034,2.301659828106493,2.301792321257144
26,"(21, {(3, 'shafter'), (4, 'donovan')})",1.3346888963842416,0.05866345163713,0.04632192390717749,5.221955058540204,0.9862700931166288,2.284690206112361,2.2851597446437317
