,Model,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE,NO2 MBE,NO2 MSE,NO2 R^2,NO2 crMSE,NO2 rMSE,O3 MBE,O3 MSE,O3 R^2,O3 crMSE,O3 rMSE
0,"(11, {(3, 'donovan'), (2, 'shafter')})",1.2972042897742506,1.5158017695318784,0.103827296445765,0.05001883072290958,-0.022846994476915492,8.541852768916295,0.925746230620986,2.9225555227847537,2.9226448242843834,0.03664698375248027,5.565922006692048,0.9821011766784483,2.358935990075588,2.3592206354412992
1,"(11, {(3, 'donovan'), (4, 'elcajon')})",1.2517142739917122,1.2957671193533828,0.08107218839936542,0.053495808482635146,-0.009903253600295168,7.989523258359661,0.9378612587419951,2.8265571255376725,2.8265744742284187,0.03823936322980393,4.47292855110163,0.984321400528035,2.1145841913249535,2.1149299163569535
2,"(11, {(2, 'shafter'), (4, 'elcajon')})",1.0637946744868034,1.2045305806451614,0.061102385080772176,0.05376525414033566,-0.04801461583577684,3.903891028030499,0.9623329086821976,1.975243181154321,1.9758266695311355,0.04442414076246336,4.087890908954838,0.9902898033370985,2.0213652328741474,2.0218533351741512
3,"(12, {(3, 'donovan'), (2, 'shafter')})",1.326540052910053,1.6431983280423283,0.1064835581151877,0.05413991696085879,0.0037534708994710494,11.435328506385185,0.89919251392273,3.3816141734150262,3.3816162565236736,0.02579564021164054,6.584493685583069,0.9786486937820084,2.565897166787699,2.566026828695107
4,"(12, {(3, 'donovan'), (4, 'elcajon')})",1.3314793418947195,1.4613445205760471,0.08627631585943606,0.060275320648964056,-0.005101792967627852,10.025208524350715,0.921508002749928,3.1662568588254545,3.166260969084942,0.03696114552989009,5.809020606572847,0.9796619669492761,2.4099075667531245,2.410190989646432
5,"(12, {(2, 'shafter'), (4, 'elcajon')})",1.1996498352696376,1.335744165077163,0.06930890857998688,0.05926932849392718,-0.01185595052309089,4.577626063878389,0.9559653015941015,2.1395059009770416,2.139538750263334,0.018846182301601143,4.9538994453153,0.988139469626116,2.2256559183144087,2.225735708774809
6,"(13, {(3, 'donovan'), (2, 'shafter')})",1.3663719372810292,1.5584840273390386,0.1099315491909901,0.05129059363775655,-0.014935557980586793,15.736154648047787,0.8682194180260915,3.96685411594069,3.9668822326920403,0.00516297742806314,6.390354682646603,0.9798982605978014,2.5279098137217395,2.527915086122673
7,"(13, {(3, 'donovan'), (4, 'elcajon')})",1.3189972878390201,1.3848883639545058,0.08482536297730002,0.057989804609723174,-0.0029892388451440936,13.379538162904637,0.8996790326445672,3.6578038803844803,3.6578051018205766,0.01624899387576599,5.725619389326335,0.9800363116675034,2.3927714808406506,2.3928266525860864
8,"(13, {(2, 'shafter'), (4, 'elcajon')})",1.114972014503953,1.276717957558105,0.06411010484401569,0.05692147632793294,-0.029439160672887984,4.851729748228021,0.9541860511911426,2.202467498976296,2.202664238650099,0.039401783272900344,5.045043105469893,0.9879953525596175,2.245771717015068,2.2461173400937655
9,"(15, {(2, 'donovan'), (3, 'elcajon')})",1.2019275081770242,1.4296256591682799,0.08265051547338174,0.05114145239550699,-0.018092250183565618,4.939990870035378,0.9577341488866491,2.2225353856617613,2.222609023205696,0.026066484213337425,5.573508020292372,0.985622537210554,2.360683917574127,2.3608278252113966
10,"(15, {(2, 'donovan'), (4, 'shafter')})",1.610726307909107,1.6208059890787387,0.13245950042099355,0.06817793006944818,-0.2968660472080322,8.288704905120662,0.8989843345265562,2.8636646897176594,2.879011098471255,-0.0011938347718857913,7.334330085524044,0.9798203365320873,2.708196569727275,2.708196832862051
11,"(15, {(4, 'shafter'), (3, 'elcajon')})",1.1246517872182733,1.2970846814675068,0.08167454019438143,0.06266117730808335,-0.023581005963008977,4.151078095285517,0.9513537499635147,2.0372830022957755,2.0374194696442647,0.02168192568136655,4.8390924762820475,0.983475635656544,2.1996868800765244,2.1997937349401755
12,"(17, {(2, 'elcajon'), (4, 'donovan')})",0.9163127259580622,1.5182328271872743,0.08219490522287623,0.03930580307001123,-0.07192516268980464,2.695182201735358,0.9599411116772617,1.6401246820615205,1.6417010086295734,0.09018510484454169,6.44701788141721,0.9845099596443814,2.537495719854792,2.539097847940723
13,"(17, {(3, 'shafter'), (2, 'elcajon')})",1.0339388627960426,1.4000582092535228,0.07932351547657927,0.052030392569921126,-0.06617088038373127,3.524816133970221,0.954422498949183,1.8762829073888254,1.877449369216177,0.02423800339762188,5.142588651989607,0.9883933436336443,2.2675981061865667,2.2677276406106635
14,"(17, {(3, 'shafter'), (4, 'donovan')})",1.1198700755531572,1.4106945763626548,0.0822054860590479,0.06200412191890119,-0.08091945493793834,4.965571184943335,0.9377533928081427,2.2268864422677423,2.228356162049356,0.04792358337830544,5.778157384376685,0.9848076894658048,2.403302043966357,2.403779811957968
15,"(18, {(2, 'donovan'), (3, 'elcajon')})",1.2191348343685298,1.4423660714285715,0.08417479171785305,0.05162102333378873,-0.023095238095237853,4.8846801915113875,0.9585391093516691,2.2100105885467407,2.210131261149751,-0.0028052536231879185,5.346197897774328,0.985941221769512,2.3121829573644117,2.3121846590993393
