,Test,Model,NO2 MAE,NO2 CvMAE,NO2 MBE,NO2 MSE,NO2 R^2,NO2 crMSE,NO2 rMSE
0,"(3, 'donovan')",11,-0.7196388218960451,-0.058966228738049985,-0.015861908278400984,-8.1560235552223,0.0630204888895477,-1.6337853972794087,-1.6338089145419306
1,"(2, 'shafter')",11,-0.414971516863853,-0.029701537564412236,0.07036295249867541,-2.7630232330602156,0.03199021213974895,-0.6554212005770559,-0.6591582538610052
2,"(4, 'elcajon')",11,-0.5399083464413325,-0.027956925824599348,0.008508131566761314,-3.276217450907235,0.03216198067206588,-1.0633074205734283,-1.0633389093402303
3,"(3, 'donovan')",12,-0.7419464443803435,-0.06094539457934086,-0.0383438493164731,-12.304153050566265,0.09727813235030636,-2.202787822973388,-2.203037514483958
4,"(2, 'shafter')",12,-0.434085728779168,-0.03248781592014269,-0.056260263780858966,-4.007248505089619,0.04808757012114462,-0.841755477572943,-0.8404731130923471
5,"(4, 'elcajon')",12,-0.6548357755243556,-0.03390757276096205,0.04449609960771874,-3.746995315669257,0.03677726237797408,-1.110758254527913,-1.1116269118372366
6,"(3, 'donovan')",13,-0.7936099669724602,-0.06572312589565653,-0.04194180714423144,-17.226325408331327,0.12623160202078287,-2.7617007709351045,-2.7618474723179625
7,"(2, 'shafter')",13,-0.4677809136494426,-0.0351439672863955,0.07054396330475382,-4.048916949245116,0.046238097409030184,-0.8793333247151189,-0.8818801510232468
8,"(4, 'elcajon')",13,-0.5599089215158046,-0.028838263546940406,0.002411067708333285,-4.226469703770654,0.04044458971252174,-1.2484785550395043,-1.2484787293144235
9,"(2, 'donovan')",15,-0.6756241010427835,-0.0630793572254281,-0.028102657742450327,-8.42456969069766,0.06225268317540855,-1.303177995948615,-1.3033492503569677
10,"(4, 'shafter')",15,-0.6072309813971165,-0.04837207191275015,-0.0029609074265070714,-4.003928967307228,0.05704221620262584,-1.1869004188211698,-1.1867544701673869
11,"(3, 'elcajon')",15,-0.4849272943885234,-0.03017938457263487,0.03216580430358089,-1.7327395773793484,0.016709573824262525,-0.7423073747153788,-0.7429707101480225
12,"(3, 'shafter')",17,-0.5329029190465859,-0.03893119299698025,0.039102769492142746,-0.8908542041584289,0.013338653398152324,-0.2539044786032272,-0.2545106583891881
13,"(2, 'elcajon')",17,-0.4340008661062484,-0.038623837756795815,0.05723275381115583,-3.8415337840298567,0.057086602821380124,-1.3501179414760975,-1.3512883095090025
14,"(4, 'donovan')",17,-1.98939555658452,-0.2318549871905312,0.04460845295055815,-24.9278774270834,0.3654447331341464,-2.6849491459230497,-2.6247034140423753
15,"(2, 'donovan')",18,-0.8008803352427336,-0.07495274090608894,-0.0463121484130114,-11.431288677136704,0.08157301904584091,-1.6060078385396528,-1.6047243292467142
16,"(4, 'shafter')",18,-0.5756588395256427,-0.046273547549015054,0.028224462245190093,-3.7673483511545514,0.052651209368451364,-1.1300416666348654,-1.1303598315216306
17,"(3, 'elcajon')",18,-0.5694916239019683,-0.0356490892203164,0.008416546144327346,-2.3666205635136857,0.022969536709675387,-0.8898360652916883,-0.8898582313032114
18,"(3, 'shafter')",19,-0.5545230075801899,-0.0392405580210901,0.005388960622140712,-1.903309144186959,0.025348221752021786,-0.5095049212347127,-0.509532574593375
19,"(2, 'elcajon')",19,-0.4678779049659475,-0.0416300236523743,0.036101823613405165,-1.8664321598378195,0.02728342586141641,-0.7685989666755517,-0.7694425906564021
20,"(4, 'donovan')",19,-1.652413705335291,-0.17777758108519726,0.3229280779040109,-17.73452339054744,0.2855910591064961,-2.281060900334973,-2.2932643434709767
21,"(2, 'donovan')",20,-0.8213897629310347,-0.07572288158528412,-0.06644206178160918,-10.621278056784003,0.07715614774660251,-1.5599665763532935,-1.5613555609683916
22,"(4, 'shafter')",20,-0.571060138492798,-0.0457258771078298,0.025685397797350046,-3.7387476958888817,0.05214725147156074,-1.1243546216391411,-1.1246017898213978
23,"(3, 'elcajon')",20,-0.5091842036217716,-0.031977391746650236,0.016630878640060912,-2.0488982305022,0.019919192702838817,-0.8320996099304936,-0.8321379448575192
24,"(3, 'shafter')",21,-0.5381842063222357,-0.0393170119119214,0.05683525054373637,-1.0089412184617683,0.01472672366307559,-0.2900255000271834,-0.2913453099042902
25,"(2, 'elcajon')",21,-0.5075177452443118,-0.04403588344941856,0.002130091383811995,-2.141798396085416,0.031154972649146236,-0.8485102984597108,-0.8485118477783686
26,"(4, 'donovan')",21,-1.344103858620158,-0.15101566223409485,0.04896864571007198,-15.483228098378351,0.2259067562503688,-1.8459587109779505,-1.7781515339014096
