,Test,Model,O3 MAE,O3 CvMAE,O3 MBE,O3 MSE,O3 R^2,O3 crMSE,O3 rMSE
0,"(3, 'donovan')",11,-0.7915249491390021,-0.02668561950284115,-0.02562107290671091,-4.427600741293832,0.021334897852333445,-1.2283456525268286,-1.2285615692067988
1,"(2, 'shafter')",11,-0.5899197068691504,-0.018837660360620928,-0.03130674554123207,-5.829182069447287,0.01035829884425188,-0.9179187264084354,-0.918446343152732
2,"(4, 'elcajon')",11,-0.5169038891213737,-0.028698989868013523,-0.036657135293896866,-2.4011491485069385,0.008076663509279271,-0.8821055896867555,-0.8826409473100406
3,"(3, 'donovan')",12,-0.8452195347182633,-0.02840897791550377,-0.01765217538143184,-5.29100626270171,0.025471837996177915,-1.3272567081215974,-1.327268726021168
4,"(2, 'shafter')",12,-0.5505069496110928,-0.01777699671219736,0.056399644910382275,-5.877761422708826,0.011289557086348491,-0.8187879565351328,-0.8197223217789937
5,"(4, 'elcajon')",12,-0.6616219073641855,-0.03674244686718272,-0.060092512506634874,-3.8357800444127865,0.01290205995741278,-1.11688583368132,-1.1184412539009505
6,"(3, 'donovan')",13,-0.8524512692973392,-0.02864844735747976,0.008819343654370355,-5.667824815407532,0.026972530541366942,-1.4237737979039549,-1.4237547240941382
7,"(2, 'shafter')",13,-0.5864073009497464,-0.017805411248077815,-0.10774027642114192,-6.354994408823705,0.0115619539979368,-0.8664516057934311,-0.8708565058808055
8,"(4, 'elcajon')",13,-0.6042602505387932,-0.034209554798465096,-0.01733610362787354,-3.7213660737203673,0.012671298570207769,-1.131726212353932,-1.131494369869977
9,"(2, 'donovan')",15,-0.6822861343591251,-0.01581138881292696,0.05533843535077326,-7.340292331535776,0.02389293078911836,-1.1260191018097894,-1.1202528405674883
10,"(4, 'shafter')",15,-0.6686569782796954,-0.03415311995901733,-0.010632938178076395,-4.1203156355696215,0.014571396273644456,-1.1779971252074304,-1.1780254438628288
11,"(3, 'elcajon')",15,-0.5923647425861189,-0.026461780647468125,-0.02222867493125176,-2.7719371277081124,0.009049524263669008,-0.9476641263421532,-0.9477344529662648
12,"(3, 'shafter')",17,-0.6697486321592518,-0.029917033677842462,-0.012373315435981214,-3.8764900218214433,0.010244045215725528,-1.1535456420665156,-1.1535853979354875
13,"(2, 'elcajon')",17,-0.6964320919266144,-0.017687217158097134,-0.04710916896082677,-3.7468923785815638,0.008849750633066478,-1.0684517621460248,-1.0689490866627116
14,"(4, 'donovan')",17,-2.7896551628337702,-0.07961179604518905,-0.5301057536313909,-50.42642097958533,0.2753525353223009,-3.7867394274581496,-3.6813334850375306
15,"(2, 'donovan')",18,-0.8286029193312596,-0.019582058858308528,0.055581295952983285,-8.90745549578572,0.03245621240096963,-1.2626524104154329,-1.263160192113268
16,"(4, 'shafter')",18,-0.687730423805923,-0.03426121841657779,-0.036119047210247536,-3.8087996124899295,0.013424522739660992,-1.1194100661578101,-1.1199925194730171
17,"(3, 'elcajon')",18,-0.7211042558249261,-0.03193761098914547,0.0655138814767185,-3.9208134353340434,0.012722317212925159,-1.1466648492475249,-1.14838743009648
18,"(3, 'shafter')",19,-0.6178465782788533,-0.02737727547573128,-0.0022163803951713973,-3.725675084568095,0.009184095889002486,-1.140054450933198,-1.1400547877823786
19,"(2, 'elcajon')",19,-0.8053118195333043,-0.020646317163771643,0.02536738330973183,-5.076984518682177,0.011934119014203827,-1.2487218090336676,-1.2475591114650229
20,"(4, 'donovan')",19,-2.027529077466058,-0.061229258260666934,-1.4457216941030986,-32.89335043980009,0.1702193792571034,-2.5291089098433885,-2.9120395369061547
21,"(2, 'donovan')",20,-0.8083091475095787,-0.01936038064654983,0.030511326628352375,-8.531661773524906,0.03132321044446962,-1.2673076099886271,-1.257955286896121
22,"(4, 'shafter')",20,-0.6209163512947002,-0.03130587238582961,-0.0005182687543378254,-3.3850203061452024,0.012132635588588904,-1.0733484423898871,-1.0733068699885724
23,"(3, 'elcajon')",20,-0.6189318882275291,-0.02728540183485571,0.0012886039711784026,-2.9213383157518917,0.009484364255078035,-0.9498782634466941,-0.9498734811074859
24,"(3, 'shafter')",21,-0.6373959627642977,-0.028476347153656725,-0.012657748030468879,-3.4953828250072334,0.00924144614328837,-1.0735176577617953,-1.0735588466156063
25,"(2, 'elcajon')",21,-0.7851227806788518,-0.02007426931934433,-0.017174328608728237,-5.161678186745618,0.012136176975013235,-1.2947412717436677,-1.294836316140404
26,"(4, 'donovan')",21,-2.2219343091354964,-0.0638534877362721,-0.9359412992402808,-39.373737425476826,0.21177325561637872,-2.978379901734973,-3.066566113327723
