,Model,Testing Location,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE
16,"(1, 'donovan', 19)","(1, 'donovan', 19)",2.892935761967887,5.1256691654178415,0.687358891478943,0.1353348979773863
5,"(1, 'donovan', 21)","(1, 'donovan', 21)",2.931605554358025,4.829532928320077,0.6965467987876506,0.12751590573625013
8,"(1, 'elcajon', 11)","(1, 'elcajon', 11)",2.1119682784888267,5.5205395749027195,0.39387834181208525,0.14585165323017127
2,"(1, 'elcajon', 12)","(1, 'elcajon', 12)",2.1878203070854636,5.412300366544306,0.40802461074568097,0.14299199299783288
9,"(1, 'elcajon', 13)","(1, 'elcajon', 13)",2.087879569659436,5.405452878130127,0.3893858402973828,0.142811083597197
0,"(1, 'shafter', 15)","(1, 'shafter', 15)",3.366062864009501,5.6042243435193235,0.49845923364798844,0.17079868309230262
6,"(1, 'shafter', 18)","(1, 'shafter', 18)",2.327952487325972,4.945813940149135,0.41688759444021095,0.1503748062967991
14,"(2, 'donovan', 15)","(2, 'donovan', 15)",6.9471101400688235,8.119079792530139,0.6540263889378947,0.18910069200346055
22,"(2, 'donovan', 18)","(2, 'donovan', 18)",6.921553442190747,8.453802347513102,0.6666030263449908,0.19825672064365882
4,"(2, 'donovan', 20)","(2, 'donovan', 20)",6.7588853051384765,7.852633175200812,0.650936735048593,0.18415823291526298
13,"(2, 'elcajon', 17)","(2, 'elcajon', 17)",3.467437837658775,7.30898508481246,0.30800282578018745,0.19163144055453643
1,"(2, 'elcajon', 19)","(2, 'elcajon', 19)",4.16757046577363,8.530966528045553,0.37110281795651034,0.22353370141803133
3,"(2, 'elcajon', 21)","(2, 'elcajon', 21)",4.053207032513902,7.867066927268765,0.3609192847199612,0.20613779033999452
20,"(2, 'shafter', 11)","(2, 'shafter', 11)",4.479276018290822,7.5096479259416,0.3336489923284018,0.23800928569939492
21,"(2, 'shafter', 12)","(2, 'shafter', 12)",5.1053847344186645,8.22640322174689,0.3798125396916103,0.26014835467882164
11,"(2, 'shafter', 13)","(2, 'shafter', 13)",4.643689434149292,7.541982226841626,0.34243187940632563,0.24013557623269233
23,"(3, 'donovan', 11)","(3, 'donovan', 11)",5.449124594807855,8.419874462288025,0.45951452258947484,0.28151664678948657
15,"(3, 'donovan', 12)","(3, 'donovan', 12)",4.50329643477689,8.077304460630417,0.3796493688054687,0.27016570727901484
12,"(3, 'donovan', 13)","(3, 'donovan', 13)",6.410688033243344,8.25086409515932,0.546035440727963,0.27734235526260165
24,"(3, 'elcajon', 15)","(3, 'elcajon', 15)",4.041449193190457,6.310850106815629,0.25476350278321086,0.27982199287870635
17,"(3, 'elcajon', 18)","(3, 'elcajon', 18)",4.499902183269752,7.2696565067720105,0.28216087646948323,0.322957929485659
10,"(3, 'elcajon', 20)","(3, 'elcajon', 20)",4.473070816198164,6.587949749611327,0.2803798429903358,0.2928202656576435
18,"(3, 'shafter', 17)","(3, 'shafter', 17)",5.493897565223219,7.126965829764753,0.4013660723172063,0.31254580483499095
7,"(3, 'shafter', 19)","(3, 'shafter', 19)",6.04199617450526,7.096088155072988,0.44140835258151223,0.31119169595914004
19,"(3, 'shafter', 21)","(3, 'shafter', 21)",5.163861412900361,7.00998972734692,0.3772547173805901,0.3074159373780778
