,Model,Testing Location,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE
29,"(1, 'donovan', 19)","(2, 'elcajon')",-2.3136134257666225,-10.617488292707968,0.20689432347443715,-0.2739080489418776
30,"(1, 'donovan', 19)","(3, 'shafter')",-7.736647833902833,-48.44464109855229,-0.11366476005862136,-2.21045385191772
9,"(1, 'donovan', 21)","(2, 'elcajon')",-2.8154800581278105,-7.807917007592489,0.13406501193562187,-0.20099616101374074
10,"(1, 'donovan', 21)","(3, 'shafter')",-6.303380180750768,-25.366284668406987,-0.040533305849190016,-1.1962752030391093
15,"(1, 'elcajon', 11)","(2, 'shafter')",-9.477326695105944,-32.012220664891935,-0.44184909900810804,-1.0450144271222188
16,"(1, 'elcajon', 11)","(3, 'donovan')",-3.038257970151155,-8.971751465284903,-0.017036661431426403,-0.339932147015345
4,"(1, 'elcajon', 12)","(2, 'shafter')",-7.705476366644158,-20.099051625697548,-0.3088764850453334,-0.6682102983606644
5,"(1, 'elcajon', 12)","(3, 'donovan')",-3.1138742918563422,-7.039189528884888,-0.014975728419991341,-0.27641979710786485
17,"(1, 'elcajon', 13)","(2, 'shafter')",-7.983685797887649,-27.11190188778847,-0.35159534764020595,-0.8778380779584813
18,"(1, 'elcajon', 13)","(3, 'donovan')",-13.876302510820171,-37.54022552896929,-0.9465886577968474,-1.292992162713293
0,"(1, 'shafter', 15)","(2, 'donovan')",-3.942107157772115,-13.311357474366305,-0.1823358369439192,-0.26041908705149863
1,"(1, 'shafter', 15)","(3, 'elcajon')",-4.513286942011021,-5.850699753561724,0.013896303643989971,-0.35124713583647227
11,"(1, 'shafter', 18)","(2, 'donovan')",-6.070337019608315,-10.707973745248912,-0.38123106582235133,-0.21817252204654863
12,"(1, 'shafter', 18)","(3, 'elcajon')",-3.692086792878347,-2.8811044988263257,0.036196455419318985,-0.19599951020057604
25,"(2, 'donovan', 15)","(1, 'shafter')",-2.595366905056567,-2.795697242643085,-0.7454679391358427,-0.1480619142065317
26,"(2, 'donovan', 15)","(3, 'elcajon')",0.48084193066813175,-1.273506682370659,0.23967194067698627,-0.2336709952086113
40,"(2, 'donovan', 18)","(1, 'shafter')",-2.625118402772995,0.6797944476912932,-1.0293711392285405,-0.03147322555832288
41,"(2, 'donovan', 18)","(3, 'elcajon')",0.5967324627147992,-0.25872383686682365,0.2441034348985725,-0.1670607586754946
8,"(2, 'donovan', 20)","(3, 'elcajon')",0.7400015400637301,-0.6683417385274755,0.2650904742343698,-0.1942443765700998
24,"(2, 'elcajon', 17)","(3, 'shafter')",-3.8758972555752194,2.1893916713635155,-0.22110310414166423,-0.08074463288856457
2,"(2, 'elcajon', 19)","(1, 'donovan')",0.17008526302277716,2.3594644198200045,-0.6312940697465451,0.05927346975032455
3,"(2, 'elcajon', 19)","(3, 'shafter')",-11.082582273395735,-15.307244030190686,-0.7422397018804675,-0.8294206977504814
6,"(2, 'elcajon', 21)","(1, 'donovan')",1.2341746184381366,3.2241572995194714,-0.34859454714163984,0.08215471059970861
7,"(2, 'elcajon', 21)","(3, 'shafter')",-5.352380319775165,0.2667457565494331,-0.3267655393817356,-0.12772306039411016
36,"(2, 'shafter', 11)","(1, 'elcajon')",-2.6505850060846843,-4.745526486409241,-0.9760411318923731,-0.08371820382454903
37,"(2, 'shafter', 11)","(3, 'donovan')",-2.2382506083032903,-1.1910722677681358,-0.2273479945331065,-0.054428173092924914
38,"(2, 'shafter', 12)","(1, 'elcajon')",-1.2646101937339136,-2.629282198459194,-0.7398055162052917,-0.026383588799085644
39,"(2, 'shafter', 12)","(3, 'donovan')",-1.970365162078247,-5.282532631112554,-0.20418876392077978,-0.19166899911631652
20,"(2, 'shafter', 13)","(1, 'elcajon')",-4.672743182301869,-9.371778832482095,-1.3645973890010075,-0.2024120941326032
21,"(2, 'shafter', 13)","(3, 'donovan')",-5.096227904118288,-12.922487768977602,-0.4730103237911481,-0.45260739999173605
42,"(3, 'donovan', 11)","(1, 'elcajon')",1.154603123627738,-3.67918845021548,-0.314046669075654,-0.05648573741964141
