,Model,Testing Location,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE
29,"(1, 'donovan', 19)","(2, 'elcajon')",-3.712001743626217,-19.279020043144925,0.11266784665731,-0.49755409661308336
30,"(1, 'donovan', 19)","(3, 'shafter')",-6.219963689994223,-56.56443743776605,0.02876805871795729,-2.61239760713822
9,"(1, 'donovan', 21)","(2, 'elcajon')",-4.03060791126155,-18.05403429955188,0.08886369322046661,-0.4659833361156286
10,"(1, 'donovan', 21)","(3, 'shafter')",-6.794461997575139,-56.80874395308986,-0.008566092458715535,-2.613788248815798
15,"(1, 'elcajon', 11)","(2, 'shafter')",-10.130900193869346,-34.52731495386477,-0.4198930829107612,-1.1306164524048488
16,"(1, 'elcajon', 11)","(3, 'donovan')",-3.9861352286848053,-11.733391448878137,-0.03159592164141656,-0.440404452091412
4,"(1, 'elcajon', 12)","(2, 'shafter')",-11.803148654546558,-36.55679929687525,-0.5308693220208663,-1.1944239077960925
5,"(1, 'elcajon', 12)","(3, 'donovan')",-4.474875961459631,-12.136449798797171,-0.051553063596301296,-0.4524090751353635
17,"(1, 'elcajon', 13)","(2, 'shafter')",-11.16108496825538,-35.28013573326474,-0.4831351956339227,-1.1472908938392783
18,"(1, 'elcajon', 13)","(3, 'donovan')",-5.021110612278309,-13.33036636915368,-0.10859171609893481,-0.49568323565482614
0,"(1, 'shafter', 15)","(2, 'donovan')",-5.345688987206994,-17.523466523991264,-0.30907329405486594,-0.3561004479687785
1,"(1, 'shafter', 15)","(3, 'elcajon')",-6.280851630283394,-8.847211563640506,-0.08884537124851588,-0.4888332458868917
11,"(1, 'shafter', 18)","(2, 'donovan')",-4.942213282342748,-22.582670196174735,-0.22676701942646416,-0.4877714376765018
12,"(1, 'shafter', 18)","(3, 'elcajon')",-7.953694367212807,-9.67030477872989,-0.16567733328032186,-0.5181011757894962
25,"(2, 'donovan', 15)","(1, 'shafter')",-4.831015111329743,-0.5316355927716909,-1.1348272388022265,-0.09539242369006087
26,"(2, 'donovan', 15)","(3, 'elcajon')",-0.9566334928893632,-0.6459141356927542,0.18368158258262024,-0.25381491273610557
40,"(2, 'donovan', 18)","(1, 'shafter')",-5.062707778578562,2.2446711934602614,-1.595786717607674,-0.004462379852889609
41,"(2, 'donovan', 18)","(3, 'elcajon')",-1.035250920166134,-0.9580572808125183,0.18840172331710314,-0.2600901950591447
8,"(2, 'donovan', 20)","(3, 'elcajon')",-1.374130004101195,-1.9177676171062732,0.15558230045065524,-0.27906985713187515
24,"(2, 'elcajon', 17)","(3, 'shafter')",-8.275700395080865,-0.2980549323818895,-0.5134035120920459,-0.20972100552829986
2,"(2, 'elcajon', 19)","(1, 'donovan')",2.738454606910696,-1.6751247886180813,-0.22246410549573992,-0.047258942765223966
