,Model,Testing Location,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE
29,"(1, 'donovan', 19)","(2, 'elcajon')",2.96200451142118,6.018609532409146,0.6995644688723841,0.15780021022725912
30,"(1, 'donovan', 19)","(3, 'shafter')",2.96200451142118,6.018609532409146,0.6995644688723841,0.15780021022725912
9,"(1, 'donovan', 21)","(2, 'elcajon')",2.9904265599853157,5.496409678519089,0.7062771714463902,0.14410880089412859
10,"(1, 'donovan', 21)","(3, 'shafter')",2.9904265599853157,5.496409678519089,0.7062771714463902,0.14410880089412859
15,"(1, 'elcajon', 11)","(2, 'shafter')",2.965342470574429,6.515785327387427,0.5462107338618121,0.17232888628353046
16,"(1, 'elcajon', 11)","(3, 'donovan')",2.965342470574429,6.515785327387427,0.5462107338618121,0.17232888628353046
4,"(1, 'elcajon', 12)","(2, 'shafter')",3.176459729486227,6.42574526133428,0.585098152116328,0.16994751496385013
5,"(1, 'elcajon', 12)","(3, 'donovan')",3.176459729486227,6.42574526133428,0.585098152116328,0.16994751496385013
17,"(1, 'elcajon', 13)","(2, 'shafter')",3.1219754347233435,6.651752471418536,0.5750622433058987,0.1759249327038364
18,"(1, 'elcajon', 13)","(3, 'donovan')",3.1219754347233435,6.651752471418536,0.5750622433058987,0.1759249327038364
0,"(1, 'shafter', 15)","(2, 'donovan')",3.575553020959147,6.903114858448291,0.5286599804458041,0.2120751146534253
1,"(1, 'shafter', 15)","(3, 'elcajon')",3.575553020959147,6.903114858448291,0.5286599804458041,0.2120751146534253
11,"(1, 'shafter', 18)","(2, 'donovan')",2.805180864191704,6.464213016917307,0.5083807448019407,0.19760390514101392
12,"(1, 'shafter', 18)","(3, 'elcajon')",2.805180864191704,6.464213016917307,0.5083807448019407,0.19760390514101392
25,"(2, 'donovan', 15)","(1, 'shafter')",7.7949138882980815,10.596235907575535,0.7319674469224524,0.24647420792139682
26,"(2, 'donovan', 15)","(3, 'elcajon')",7.7949138882980815,10.596235907575535,0.7319674469224524,0.24647420792139682
40,"(2, 'donovan', 18)","(1, 'shafter')",7.855915454200422,10.479728396080606,0.7454453165657243,0.24727429064956868
41,"(2, 'donovan', 18)","(3, 'elcajon')",7.855915454200422,10.479728396080606,0.7454453165657243,0.24727429064956868
8,"(2, 'donovan', 20)","(3, 'elcajon')",7.520883174621838,9.390051251610913,0.7136542102120202,0.22156282821924803
24,"(2, 'elcajon', 17)","(3, 'shafter')",5.752579135017609,10.666097270943563,0.5114442485419228,0.27560005142486643
2,"(2, 'elcajon', 19)","(1, 'donovan')",5.863603350854458,10.670266106200986,0.5156316714601329,0.27642134718379796
3,"(2, 'elcajon', 19)","(3, 'shafter')",5.863603350854458,10.670266106200986,0.5156316714601329,0.27642134718379796
6,"(2, 'elcajon', 21)","(1, 'donovan')",5.771716388951723,10.533739971411524,0.5075513452654226,0.2728845339751407
7,"(2, 'elcajon', 21)","(3, 'shafter')",5.771716388951723,10.533739971411524,0.5075513452654226,0.2728845339751407
36,"(2, 'shafter', 11)","(1, 'elcajon')",4.464873342712512,9.174664535808553,0.32937165936241297,0.2912569057660043
37,"(2, 'shafter', 11)","(3, 'donovan')",4.464873342712512,9.174664535808553,0.32937165936241297,0.2912569057660043
38,"(2, 'shafter', 12)","(1, 'elcajon')",5.319273446995596,10.36887068015994,0.39628113103518975,0.329133395607721
39,"(2, 'shafter', 12)","(3, 'donovan')",5.319273446995596,10.36887068015994,0.39628113103518975,0.329133395607721
20,"(2, 'shafter', 13)","(1, 'elcajon')",4.728407589750311,9.60508972007244,0.35031629500732886,0.3031012262297056
21,"(2, 'shafter', 13)","(3, 'donovan')",4.728407589750311,9.60508972007244,0.35031629500732886,0.3031012262297056
42,"(3, 'donovan', 11)","(1, 'elcajon')",6.6133646386778056,9.148441851094082,0.5497027062181242,0.30716757172522785
43,"(3, 'donovan', 11)","(2, 'shafter')",6.6133646386778056,9.148441851094082,0.5497027062181242,0.30716757172522785
27,"(3, 'donovan', 12)","(1, 'elcajon')",7.201873843847337,9.21879937094625,0.5992524603933024,0.309089551247839
28,"(3, 'donovan', 12)","(2, 'shafter')",7.201873843847337,9.21879937094625,0.5992524603933024,0.309089551247839
22,"(3, 'donovan', 13)","(1, 'elcajon')",8.002260900292507,9.330810159514122,0.6718309639733996,0.31361280405407826
23,"(3, 'donovan', 13)","(2, 'shafter')",8.002260900292507,9.330810159514122,0.6718309639733996,0.31361280405407826
44,"(3, 'elcajon', 15)","(1, 'shafter')",7.972490001495943,10.294503264940415,0.4994777930137619,0.45811770579478645
45,"(3, 'elcajon', 15)","(2, 'donovan')",7.972490001495943,10.294503264940415,0.4994777930137619,0.45811770579478645
31,"(3, 'elcajon', 18)","(1, 'shafter')",8.208561315178189,10.725469728912465,0.5142774634823153,0.4757671271973157
32,"(3, 'elcajon', 18)","(2, 'donovan')",8.208561315178189,10.725469728912465,0.5142774634823153,0.4757671271973157
19,"(3, 'elcajon', 20)","(2, 'donovan')",8.132517829685371,10.525279158872547,0.5102330558921574,0.46598719262774574
33,"(3, 'shafter', 17)","(2, 'elcajon')",6.201762233980648,7.57349606055421,0.45307495647221185,0.33523587093437096
13,"(3, 'shafter', 19)","(1, 'donovan')",6.280734384529808,7.5814318465806565,0.45884433335617725,0.33558714333470674
14,"(3, 'shafter', 19)","(2, 'elcajon')",6.280734384529808,7.5814318465806565,0.45884433335617725,0.33558714333470674
34,"(3, 'shafter', 21)","(1, 'donovan')",5.875007450004377,7.625783807813669,0.42920361088660197,0.3375503540147831
35,"(3, 'shafter', 21)","(2, 'elcajon')",5.875007450004377,7.625783807813669,0.42920361088660197,0.3375503540147831
