,Model,Testing Location,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE
11,"(1, 'donovan', 19)","(1, 'donovan', 19)",-0.03330613129803428,0.03833854259967895,-0.00386610239189189,0.001697408193192737
13,"(1, 'donovan', 21)","(1, 'donovan', 21)",-0.010339556802545946,-0.025085325754048426,0.0011538485131451504,9.408085056671067e-05
10,"(1, 'elcajon', 11)","(1, 'elcajon', 11)",-0.010432712208175321,0.08465461985073475,0.0027769041242307613,0.0020925195232716354
18,"(1, 'elcajon', 12)","(1, 'elcajon', 12)",0.01507066909877075,0.008554745385187523,0.007828902972002671,8.040503232864538e-05
5,"(1, 'elcajon', 13)","(1, 'elcajon', 13)",0.01492686984198155,-0.0029671545598706217,0.0075498725489670515,-0.00020159439927110168
2,"(1, 'shafter', 15)","(1, 'shafter', 15)",-0.03368834068836035,-0.016853197445230172,-0.004210694310943897,-0.0018824400695892918
6,"(1, 'shafter', 18)","(1, 'shafter', 18)",-0.0039867146793151065,-0.08224010548523886,-0.005687363233492393,-0.0032260774679964133
9,"(2, 'donovan', 15)","(2, 'donovan', 15)",0.04547344481448956,0.019481630739647926,0.005880686593690898,0.0006822880777536122
12,"(2, 'donovan', 18)","(2, 'donovan', 18)",-0.06114890089130576,-0.09841239592231599,0.0031693951073674675,-0.0032716558454657096
4,"(2, 'donovan', 20)","(2, 'donovan', 20)",-0.028222523687473355,0.02874801803516469,0.0069341578219332956,-0.00040847167321442224
3,"(2, 'elcajon', 17)","(2, 'elcajon', 17)",0.029143656077289304,0.013123531695798718,0.0023215788355375744,0.0031067101714255807
7,"(2, 'elcajon', 19)","(2, 'elcajon', 19)",-0.09816002284382375,-0.12890752927660465,-0.004159088861120541,-0.0010778998348035251
14,"(2, 'elcajon', 21)","(2, 'elcajon', 21)",-0.06713468355960517,-0.09745778130893612,-0.0015056745968947127,-0.00037346887703626486
0,"(3, 'donovan', 11)","(3, 'donovan', 11)",-0.04766298341733233,-0.09072603508598398,0.0022555603470902352,-0.0038239599075725883
1,"(3, 'donovan', 12)","(3, 'donovan', 12)",-0.10898175353425499,-0.04981019822237265,-0.004835208476504094,-0.002176211325414429
17,"(3, 'donovan', 13)","(3, 'donovan', 13)",-0.09016889935431571,-0.1130260517539945,0.00023868835907270292,-0.0037719071340348576
8,"(3, 'elcajon', 15)","(3, 'elcajon', 15)",-0.018944068240821732,-0.038141834753427695,0.0003462694904372565,-0.002621164578875068
16,"(3, 'elcajon', 18)","(3, 'elcajon', 18)",0.017175165730887176,-0.011359612007086461,0.001266659808263071,-0.00023635282412634573
15,"(3, 'elcajon', 20)","(3, 'elcajon', 20)",0.005245604754515298,0.012005346051108923,8.64169579685714e-05,0.0015583688744239543
