,Model,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE
0,"(3, 'donovan', 11)",5.1610261382246145,5.517592979346847,0.4339581486547201,0.18463476311257096
1,"(3, 'donovan', 12)",4.016008992705134,6.277853015067268,0.3376783457685515,0.21007963874609506
2,"(1, 'shafter', 15)",5.729257388995392,8.153018249322644,0.6911067893901477,0.24755508046344596
3,"(2, 'donovan', 20)",6.733018327713463,7.55670644303439,0.6465124380675142,0.17743435280011205
4,"(1, 'elcajon', 13)",2.0591037441067677,4.3802221444295135,0.38306243913757837,0.11574926306416901
5,"(1, 'shafter', 18)",6.71214090481213,8.687149662155093,0.8443102214987285,0.2579487193873515
6,"(2, 'elcajon', 19)",4.049123128732433,7.630838091852689,0.3596495873036351,0.19949076740456895
7,"(3, 'elcajon', 15)",4.024508779862641,5.780030080515848,0.2533821564938417,0.25647154252609267
8,"(2, 'donovan', 15)",6.649055830205286,7.5438071387295516,0.6256459921766798,0.17565621247021712
9,"(1, 'elcajon', 11)",2.027601491317588,5.192715267010022,0.37720196230328146,0.1372197449444089
10,"(1, 'donovan', 19)",2.814332657709328,3.737157103016625,0.6678798875800724,0.09853471565222753
11,"(2, 'donovan', 18)",6.301371787505966,6.578372368735956,0.6050652232360455,0.15446269516010264
12,"(1, 'donovan', 21)",2.5301857869797493,4.06911924437341,0.6004479230042981,0.10728730332896504
13,"(2, 'elcajon', 21)",3.9657061131779243,7.262183207685509,0.35224035467116843,0.18985313063850076
14,"(3, 'elcajon', 20)",4.1089867346323645,5.8445740126464125,0.25760615601615866,0.259573925266689
15,"(3, 'elcajon', 18)",3.6800146121025894,4.008758722192842,0.2307122114774278,0.17803734251613346
16,"(3, 'donovan', 13)",6.320264817858173,8.184997547943858,0.5367726044057832,0.2751229703730992
17,"(1, 'elcajon', 12)",2.1712603123352574,5.190520680769443,0.40392732693833494,0.13716175205461886
