,Model,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE
0,"(3, 'donovan', 11)",1.562133169456041,-2.3034552709604377,-0.23555679091895482,-0.02203981674033778
1,"(3, 'donovan', 12)",-3.9349310152433494,-2.6187014738670067,-1.1414634806684258,-0.02501565823877641
2,"(1, 'shafter', 15)",-2.2932175407558626,-3.7664356993232317,0.05786227579787995,-0.10188525559514508
3,"(2, 'donovan', 20)",0.7527358201434584,-0.00859640057385569,0.2715884755048513,-0.1585619662981641
4,"(1, 'elcajon', 13)",-7.743247738831775,-34.38848297067527,-0.4494396610799389,-1.1873862902831653
5,"(1, 'shafter', 18)",-0.10117556095465119,-12.451723244562423,0.28902326505071174,-0.3297730604790921
6,"(2, 'elcajon', 19)",-0.7925539067640948,2.9630307295945713,-0.789347033727801,0.07641831995829637
7,"(3, 'elcajon', 15)",-2.710344245641524,-3.914848495735532,-0.4686938273385685,-0.0077932731552273204
8,"(2, 'donovan', 15)",-1.9824382822254192,-1.2822550703414688,-0.23202718085114438,-0.14235998599798072
9,"(1, 'elcajon', 11)",-4.0902387575529815,-5.882000335022586,-0.13720865238089092,-0.23337255850644076
10,"(1, 'donovan', 19)",-1.7644377155587057,-9.96244923920081,0.2611861855736652,-0.25961008436225225
11,"(2, 'donovan', 18)",-1.305112398138263,-3.576302996728759,-0.17976993586682022,-0.19310811744241702
12,"(1, 'donovan', 21)",-2.7354953144218657,-7.146392915258043,0.13274171235505794,-0.18591654933159346
13,"(2, 'elcajon', 21)",0.40425240991735656,2.6968999237757814,-0.49294164342685864,0.06948385585237962
14,"(3, 'elcajon', 20)",-4.759822526018653,-2.8676553050221143,-0.5939874709102125,0.05500745413539246
15,"(3, 'elcajon', 18)",-3.537478422355091,-5.205492306536569,-0.5719844768030242,-0.0712754966316762
16,"(3, 'donovan', 13)",1.823744900586643,-0.698261801041447,-0.29973108904358514,0.040379003206827274
17,"(1, 'elcajon', 12)",-4.14229119408079,-5.14632055247553,-0.1269354356908548,-0.20874629434977363
