,Model,Testing Location,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE
20,"(1, 'donovan', 19)","(2, 'elcajon')",2.8509298136413377,3.7105584661481426,0.6733309126242766,0.09728607627156313
21,"(1, 'donovan', 19)","(3, 'shafter')",2.8509298136413377,3.7105584661481426,0.6733309126242766,0.09728607627156313
24,"(1, 'donovan', 21)","(2, 'elcajon')",2.543193821022089,4.096571696286747,0.6006500083921935,0.10740684727994466
25,"(1, 'donovan', 21)","(3, 'shafter')",2.543193821022089,4.096571696286747,0.6006500083921935,0.10740684727994466
18,"(1, 'elcajon', 11)","(2, 'shafter')",2.0532698552484128,5.128017596108148,0.3782086034178434,0.1356253339816515
19,"(1, 'elcajon', 11)","(3, 'donovan')",2.0532698552484128,5.128017596108148,0.3782086034178434,0.1356253339816515
33,"(1, 'elcajon', 12)","(2, 'shafter')",2.181817378384155,5.183898280631219,0.4018868252909785,0.1371032611454188
34,"(1, 'elcajon', 12)","(3, 'donovan')",2.181817378384155,5.183898280631219,0.4018868252909785,0.1371032611454188
8,"(1, 'elcajon', 13)","(2, 'shafter')",2.07216146428436,4.386177268607633,0.38168840372345747,0.11600520977328808
9,"(1, 'elcajon', 13)","(3, 'donovan')",2.07216146428436,4.386177268607633,0.38168840372345747,0.11600520977328808
4,"(1, 'shafter', 15)","(2, 'donovan')",3.3868770853090493,5.589702887109294,0.5007634799977091,0.17172492490277833
5,"(1, 'shafter', 15)","(3, 'elcajon')",3.3868770853090493,5.589702887109294,0.5007634799977091,0.17172492490277833
10,"(1, 'shafter', 18)","(2, 'donovan')",2.3130711234364965,4.412544736531766,0.419196079483931,0.1348866550755961
11,"(1, 'shafter', 18)","(3, 'elcajon')",2.3130711234364965,4.412544736531766,0.419196079483931,0.1348866550755961
16,"(2, 'donovan', 15)","(1, 'shafter')",6.652718411657106,7.5281813335307115,0.6247116235863707,0.17510959056168976
17,"(2, 'donovan', 15)","(3, 'elcajon')",6.652718411657106,7.5281813335307115,0.6247116235863707,0.17510959056168976
22,"(2, 'donovan', 18)","(1, 'shafter')",6.3854800884055525,6.706137999193297,0.6059161728096887,0.1582345891109949
23,"(2, 'donovan', 18)","(3, 'elcajon')",6.3854800884055525,6.706137999193297,0.6059161728096887,0.1582345891109949
7,"(2, 'donovan', 20)","(3, 'elcajon')",6.803972168851641,7.533899477626267,0.6456267530987856,0.17776602396030858
6,"(2, 'elcajon', 17)","(3, 'shafter')",3.3506096033200516,7.27529643922526,0.2978924705782649,0.1879855416510985
12,"(2, 'elcajon', 19)","(1, 'donovan')",4.136210636374912,7.7470413556025886,0.36372876477642113,0.20069298993019205
13,"(2, 'elcajon', 19)","(3, 'shafter')",4.136210636374912,7.7470413556025886,0.36372876477642113,0.20069298993019205
26,"(2, 'elcajon', 21)","(1, 'donovan')",4.037582791983547,7.344045211926172,0.35505566101870895,0.19025306876644782
27,"(2, 'elcajon', 21)","(3, 'shafter')",4.037582791983547,7.344045211926172,0.35505566101870895,0.19025306876644782
0,"(3, 'donovan', 11)","(1, 'elcajon')",5.193753608706997,5.600240367099616,0.4317046722993309,0.18803335722507367
1,"(3, 'donovan', 11)","(2, 'shafter')",5.193753608706997,5.600240367099616,0.4317046722993309,0.18803335722507367
2,"(3, 'donovan', 12)","(1, 'elcajon')",3.9679159975299836,6.324311740564667,0.3301617711875308,0.21204265319008966
3,"(3, 'donovan', 12)","(2, 'shafter')",3.9679159975299836,6.324311740564667,0.3301617711875308,0.21204265319008966
31,"(3, 'donovan', 13)","(1, 'elcajon')",6.487442532411697,8.33857961997898,0.5446541701874363,0.280263481063682
32,"(3, 'donovan', 13)","(2, 'shafter')",6.487442532411697,8.33857961997898,0.5446541701874363,0.280263481063682
14,"(3, 'elcajon', 15)","(1, 'shafter')",3.975396201963493,5.762909547130781,0.24905921750161347,0.2564563663237331
15,"(3, 'elcajon', 15)","(2, 'donovan')",3.975396201963493,5.762909547130781,0.24905921750161347,0.2564563663237331
29,"(3, 'elcajon', 18)","(1, 'shafter')",3.618517680988328,4.013837639241238,0.22670502455815433,0.17804833270010015
30,"(3, 'elcajon', 18)","(2, 'donovan')",3.618517680988328,4.013837639241238,0.22670502455815433,0.17804833270010015
28,"(3, 'elcajon', 20)","(2, 'donovan')",4.169920658404253,5.86526216663553,0.2616202515534789,0.25967359248160693
