,Model,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE
0,"(13, {(2, 'shafter'), (3, 'donovan')})",0.1687658172066273,1.8708881175918393,-0.7057849562377997,0.12072179757344936
1,"(18, {(2, 'donovan'), (1, 'shafter')})",0.23150670382114225,9.454380574630301,0.27274619673601175,0.08645327048382545
2,"(12, {(1, 'elcajon'), (3, 'donovan')})",-2.7443769645956406,-5.683102307796348,-0.10888420806299198,-0.17940683094502385
3,"(19, {(3, 'shafter'), (1, 'donovan')})",1.8895748452603804,11.752631181352609,0.13164634411519638,0.6270712276440297
4,"(15, {(2, 'donovan'), (3, 'elcajon')})",-1.5180527250479532,-1.7661737871123133,-0.6661152702019261,-0.019539173678119387
5,"(15, {(2, 'donovan'), (1, 'shafter')})",-0.06516874739584466,2.6747151809051966,0.33173240808877813,-0.06643069096687132
6,"(19, {(3, 'shafter'), (2, 'elcajon')})",2.5789575478129123,-1.9674710738522982,-0.8117496504822914,0.0890705380414179
7,"(13, {(1, 'elcajon'), (2, 'shafter')})",-4.327960073509464,-12.347604989310296,-0.30509648493463715,-0.47353850395382935
8,"(11, {(1, 'elcajon'), (2, 'shafter')})",-1.4900476206277133,1.8494171411953637,-0.07060004212092119,0.013511418744462822
9,"(11, {(2, 'shafter'), (3, 'donovan')})",0.7273754082492312,-0.09148605185869574,-0.5096389676854227,0.047449898707398075
10,"(12, {(2, 'shafter'), (3, 'donovan')})",-1.1567111397987109,0.11364690636344577,-0.8201756856117123,0.05551970035658543
11,"(21, {(1, 'donovan'), (2, 'elcajon')})",-6.361186787337509,-9.439189956086791,-0.2934289013682603,-0.5539628737077171
12,"(19, {(1, 'donovan'), (2, 'elcajon')})",-7.912456515439458,-24.75866708146916,-0.4030277100597346,-1.247836477576913
13,"(15, {(3, 'elcajon'), (1, 'shafter')})",-1.6549882207258042,-6.5912849188356475,-0.26114497712357154,-0.037650716179620014
14,"(11, {(1, 'elcajon'), (3, 'donovan')})",-2.3214108392532253,-7.841253518777554,-0.07158267682668268,-0.24769098661102573
15,"(12, {(1, 'elcajon'), (2, 'shafter')})",-1.4226345489522565,0.241248363832403,-0.06304271315124588,-0.030938172332254155
16,"(13, {(1, 'elcajon'), (3, 'donovan')})",1.0825067471098606,-1.229961872414325,0.2339171059392754,-0.03414626870009574
17,"(21, {(3, 'shafter'), (2, 'elcajon')})",4.699935760726653,1.162243420547254,-0.177175882494639,0.11348161174429289
18,"(21, {(3, 'shafter'), (1, 'donovan')})",-0.9041135687907831,3.0340561382396523,-0.10666175979839154,0.2564354601876935
19,"(18, {(3, 'elcajon'), (1, 'shafter')})",-2.1397040193432515,-13.74505560108004,-0.33061766819615696,-0.19998861493900194
20,"(18, {(2, 'donovan'), (3, 'elcajon')})",-1.4027388665340599,-1.9849588873845425,-0.8624547487541444,-0.031316543049847545
