,Model,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE
0,"(13, {(2, 'shafter'), (3, 'donovan')})",7.102844686100372,11.023192248814013,0.571459862941703,0.36278108875854886
1,"(18, {(2, 'donovan'), (1, 'shafter')})",6.091718116288815,16.970648469516277,0.6398963640986306,0.4198646057426974
2,"(12, {(1, 'elcajon'), (3, 'donovan')})",5.119498671145909,8.06693173537034,0.4769675181745205,0.2570529855525048
3,"(19, {(3, 'shafter'), (1, 'donovan')})",7.422482016626169,23.842492942619103,0.618197360972324,0.9402682784067129
4,"(15, {(2, 'donovan'), (3, 'elcajon')})",5.584444921506272,6.874057668456354,0.3840177427708461,0.24590303815605333
5,"(15, {(2, 'donovan'), (1, 'shafter')})",6.583209746336108,10.191503463358334,0.7482544001572914,0.26807537642447227
6,"(19, {(3, 'shafter'), (2, 'elcajon')})",8.89952692595946,12.806786771256393,0.681038676795652,0.4764325992211323
7,"(13, {(1, 'elcajon'), (2, 'shafter')})",5.7295348974843705,14.328400927720113,0.5392819508238645,0.42305427562092124
8,"(11, {(1, 'elcajon'), (2, 'shafter')})",4.957511265950284,12.30238358322778,0.4653208940579787,0.36447963514520476
9,"(11, {(2, 'shafter'), (3, 'donovan')})",6.179213701075565,7.613248663321468,0.49457981121459005,0.25122400817601476
10,"(12, {(2, 'shafter'), (3, 'donovan')})",5.841737264804642,8.078731481869955,0.4689258859284978,0.26617951879500656
11,"(21, {(1, 'donovan'), (2, 'elcajon')})",4.115027065692718,7.462690722385078,0.47191971348966055,0.1941878672938832
12,"(19, {(1, 'donovan'), (2, 'elcajon')})",4.204646245085464,8.326954398627375,0.48219742413093514,0.21667701046119175
13,"(15, {(3, 'elcajon'), (1, 'shafter')})",5.095285217330143,6.897981082123881,0.37272737673267553,0.2761169445281385
14,"(11, {(1, 'elcajon'), (3, 'donovan')})",5.161780143709541,8.026186976849793,0.4804488909684524,0.2560333297544366
15,"(12, {(1, 'elcajon'), (2, 'shafter')})",5.166760847108984,10.140953340376587,0.48524673057004863,0.3009809036300164
16,"(13, {(1, 'elcajon'), (3, 'donovan')})",7.394273179467032,20.012845242350323,0.701540632372992,0.636198420698362
17,"(21, {(3, 'shafter'), (2, 'elcajon')})",8.062452536196034,7.558059404107695,0.6169813353743774,0.28117169054837704
18,"(21, {(3, 'shafter'), (1, 'donovan')})",5.839356970288596,13.142949085710772,0.4863433903540255,0.518314009350854
19,"(18, {(3, 'elcajon'), (1, 'shafter')})",4.477001315425784,6.508109410734208,0.29723939463179855,0.27789466814093394
20,"(18, {(2, 'donovan'), (3, 'elcajon')})",5.418811788589025,5.572386879917826,0.3738095673989278,0.19970323185726457
