,Model,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE
0,"(15, {(1, 'shafter'), (3, 'elcajon')})",-2.4864049056848376,-5.007663360510055,-0.3163896674182981,-0.013458882027500813
1,"(18, {(1, 'shafter'), (3, 'elcajon')})",-3.186946666874422,-3.6923804718011244,-0.4074679137962033,-0.005978995758375155
2,"(15, {(3, 'elcajon'), (2, 'donovan')})",-0.742146565895494,-2.530231431361293,-0.5013847467583076,-0.04486041458952719
3,"(15, {(3, 'elcajon'), (2, 'donovan')})",-0.7421465658955029,-2.5302314313613055,-0.5013847467583101,-0.04486041458952758
4,"(15, {(1, 'shafter'), (2, 'donovan')})",-0.5611489637130651,0.5357864820383522,0.23383571577585566,-0.1135780374092904
5,"(18, {(1, 'shafter'), (3, 'elcajon')})",-3.1869466668744324,-3.6923804718011235,-0.40746791379620423,-0.005978995758375127
6,"(15, {(1, 'shafter'), (2, 'donovan')})",-0.5611489637130633,0.5357864820383016,0.23383571577585577,-0.11357803740929237
7,"(18, {(3, 'elcajon'), (2, 'donovan')})",-0.23969207777329693,-1.821523567560182,-0.555211037224066,-0.028716786227592245
8,"(15, {(1, 'shafter'), (3, 'elcajon')})",-2.4864049056848403,-5.0076633605100564,-0.3163896674182983,-0.013458882027500868
9,"(18, {(1, 'shafter'), (2, 'donovan')})",1.06957782226063,0.3196581889567156,0.3159257642875797,-0.1184442587819729
10,"(18, {(1, 'shafter'), (2, 'donovan')})",1.0695778222606114,0.3196581889566792,0.31592576428757796,-0.11844425878197457
11,"(18, {(3, 'elcajon'), (2, 'donovan')})",-0.23969207777326762,-1.8215235675601553,-0.5552110372240612,-0.028716786227591357
