,Model,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE
0,"(13, {(3, 'donovan'), (2, 'shafter')})",6.355284525343356,9.09189557112494,0.5113148582447988,0.2992207429319406
1,"(18, {(1, 'shafter'), (2, 'donovan')})",5.871708366702364,6.760316856607772,0.6167857348575663,0.1672545263543626
2,"(12, {(1, 'elcajon'), (3, 'donovan')})",4.127692550976887,6.698368595413741,0.3845640751746159,0.21344368618277312
3,"(19, {(3, 'shafter'), (1, 'donovan')})",5.5694291519619235,7.871177069095465,0.46386187210059165,0.3104129307956413
4,"(15, {(2, 'donovan'), (3, 'elcajon')})",4.952119147289093,6.508161991763474,0.3405354773131697,0.23281399193524255
5,"(15, {(1, 'shafter'), (2, 'donovan')})",5.273225141316146,7.551699022291639,0.5993602007297194,0.1986384604905052
6,"(19, {(3, 'shafter'), (2, 'elcajon')})",5.982334288201843,7.782698236565609,0.4577997304443237,0.28952860823159576
7,"(13, {(1, 'elcajon'), (2, 'shafter')})",4.5970324631941315,7.339406443746863,0.4326872388612988,0.21670019510271354
8,"(11, {(1, 'elcajon'), (2, 'shafter')})",4.064287609624454,6.914293122423162,0.3814813205183308,0.20484802944882557
9,"(11, {(3, 'donovan'), (2, 'shafter')})",5.395918161310454,6.412672182700904,0.43188540074051435,0.21160706553805175
10,"(12, {(3, 'donovan'), (2, 'shafter')})",5.01036306269724,7.233493149263356,0.4021901074110168,0.2383304520021306
11,"(21, {(1, 'donovan'), (2, 'elcajon')})",3.746372241583032,6.286799208846932,0.4296416248664116,0.16358980639635615
12,"(19, {(1, 'donovan'), (2, 'elcajon')})",3.8749822426381164,6.455871853522077,0.44439088261876697,0.16798927268922026
13,"(15, {(1, 'shafter'), (3, 'elcajon')})",3.9952350103732464,6.143927172711521,0.2922571360249099,0.2459331764085049
14,"(11, {(1, 'elcajon'), (3, 'donovan')})",4.764080428044865,5.866409422506595,0.4434317414561049,0.18713697331988713
15,"(12, {(1, 'elcajon'), (2, 'shafter')})",4.486508203485068,6.936751697299199,0.4213594361804047,0.2058810176945978
16,"(13, {(1, 'elcajon'), (3, 'donovan')})",5.755871076474943,8.1167832619637,0.5460952465295171,0.2580285126816758
17,"(21, {(3, 'shafter'), (2, 'elcajon')})",5.2720581300645195,6.103408088599786,0.40344565759059264,0.2270563750062036
18,"(21, {(3, 'shafter'), (1, 'donovan')})",4.537362176268619,5.222197750027573,0.37790395677103783,0.20594603507842926
19,"(18, {(1, 'shafter'), (3, 'elcajon')})",3.6866673419786316,4.247455190498433,0.24476713133025613,0.18136528999654455
20,"(18, {(2, 'donovan'), (3, 'elcajon')})",4.55939551285165,5.117606957629995,0.3145238717920988,0.18340482648415904
