,Model,Test,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE
0,17,"(3, 'shafter')",-0.044545639210239685,0.004979080457692575,-0.003246459887017772,-0.004701025564316508
1,17,"(2, 'elcajon')",-0.03544471331320498,-0.19034938949066849,-0.0036194606529225126,-0.001094533256903396
2,18,"(1, 'shafter')",-0.18662382998800187,0.212590721886186,-0.04485642404284418,0.005393334864619681
3,18,"(2, 'donovan')",-0.08209410073379075,-0.10806107353641536,0.001370878401837361,-0.004795790701382807
4,18,"(3, 'elcajon')",-0.01024077701622339,0.04183373716694305,-0.00037407161006286493,0.0022828658771357757
5,19,"(3, 'shafter')",-0.07702631375410363,-0.30820220072438786,-0.005618550639949205,-0.023524822713195004
6,19,"(1, 'donovan')",-0.0063187523622634245,-0.09084720279163072,0.005829922775207663,-0.0003516139303460508
7,19,"(2, 'elcajon')",-0.14976782995143445,-0.17401114080589153,-0.007723127669567786,-0.0014002488671597813
8,20,"(2, 'donovan')",-0.02931997071877035,0.10700961207236404,0.008364155460262923,0.0013521142263691055
9,20,"(3, 'elcajon')",-0.01185043500109284,-0.010561888966751809,-0.0010398952953376561,0.0007056836523563481
10,21,"(3, 'shafter')",-0.02407544214847057,-0.01571018817784875,-0.001751424286261405,-0.006010194366497634
11,21,"(1, 'donovan')",-0.0006482431818497503,-0.07085673438219686,0.004231945924219271,-0.0008314065498841727
12,21,"(2, 'elcajon')",-0.14832328615813228,-0.1196647665746724,-0.006736967716355791,-0.0004081614725457705
13,11,"(1, 'elcajon')",-0.07193047888998372,-0.001654323961964188,-0.0034811095186433327,-0.00023599846398231206
14,11,"(3, 'donovan')",-0.04967598242540383,-0.043055614983599,0.003095673709544111,-0.002686798230953358
15,11,"(2, 'shafter')",0.005857392899522473,-0.04535237930913283,0.005073486714447073,-0.0021131022055639326
16,12,"(1, 'elcajon')",-0.036842307659510354,-0.0312606877056858,0.005532828598083683,-0.001023591713821853
17,12,"(3, 'donovan')",-0.07974360800459124,-0.005660374413350766,-0.000453263736952092,-0.0008917951643777622
18,12,"(2, 'shafter')",-0.033879752453911394,0.014031492233931075,-0.0032299815836146495,-0.0009227935369175433
19,13,"(1, 'elcajon')",-0.04752275514728499,-0.059668864992237225,0.003358172030527462,-0.0017888933372128824
20,13,"(3, 'donovan')",-0.10190283047221627,-0.16058353460478614,0.002144430840469891,-0.005330437847499758
21,13,"(2, 'shafter')",-0.004536993553096558,-0.11360908597267638,-0.0023196480432277067,0.001098528270911836
22,15,"(1, 'shafter')",0.001756514415552246,0.028547966086131638,0.0016071247205514672,-0.0009967689097098165
23,15,"(2, 'donovan')",0.06369765051830711,0.19166617937557184,0.007612018163980827,0.0048132674122307595
24,15,"(3, 'elcajon')",-0.025515119876370562,-0.06923757239697537,0.000622563147830324,-0.004188626753701352
