,Model,Test,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE
0,11,"(1, 'elcajon')",-0.07226369486285833,0.010856952793711017,-0.006012608255380636,0.00012219947467567716
1,11,"(2, 'shafter')",0.03097170466312793,-0.02593489904322599,0.005449565758152086,-0.001175544255011124
2,11,"(3, 'donovan')",-0.08510242706287441,-0.04236517619845692,-0.0023352624232271246,-0.0021762463191402626
3,17,"(2, 'elcajon')",-0.022083495583923085,-0.10000408517369941,-0.0021990304157836205,-0.000242880458114908
4,17,"(3, 'shafter')",-0.019512014906598818,0.03241401050831527,-0.0014225606207946828,-0.00045973340049185185
5,18,"(1, 'shafter')",-0.19902171608646047,0.19692575539044022,-0.044876380712083996,0.0050650015904670775
6,18,"(2, 'donovan')",-0.10522825646274825,-0.020773729644858463,-0.0020844386958384087,-0.001510905349916658
7,18,"(3, 'elcajon')",-0.015146233224886618,0.015810853394663926,-0.0007899107740220179,0.0009439175805958377
8,13,"(1, 'elcajon')",-0.06799664288684992,0.0975297357019187,-0.007181596696991033,0.0024321136128911958
9,13,"(2, 'shafter')",-0.07045302791365593,-0.002793197271516945,-0.006635217931106552,0.001976894466818979
10,13,"(3, 'donovan')",-0.10807813545668887,-0.1364894000207224,-0.004472938531164761,-0.004570018294342532
11,12,"(1, 'elcajon')",-0.05640692898592059,0.02661266848787225,-0.004413378230198828,0.0005556241725405142
12,12,"(2, 'shafter')",-0.023139766074297796,-0.027006502876341543,-0.0021707094226366963,-0.001697704299620767
13,12,"(3, 'donovan')",-0.09301760261238634,-0.017298022707891825,-0.004029021983241232,-0.0010346497074186223
14,20,"(2, 'donovan')",-0.11649821994588017,-0.022376476605048268,-0.0036034958711630427,-0.0015653585137286319
15,20,"(3, 'elcajon')",-0.004360063944541359,0.0271898013974865,-0.0004155548130223008,0.0019055258027041444
16,15,"(1, 'shafter')",0.039059926574103176,0.025290025972196872,0.0063953336048300224,-0.0006498850457345717
17,15,"(2, 'donovan')",0.100461586705757,0.08555275276880447,0.010734178561957353,0.002229428768874553
18,15,"(3, 'elcajon')",-0.003621871309107405,-0.043935913406175864,0.0007249164526021423,-0.002675641617442326
19,19,"(2, 'elcajon')",-0.09829969710551589,-0.16741401889750218,-0.005307751059786814,-0.0023288812458100994
20,19,"(1, 'donovan')",-0.008563210559738188,-0.0415133621322612,0.0015993744337733373,-0.00032086673819116396
21,19,"(3, 'shafter')",0.022240339659257202,0.056038160751563204,0.0016281941899715102,0.00047352269912784295
22,21,"(2, 'elcajon')",-0.10029052434255004,-0.17620831940299464,-0.005494998388066441,-0.002807922579230321
23,21,"(1, 'donovan')",-0.019008535607075938,-0.04746735296940141,-0.0009007869814606773,-0.00047357781096783735
24,21,"(3, 'shafter')",0.009441517656590293,0.01376339892006051,0.0006924223133417118,-0.0012440959573152277
