,Model,Testing Location,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE
16,"(1, 'donovan', 19)","(1, 'donovan', 19)",1.5987984028907312,2.655370064437629,0.3798730384395851,0.0701106968017857
5,"(1, 'donovan', 21)","(1, 'donovan', 21)",1.5794101272041898,2.631647309911713,0.3752664018668726,0.06948433632866574
8,"(1, 'elcajon', 11)","(1, 'elcajon', 11)",1.0904237553489133,3.0758499858451014,0.20336209828712593,0.08126339815821577
2,"(1, 'elcajon', 12)","(1, 'elcajon', 12)",1.0730172276667485,2.3929295738506515,0.2001158117164474,0.06322076486801327
9,"(1, 'elcajon', 13)","(1, 'elcajon', 13)",1.1495103841461805,2.716712689187421,0.21438164986419136,0.07177505598741263
0,"(1, 'shafter', 15)","(1, 'shafter', 15)",1.8395553865111067,3.078208668951379,0.27240827199559015,0.09381387230655436
6,"(1, 'shafter', 18)","(1, 'shafter', 18)",1.1332956772938945,2.087039977384981,0.20294954955856254,0.06345532527725438
14,"(2, 'donovan', 15)","(2, 'donovan', 15)",3.6203638532645543,4.5101257264013705,0.34083431093672584,0.10504489642653594
22,"(2, 'donovan', 18)","(2, 'donovan', 18)",3.8677742599228764,4.6180958496692135,0.3724987531220731,0.10830257216066175
4,"(2, 'donovan', 20)","(2, 'donovan', 20)",3.535353518411396,4.564998349190469,0.3404838775363892,0.10705734121172812
13,"(2, 'elcajon', 17)","(2, 'elcajon', 17)",2.060804041939077,3.9416350798146094,0.18305547150775794,0.10334419891685276
1,"(2, 'elcajon', 19)","(2, 'elcajon', 19)",2.090866138621559,4.521852809232714,0.18618193078788703,0.11848440530065976
3,"(2, 'elcajon', 21)","(2, 'elcajon', 21)",2.049768122929506,3.9278254011247817,0.1825223431310025,0.10291932895888838
20,"(2, 'shafter', 11)","(2, 'shafter', 11)",3.215754762791202,4.713431061069131,0.23953275748118497,0.14938654529503026
21,"(2, 'shafter', 12)","(2, 'shafter', 12)",3.465279014174249,4.671964978113526,0.25779769627164606,0.1477442777130511
11,"(2, 'shafter', 13)","(2, 'shafter', 13)",3.077442715179303,4.555251176180657,0.22693474825738633,0.14503851019215108
23,"(3, 'donovan', 11)","(3, 'donovan', 11)",3.134096993481914,3.7455771728397074,0.26429255904355636,0.12523254719673627
15,"(3, 'donovan', 12)","(3, 'donovan', 12)",2.598337419732579,3.8727869574911535,0.21905223776235297,0.12953507356461344
12,"(3, 'donovan', 13)","(3, 'donovan', 13)",2.8580271872892564,3.9103633447884776,0.24343473379634212,0.13144191535192654
24,"(3, 'elcajon', 15)","(3, 'elcajon', 15)",2.195624116182628,3.4139743510416847,0.1384070079555785,0.15137502719539422
17,"(3, 'elcajon', 18)","(3, 'elcajon', 18)",2.07283438862349,2.718972852124013,0.12997455145682854,0.12079165526344826
10,"(3, 'elcajon', 20)","(3, 'elcajon', 20)",1.909334644836427,2.984221997936491,0.11968040970794451,0.13264228044069426
18,"(3, 'shafter', 17)","(3, 'shafter', 17)",2.9106550716369415,3.553848231793402,0.2126428787766468,0.1558503832343955
7,"(3, 'shafter', 19)","(3, 'shafter', 19)",3.2507660529326206,4.0175578498014675,0.23749026755555483,0.17618589475947896
19,"(3, 'shafter', 21)","(3, 'shafter', 21)",2.507448096993448,3.8010025057022783,0.1831859044114928,0.1666890813988579
