,Model,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE
0,"(3, 'donovan', 11)",3.0378324712460016,3.86580256810421,0.2554321795391253,0.12936103552284528
1,"(3, 'donovan', 12)",2.657251735990428,4.0160881102678285,0.22342987083190063,0.1343928150838544
2,"(1, 'shafter', 15)",5.101857602065756,6.61693401615709,0.6154250346758541,0.20091401523934665
3,"(2, 'donovan', 20)",3.709237250786228,4.6719736538135175,0.35616537808995297,0.10969972537807153
4,"(1, 'elcajon', 13)",1.1901599348343899,2.598813962733208,0.22140971231114584,0.06867478203355361
5,"(1, 'shafter', 18)",5.95961793003436,8.054613936027591,0.7496514757232948,0.23916674982693978
6,"(2, 'elcajon', 19)",2.423512238444165,4.769766368100289,0.21526023009693201,0.12469460649790959
7,"(3, 'elcajon', 15)",1.9201433348789765,2.990298749782419,0.12089178719235331,0.132685560851285
8,"(2, 'donovan', 15)",3.6003933585063703,4.54133653547666,0.3387806829318652,0.10574421650826964
9,"(1, 'elcajon', 11)",1.096448798802816,2.8708628572626425,0.20397629427898145,0.07586379163646842
10,"(1, 'donovan', 19)",1.5252374441690988,2.637973210602365,0.3619598450645511,0.06955338858917151
11,"(2, 'donovan', 18)",3.7602210548467276,4.352681766958529,0.3610609036716134,0.10220262995356112
12,"(1, 'donovan', 21)",1.8441507493566678,3.2194506834264702,0.437642363203621,0.08488475300964238
13,"(2, 'elcajon', 21)",2.0185279894835557,3.913670656489641,0.17928888188832573,0.10231394680820777
14,"(3, 'elcajon', 20)",1.948085380347089,2.8774485261219436,0.12213200451409831,0.12779555996077155
15,"(3, 'elcajon', 18)",2.116495594588509,2.629116394112824,0.13269006530676672,0.11676454693621481
16,"(3, 'donovan', 13)",2.9580824173116476,4.240470278466669,0.25122643575011017,0.14253526307819916
17,"(1, 'elcajon', 12)",1.1223059663569086,2.4476922226491977,0.20878659570299082,0.06468132474510431
