,Model,Testing Location,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE
20,"(1, 'donovan', 19)","(2, 'elcajon')",-4.7291703006043155,-10.174944494152117,-0.18292415205316187,-0.2627702403798281
21,"(1, 'donovan', 19)","(3, 'shafter')",-13.746359720388261,-23.21050869686195,-0.7479183353217014,-1.0746476159227034
24,"(1, 'donovan', 21)","(2, 'elcajon')",-4.452878198660014,-7.542551298990047,-0.17683071834338676,-0.19459630423605914
25,"(1, 'donovan', 21)","(3, 'shafter')",-10.80590917488422,-16.3039789063384,-0.5531316861711542,-0.7677692952648102
18,"(1, 'elcajon', 11)","(2, 'shafter')",-4.91361864058591,-7.434018244131549,-0.237016768138337,-0.25334646158856483
19,"(1, 'elcajon', 11)","(3, 'donovan')",-6.26937861248959,-7.169270467781599,-0.406275051532549,-0.2640555677261291
33,"(1, 'elcajon', 12)","(2, 'shafter')",-4.535832266216375,-6.689823276857304,-0.20770983795592965,-0.22889800651652759
34,"(1, 'elcajon', 12)","(3, 'donovan')",-6.940885700664536,-7.156068730352075,-0.4576672823844067,-0.2620573290758015
8,"(1, 'elcajon', 13)","(2, 'shafter')",-4.4050680204798,-7.9999740246124595,-0.1950862342766607,-0.2659464021050482
9,"(1, 'elcajon', 13)","(3, 'donovan')",-6.562347995183367,-16.458241108454015,-0.43143242691026973,-0.5720929038404995
4,"(1, 'shafter', 15)","(2, 'donovan')",-6.005298412403648,-13.576659333216279,-0.4666298847471177,-0.29253343865439807
5,"(1, 'shafter', 15)","(3, 'elcajon')",-6.765261449822265,-4.879307281959022,-0.27020069968032906,-0.26010569744370604
10,"(1, 'shafter', 18)","(2, 'donovan')",-9.466652840509434,-14.589996069690581,-0.7969159671261217,-0.33030216910970794
11,"(1, 'shafter', 18)","(3, 'elcajon')",-9.47712752956073,-7.9292268400463914,-0.45453195229746013,-0.37932697936598286
16,"(2, 'donovan', 15)","(1, 'shafter')",-6.953955691380897,-9.995252821996441,-1.2449755591441352,-0.34616839722000653
17,"(2, 'donovan', 15)","(3, 'elcajon')",-9.059715385462965,-13.253063491369364,-0.44200014953346684,-0.7010823519742625
22,"(2, 'donovan', 18)","(1, 'shafter')",-4.81960578897657,-6.822793934387361,-1.2201547221947135,-0.24037862344971678
23,"(2, 'donovan', 18)","(3, 'elcajon')",-5.567002374511437,-8.73196268093596,-0.21932538460684925,-0.4820610210841631
7,"(2, 'donovan', 20)","(3, 'elcajon')",-10.494387497043272,-12.285781488896244,-0.5391269934218721,-0.6404321187354699
6,"(2, 'elcajon', 17)","(3, 'shafter')",-4.583825131122302,-5.225293483947976,-0.3013693730493927,-0.30686513359016654
12,"(2, 'elcajon', 19)","(1, 'donovan')",-0.9524278872964604,-0.4166199781927382,-0.5624353613214724,-0.012361440487381609
13,"(2, 'elcajon', 19)","(3, 'shafter')",-2.749740882463431,-6.381546249358089,-0.16700419930506485,-0.36684253267969313
26,"(2, 'elcajon', 21)","(1, 'donovan')",-0.8496871981803196,-0.8399585338214006,-0.5255765291218187,-0.023311550844899998
27,"(2, 'elcajon', 21)","(3, 'shafter')",-3.4828500124588393,-3.9779253632331892,-0.22182636201570535,-0.25169060981690805
0,"(3, 'donovan', 11)","(1, 'elcajon')",-1.4906792648928944,-2.890120200351057,-0.5809002391396536,-0.049075800662982894
1,"(3, 'donovan', 11)","(2, 'shafter')",-3.4583898890691893,-4.957411975684648,-0.22678713741474982,-0.1503516269392498
2,"(3, 'donovan', 12)","(1, 'elcajon')",-1.8770237149790865,-7.511553101400976,-0.6246602137748902,-0.16868034698994402
3,"(3, 'donovan', 12)","(2, 'shafter')",-2.63087874903569,-7.248452342408779,-0.17194625155816948,-0.2225212259716988
31,"(3, 'donovan', 13)","(1, 'elcajon')",0.49953710745215707,-6.082289845325256,-0.21765529755524343,-0.13132746760698985
32,"(3, 'donovan', 13)","(2, 'shafter')",-2.876903685468113,-7.369557581974085,-0.18266014652605572,-0.2240853520891062
14,"(3, 'elcajon', 15)","(1, 'shafter')",-1.5770817134610526,-6.570406924213214,-0.3992645746086766,-0.1601084819028235
15,"(3, 'elcajon', 15)","(2, 'donovan')",-3.635259058031167,-6.253096202670629,-0.40228360351656467,-0.08110159009665768
29,"(3, 'elcajon', 18)","(1, 'shafter')",-1.5408020776170428,-4.56538268748591,-0.5363244124492934,-0.10298690756105588
30,"(3, 'elcajon', 18)","(2, 'donovan')",-3.6253017245840593,-6.137885203575827,-0.41389893469810213,-0.08976029816676473
28,"(3, 'elcajon', 20)","(2, 'donovan')",-3.739560852851005,-5.481461414498636,-0.4195162676511989,-0.06679234821592059
