,Model,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE
0,"(15, {(3, 'elcajon'), (1, 'shafter')})",-3.9566599815559913,-7.222133566375831,-0.4147272757452437,-0.1110307606131058
1,"(18, {(3, 'elcajon'), (1, 'shafter')})",-3.654751907887698,-5.215538819275766,-0.41099107228708165,-0.06549743533016936
2,"(15, {(3, 'elcajon'), (2, 'donovan')})",-1.9624423641712712,-6.620524662219256,-0.5564407728223256,-0.18188607746561686
3,"(15, {(1, 'shafter'), (2, 'donovan')})",-6.491603517313686,-5.579760466862407,-0.20155165306246553,-0.35185537390583077
4,"(18, {(3, 'elcajon'), (1, 'shafter')})",-3.594340792179071,-5.188634242575308,-0.4029893746998602,-0.06663139456169696
5,"(15, {(1, 'shafter'), (2, 'donovan')})",-5.421509735199823,-6.548035492793821,-0.1604787322265056,-0.40374353522214396
6,"(15, {(3, 'elcajon'), (1, 'shafter')})",-3.5792249855966456,-5.742617747038465,-0.3844989117299741,-0.06831928468294979
7,"(18, {(1, 'shafter'), (2, 'donovan')})",-4.353455863599912,-7.661472537831504,-0.08944061084800714,-0.4326577993100084
8,"(18, {(1, 'shafter'), (2, 'donovan')})",-4.632365458578062,-9.307989023622016,-0.10823323226834175,-0.5227649297970203
9,"(18, {(3, 'elcajon'), (2, 'donovan')})",-0.8414497106960006,-3.069995544490921,-0.5036760075229108,-0.07411780719376565
