,Model,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE
0,"(15, {(3, 'elcajon'), (1, 'shafter')})",2.0809870048559924,3.39692239833759,0.15222716575249665,0.1359742542435878
1,"(18, {(3, 'elcajon'), (1, 'shafter')})",2.252604157721063,3.013239964070394,0.14955606420732148,0.1286646039575225
2,"(15, {(3, 'elcajon'), (2, 'donovan')})",3.366936204231483,4.258079130311697,0.23152941059962476,0.15232263756781428
3,"(15, {(1, 'shafter'), (2, 'donovan')})",4.021659912242268,5.69034282226591,0.4571060077413219,0.14967769961985186
4,"(18, {(3, 'elcajon'), (1, 'shafter')})",2.1729714563250897,2.9206540612128293,0.1442690485715928,0.124711208720083
5,"(15, {(1, 'shafter'), (2, 'donovan')})",3.5125796009053434,6.173860901128122,0.39924341522658396,0.16239606756870723
6,"(15, {(3, 'elcajon'), (1, 'shafter')})",2.3322422084701055,3.8917384580491214,0.1706068420491248,0.15578107842654623
7,"(18, {(1, 'shafter'), (2, 'donovan')})",4.324116670686591,4.7306255556650125,0.4542210395638463,0.1170386763601517
8,"(18, {(1, 'shafter'), (2, 'donovan')})",4.293012956095391,5.600740874462124,0.4509537915564819,0.13856588116518082
9,"(18, {(3, 'elcajon'), (2, 'donovan')})",3.128683060373895,3.744203756546012,0.21582806470406074,0.13418479495906352
