,Model,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE
0,"(3, 'donovan', 11)",-0.6879624673362277,-2.9438047043270137,-0.4928264292798746,-0.04423292224196956
1,"(3, 'donovan', 12)",-2.93956871805747,-7.319211845466432,-0.8308424174690707,-0.16383806848181529
2,"(1, 'shafter', 15)",-3.0234192185868896,-7.944641763842627,-0.03253658325883879,-0.26352677689501725
3,"(2, 'donovan', 20)",-7.443635646767325,-9.880177139058823,-0.3413222964729794,-0.5386715363408983
4,"(1, 'elcajon', 13)",-7.422838688792084,-25.9455200591382,-0.518174625159038,-0.8903559834733891
5,"(1, 'shafter', 18)",-7.398204900747587,-16.900783378056875,-0.1996562209523033,-0.6303694055587732
6,"(2, 'elcajon', 19)",-2.053129373529569,-2.3139097960115507,-0.8041745756230915,-0.06199776308210031
7,"(3, 'elcajon', 15)",-3.6215302383030585,-8.471347632540423,-0.46981879837675367,-0.18322345812130836
8,"(2, 'donovan', 15)",-6.695265250071807,-12.566409178517851,-0.6183551877061346,-0.5279518737528275
9,"(1, 'elcajon', 11)",-7.420657840826543,-6.78417123909506,-0.4989304318165209,-0.246716945126136
10,"(1, 'donovan', 19)",-5.198569752249699,-11.13774841485062,-0.235728930720357,-0.2905865154345102
11,"(2, 'donovan', 18)",-5.5700855659261865,-10.242789668408566,-0.538338338161834,-0.433965976574388
12,"(1, 'donovan', 21)",-4.5362263529033084,-7.1509194263049,-0.18996877430979953,-0.1863648962327146
13,"(2, 'elcajon', 21)",-1.0381796163679708,-1.2723014349290422,-0.5638161997722498,-0.034426017538840364
14,"(3, 'elcajon', 20)",-3.578233048462339,-5.902046932441264,-0.41723666143405475,-0.06927338668368391
15,"(3, 'elcajon', 18)",-3.644288881610562,-7.612858385745119,-0.507719705199891,-0.16073386996474315
16,"(3, 'donovan', 13)",-1.315480808923259,-4.576165738147202,-0.536416695622241,-0.09227153728597556
17,"(1, 'elcajon', 12)",-7.124870331448513,-7.863222183991987,-0.48695507248188796,-0.2800776111599286
