,Model,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE
3,"(1, 'donovan', 19)",-0.02271771577912718,0.022466323122932064,-0.0034923698377327117,0.0010147554252972202
4,"(1, 'donovan', 21)",-0.05375910526483807,-0.09403334487004855,-0.010852142787800612,-0.0020585507946659573
0,"(1, 'elcajon', 11)",-0.1123505034742649,-0.21473522105728415,-0.017411149905443846,-0.00575476524539037
1,"(1, 'elcajon', 12)",-0.10341558063765754,-0.16706390000944582,-0.016032170375055887,-0.004488924103031061
2,"(1, 'elcajon', 13)",-0.10272745858475063,-0.09579287283849114,-0.016024968200667955,-0.0026018417289527807
6,"(1, 'shafter', 15)",0.0319466160435562,0.03748388724673113,0.005688050239300413,-0.00182857721332641
5,"(1, 'shafter', 18)",-0.01818308017777781,0.3012347826056079,-0.012473111137725978,0.007545835299525572
12,"(2, 'donovan', 15)",-0.3044666280738979,-0.36486544967163415,-0.027966649971444546,-0.00838400366148978
10,"(2, 'donovan', 18)",-0.4571289561503349,-0.4491776483154841,-0.039945142057267596,-0.011045001934424634
11,"(2, 'donovan', 20)",-0.29337600514050033,-0.3945491040282496,-0.02395483425539019,-0.009815256784696844
7,"(2, 'elcajon', 17)",-0.15778146600734022,-0.2422222960857785,-0.014147346898044255,-0.005291210262727913
8,"(2, 'elcajon', 19)",-0.1598077634351549,-0.2523398857948629,-0.01221056441510604,-0.005578262288701494
9,"(2, 'elcajon', 21)",-0.15019984600849456,-0.255968586922092,-0.011430651843475526,-0.005804171187858198
16,"(3, 'donovan', 11)",-0.16048200681082214,-0.20224350694395676,-0.0109332222599334,-0.007128638911997193
17,"(3, 'donovan', 12)",-0.19567471173244222,-0.22475079420079336,-0.01410019252844888,-0.0077480034627221556
18,"(3, 'donovan', 13)",-0.31235623577115157,-0.3440707492654629,-0.02382650593860855,-0.011555942700888375
15,"(3, 'elcajon', 15)",-0.07195657291682256,-0.1120521689189311,-0.0038827886465004763,-0.005336545235810494
13,"(3, 'elcajon', 18)",-0.1337949037085695,-0.17501172792444297,-0.008292608600231663,-0.007629172159179215
14,"(3, 'elcajon', 20)",-0.10948071654207547,-0.12525041265217585,-0.006962523370849766,-0.00519022243198583
