,Model,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE
3,"(1, 'donovan', 19)",1.3193738698743103,2.305579604330814,0.3134820249261919,0.060875052692835524
4,"(1, 'donovan', 21)",1.2993439903478534,2.2035761507201133,0.30872294386785665,0.05818181859164087
0,"(1, 'elcajon', 11)",1.4276367018855534,2.6867601278002984,0.26625171531984776,0.07098371475391246
1,"(1, 'elcajon', 12)",1.3116308667546408,2.507526690904202,0.24461683261479877,0.0662483998937012
2,"(1, 'elcajon', 13)",1.2596539098832809,2.432306307301193,0.23492322225452467,0.06426109101632577
6,"(1, 'shafter', 15)",4.1992559483433505,12.169792465220773,0.6218415954982222,0.370896023991258
5,"(1, 'shafter', 18)",4.268469491127171,10.110392941289213,0.7643935981448864,0.3074010463250557
12,"(2, 'donovan', 15)",2.5940639763020505,3.391652930213296,0.24421468220423215,0.07899465610979436
10,"(2, 'donovan', 18)",2.4190337969011617,3.106605594956327,0.2329730259707051,0.07285543383569501
11,"(2, 'donovan', 20)",2.7375432029116715,3.5188505898383213,0.2636481245218115,0.08252331314341377
7,"(2, 'elcajon', 17)",1.4983885341082677,2.5479951694422875,0.13309767160341968,0.06680489550605702
8,"(2, 'elcajon', 19)",1.6634372863328,3.229744843368831,0.14812137419671476,0.08462778714470412
9,"(2, 'elcajon', 21)",1.6047693710164186,2.7854176052678925,0.1428972684794041,0.07298524794975683
16,"(3, 'donovan', 11)",1.9914879406826418,2.3952362545657673,0.16793846688281663,0.08008419622811444
17,"(3, 'donovan', 12)",1.9887382620388285,2.6344098132483813,0.16766012116627022,0.08811444386280785
18,"(3, 'donovan', 13)",1.9640412666745675,2.5737985192148147,0.1672887735443241,0.08651498013513816
15,"(3, 'elcajon', 15)",1.6136905469697411,2.169480906222333,0.10172327709744707,0.09619440494012203
13,"(3, 'elcajon', 18)",1.7132606166517819,2.0062666554586484,0.1074279167694822,0.08912934530530545
14,"(3, 'elcajon', 20)",1.61228942083728,2.031905584944558,0.1010610994648982,0.0903138542017291
