,Model,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE
5,"(1, 'donovan', 19)",-0.03770845189216887,0.04642290518703307,-0.0069345271334276815,0.0016527382308815924
6,"(1, 'donovan', 21)",-0.0353203175672272,-0.10143783929669903,-0.006484497972024439,-0.002253644168179192
2,"(1, 'elcajon', 11)",-0.08189396355062817,-0.22554633279721203,-0.011964969065096809,-0.006038884844880771
3,"(1, 'elcajon', 12)",-0.06958495602603865,-0.19946118731111895,-0.009810262455985125,-0.005345119812153298
4,"(1, 'elcajon', 13)",-0.04998779681045473,-0.15937044234440956,-0.00630647802911477,-0.004280302960772135
1,"(1, 'shafter', 15)",-0.05158909282901325,-0.11847305749652515,-0.007249922655463703,-0.004340650068402244
0,"(1, 'shafter', 18)",-0.09825975598866998,-0.11871875473494864,-0.021195809549872102,-0.004049493581847002
12,"(2, 'donovan', 15)",-0.2495032300937674,-0.39328949468129615,-0.022807685974927105,-0.009041070643183657
10,"(2, 'donovan', 18)",-0.3750864192343877,-0.4672693444979714,-0.032023516244546024,-0.011510428228312677
11,"(2, 'donovan', 20)",-0.2614124846070207,-0.3683734888931687,-0.020936540952209426,-0.0091943882079384
7,"(2, 'elcajon', 17)",-0.138459931561707,-0.2401462316351508,-0.012431004496622933,-0.0052893724283219895
8,"(2, 'elcajon', 19)",-0.14190003538211737,-0.22113177408726514,-0.010584507058047254,-0.004776817110588055
9,"(2, 'elcajon', 21)",-0.13062155238953332,-0.2412548721036729,-0.009621167007454995,-0.005431432195598718
16,"(3, 'donovan', 11)",-0.1185240965893315,-0.1979728167061392,-0.007394630086252213,-0.006988119962398787
17,"(3, 'donovan', 12)",-0.14857519414076048,-0.2312680479220126,-0.010177770394728253,-0.00796294094755104
18,"(3, 'donovan', 13)",-0.2753906914027229,-0.32457156575254453,-0.020690171997679502,-0.010900483948678125
15,"(3, 'elcajon', 15)",-0.07866380518031324,-0.1330800655797022,-0.004289254062497486,-0.006276943845455657
13,"(3, 'elcajon', 18)",-0.12466175604285423,-0.15398545307067835,-0.007719581375927251,-0.006696083438102837
14,"(3, 'elcajon', 20)",-0.09179089805384977,-0.11764229591928155,-0.005856315681538202,-0.004833841025669722
