,Model,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE
5,"(1, 'donovan', 19)",1.3886472050987007,2.359043911716447,0.3299413060256437,0.0622866901497131
6,"(1, 'donovan', 21)",1.3083480514838066,2.1983930494274024,0.3108623005596234,0.058044967292421625
2,"(1, 'elcajon', 11)",1.3563947063842738,2.622261902641124,0.2529652093901724,0.06927968335585058
3,"(1, 'elcajon', 12)",1.3074430525350276,2.4845730352523048,0.2438358126830891,0.06564196847896683
4,"(1, 'elcajon', 13)",1.2613667601298635,2.324347759348957,0.23524266579057018,0.061408845780960376
1,"(1, 'shafter', 15)",1.644388044418188,2.8624646773700015,0.2435071588247945,0.08723869126659693
0,"(1, 'shafter', 18)",1.5758373566651758,2.556459100972004,0.28219950726046616,0.0777277606409032
12,"(2, 'donovan', 15)",2.584600140137234,3.5264348027588186,0.24332372201106128,0.08213384749837142
10,"(2, 'donovan', 18)",2.515349954045538,3.374819965904643,0.24224907106298132,0.07914553850431881
11,"(2, 'donovan', 20)",2.7271704247571043,3.4962891846167286,0.2626491399199891,0.08199420801077939
7,"(2, 'elcajon', 17)",1.5169021540663934,2.4115674201315347,0.1347421847942815,0.06322794934613699
8,"(2, 'elcajon', 19)",1.7097441792288008,3.2060819418683333,0.15224478820630277,0.08400775705300145
9,"(2, 'elcajon', 21)",1.6840476597458158,2.7570174880901055,0.14995663234424228,0.07224109038067177
16,"(3, 'donovan', 11)",2.0337436536055113,2.4155919929958225,0.1715018124097168,0.08076478585583625
17,"(3, 'donovan', 12)",1.991812694166824,2.590104037339659,0.16791931045876604,0.08663252605925495
18,"(3, 'donovan', 13)",1.990982940475007,2.5989057497251444,0.1695835519910814,0.08735892791606709
15,"(3, 'elcajon', 15)",1.649158508017207,2.1981854646477617,0.1039590943899806,0.0974671600535151
13,"(3, 'elcajon', 18)",1.7289616638304037,2.0121310958982894,0.10841243177735944,0.08938987584622085
14,"(3, 'elcajon', 20)",1.6750670799079677,2.143779309343703,0.10499611210315116,0.09528640179904499
