,Model,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE
3,"(1, 'donovan', 19)",-0.04273897484184652,-0.014198956699082999,-0.008133160912843551,9.29782254447814e-05
4,"(1, 'donovan', 21)",-0.06508096407713282,-0.14028163134757943,-0.013522233926504645,-0.003230149323131412
0,"(1, 'elcajon', 11)",-0.08427158274426616,-0.1955997320413183,-0.012496130812434003,-0.005244147083109912
1,"(1, 'elcajon', 12)",-0.07814212081244398,-0.12547337139473136,-0.011336881935498783,-0.003392210786935773
2,"(1, 'elcajon', 13)",-0.09045908296855165,-0.16057520254028246,-0.013971807818475568,-0.004309347683374723
6,"(1, 'shafter', 15)",-0.06630112395796495,-0.14476026030644285,-0.00945494231511848,-0.005064295825720336
5,"(1, 'shafter', 18)",-0.11193356519023356,-0.1865968134531064,-0.023210683933694576,-0.006056982447792764
12,"(2, 'donovan', 15)",0.07080385941807066,-0.3414574902623393,0.008209302221533266,-0.007539107685164803
10,"(2, 'donovan', 18)",-0.0923239944781038,0.05648311662890926,-0.00022348407998873387,-5.875438231459085e-05
11,"(2, 'donovan', 20)",-0.12684103693113702,0.0257008041030371,-0.0034167432302648626,-0.0008040892772480379
7,"(2, 'elcajon', 17)",-0.14988343527851034,-0.2675900755726883,-0.013438676064224914,-0.006011189469466827
8,"(2, 'elcajon', 19)",-0.16126345839463974,-0.30415584164206466,-0.012353337335665016,-0.006944891175093587
9,"(2, 'elcajon', 21)",-0.1297887982005106,-0.28507422621638767,-0.009590348616858896,-0.006576351775225267
16,"(3, 'donovan', 11)",-0.20442485715123304,-0.22733502648877302,-0.014745507269380509,-0.007956249524057532
17,"(3, 'donovan', 12)",-0.17088710259883388,-0.22463658494209993,-0.01207087576323318,-0.007746657160942569
18,"(3, 'donovan', 13)",-0.30438393636297056,-0.3548321361667859,-0.023205528077204746,-0.011917809137718047
15,"(3, 'elcajon', 15)",-0.08712698332734159,-0.15841920430373757,-0.0048694218434289505,-0.0073688300229349385
13,"(3, 'elcajon', 18)",-0.1422317428928912,-0.19271875095293045,-0.008831105202658979,-0.008427795035486296
14,"(3, 'elcajon', 20)",-0.09565504405805947,-0.14094340186741627,-0.006083787974910895,-0.00592632016852708
